ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),data_source,period_type
BCM,2022,4,28248387285982,1220636557462,285050000000,5393912855157,21181296717021,167491156342,20270671302521,1244259398017,424698865350,15843733516850,423280534188,48519058588503,30681696017734,18964802122392,11716893895342,17837362570769,17837362570769,7777275814,5084020550601,980759567186,48519058588503,150961127988,5500000000,21182241156987,1588097267133,10350000000000,10350000000000,10936361199852,3749514195079,4950021166576,0,201076702820,592369220800,336306932345,626439394444,VCI,quarterly
BCM,2022,3,28350293524948,1580251245387,290080000000,5144805394520,21238700012384,96456872657,20877744879940,1220803602814,428771196633,16370026431317,432511236451,49228038404888,30636403969506,18986779391553,11649624577953,18591634435382,18591634435382,7777275814,5747725446177,1089440466404,49228038404888,97207120915,5500000000,21239644452350,1569983336952,10350000000000,10350000000000,10873131741943,4200585318994,4281964863432,0,210254485081,592369220800,9914937440,300767429539,VCI,quarterly
BCM,2022,2,29023586923168,2833645616925,271480000000,4394784218763,21459900310345,63776777135,20909956029367,1241152119226,432843527916,16364684619690,441950422095,49933542952535,31526812831037,19736059532729,11790753298308,18406730121498,18406730121498,7777275814,5608195804380,1044065794317,49933542952535,77942860173,5500000000,21460844750311,1569983336952,10350000000000,10350000000000,11027768809298,3915081670625,4819845510266,0,219693670725,592369220800,10901910895,302840590534,VCI,quarterly
BCM,2022,1,29524429371957,4006889694744,229590000000,3695153284482,21537900369934,54896022797,19979483453852,1206405090362,436915859199,15278021166995,447882795716,49503912825809,31973860345798,18748260622094,13225599723704,17530052480011,17530052480011,7777275814,5164761180437,981190789246,49503912825809,145650062284,5500000000,21547588956144,1199615324479,10350000000000,10350000000000,12387428754157,4294128595845,3365187482156,0,225606963342,592369220800,11310173427,310202691961,VCI,quarterly
BCM,2021,4,28630034507436,2975349662105,224090000000,4869887702927,20469265463189,91441679215,19934973967852,1219704233517,455566894529,14867644609540,595844413166,48565008475288,31797310450744,19050972687982,12746337762762,16767698024544,16767698024544,7777275814,4613661280843,1104176312349,48565008475288,144242178697,5500000000,20478954049399,1173077766903,10350000000000,10350000000000,12389606256792,3449265410730,4244911836214,0,233489645356,592369220800,13094049282,321429959418,VCI,quarterly
BCM,2021,3,29597840609122,2813978952369,121704876712,3428919730548,23151023088108,82213961385,18655477067916,1240539528870,459776045768,13573555361625,527664744745,48253317677038,31943616746493,19482751276117,12460865470376,16309700930545,16309700930545,7777275814,4441762998274,1055438190000,48253317677038,162335592519,5500000000,23167213205683,935717077822,10350000000000,10350000000000,12043216777874,3072790172101,4457191393894,0,241623228240,592369220800,21213405687,365295089423,VCI,quarterly
BCM,2021,2,29750198687480,3337821882255,111204876712,3343831577006,22906802254043,50538097464,18714225858011,1282560234224,465166873325,13619767807766,530873235579,48464424545491,31947642158851,20926609885055,11021032273796,16516782386640,16516782386640,7777275814,4650040013906,1054242630463,48464424545491,118069649771,5500000000,22922997427870,935717077822,10350000000000,10350000000000,10602998581294,2568959646699,5450715077137,0,244831719074,217369220800,33061379903,381450176139,VCI,quarterly
BCM,2021,1,27111411094832,2349209377309,86190000000,2609193704543,22002805904116,64012108864,19253761268366,1205610711925,454605070590,14191819546750,586180190217,46365172363198,29332355064072,20219118906098,9113236157974,17032817299126,17032817299126,7777275814,5198157574922,764050253618,46365172363198,106435210646,5500000000,22023183241267,886280990282,10350000000000,10350000000000,8701793818985,2553670109478,5335645826938,0,247524843957,248169220800,34250212942,313565275190,VCI,quarterly
BCM,2020,4,29698416635210,1783586531828,64495000000,3655433820308,24165631946372,29269336702,18492420884338,1818970724694,812213106140,11893460954407,624453266572,48190837519548,31456054309120,21563592094029,9892462215091,16734783210428,16734783210428,13518119766,4322157438081,1159784085984,48190837519548,236934936307,5500000000,24186009283523,1062298313141,10350000000000,10350000000000,8818409018983,2898843695557,6081909357022,38775605,268935587209,248169220800,33422334147,407231052780,VCI,quarterly
BCM,2020,3,29484255590022,2028641596548,88894890410,3631000082683,23703747260420,31971759961,17188153311234,1833291322134,817670808630,10577897902876,633605345189,46672408901256,30430332816512,22797835367309,7632497449203,16242076084744,16242076084744,15782352988,3853980735612,1138720791230,46672408901256,246617906944,5500000000,23729378716180,1056566951458,10350000000000,10350000000000,6848221842894,2130300628302,8779882477146,43622555,280853539788,248169220800,25062129458,378436062541,VCI,quarterly
