ticker,yearReport,lengthReport,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,data_source,period_type
BCM,2022,4,-23637373539.0,51067479026.0,104723867306.0,-20575342.0,-1077239283896.0,253481785716.0,-695245900729.0,-601828155933.0,2131250379444.0,-501638112897.0,16958565047.0,-271933147832.0,-112366800890.0,0.0,-11880403872.0,-46683577662.0,-72184395517.0,12802779205.0,-71800000000.0,76830000000.0,0.0,0.0,-35587130232.0,-89938746544.0,10000000000.0,0.0,2634328107971.0,-1956056360251.0,-911284686781.0,-223012939061.0,-359635263267.0,1580251245387.0,20575342.0,1220636557462.0,VCI,quarterly
BCM,2022,3,310947439585.0,47206687438.0,-65077847.0,0.0,480507284394.0,139600366186.0,964466907129.0,-815470674452.0,-186222617280.0,-136311521196.0,-17418350022.0,-403755011511.0,-5532979116.0,0.0,-20385711403.0,-620629957851.0,31267662864.0,5373849664.0,-81565204869.0,62900000000.0,0.0,0.0,46917877147.0,64894184806.0,0.0,0.0,939597444299.0,-1634524405063.0,-2731637729.0,-697658598493.0,-1253394371538.0,2833645616925.0,0.0,1580251245387.0,VCI,quarterly
BCM,2022,2,1121312093521.0,47687397380.0,-8808421820.0,0.0,-731074485003.0,230813642412.0,646112031403.0,-615359934170.0,698494542373.0,-488877917455.0,17275833384.0,-453835262859.0,-63094639369.0,-554970000.0,-29864301153.0,-289704617846.0,-105592333875.0,68903559992.0,-35890000000.0,-6000000000.0,-684300000000.0,0.0,83068788310.0,-679809985573.0,0.0,0.0,1286856753362.0,-1491551090762.0,964863000.0,-203729474400.0,-1173244077819.0,4006889694744.0,0.0,2833645616925.0,VCI,quarterly
BCM,2022,1,468257988022.0,43854548664.0,-207795721.0,0.0,-35442681761.0,253107075023.0,729569134227.0,1255371535366.0,-607291243999.0,814626802392.0,-5652131319.0,-408179426732.0,-60953331912.0,555870000.0,-35329220340.0,1682717987683.0,-16402245575.0,436811886.0,-21500000000.0,6000000000.0,-59482000000.0,0.0,23941928820.0,-67005504869.0,0.0,0.0,727878253002.0,-1320485548395.0,-964863000.0,-593572158393.0,1022140324421.0,2984749370323.0,0.0,4006889694744.0,VCI,quarterly
BCM,2021,4,472981755777.0,43869683364.0,116328579564.0,0.0,85667754506.0,346887363421.0,1065735136632.0,-1168973026214.0,2869795956266.0,-512133222312.0,8688729068.0,-472719041659.0,-164963276290.0,348150000.0,-8321950358.0,1617457455133.0,-44774334477.0,-730198107.0,-129900000000.0,27514876712.0,-844639930000.0,0.0,-146739033382.0,-1139268619254.0,0.0,0.0,2380691631994.0,-2282660652067.0,-414835799020.0,-316804819093.0,161384016786.0,2813978952369.0,-13307050.0,2975349662105.0,VCI,quarterly
BCM,2021,3,52331341921.0,49953207924.0,-55463488.0,0.0,286441620032.0,162328570763.0,112630350995.0,1621674354956.0,227182708560.0,-1849167042517.0,8225027303.0,-736816300389.0,-69054704912.0,1663160000.0,-2387421322.0,-686049867326.0,-894000676.0,-367295673.0,-24896326799.0,6091326799.0,-130400000000.0,0.0,179874301246.0,29408004897.0,60172282579.0,-15921068244.0,2480649194029.0,-1922546332173.0,-469555143648.0,132798932543.0,-523842929886.0,3337821882255.0,0.0,2813978952369.0,VCI,quarterly
BCM,2021,2,568239869300.0,46054431364.0,-3631595343.0,0.0,-629081399900.0,159285336008.0,579235567586.0,-2185283292660.0,-1298399489440.0,1846306529796.0,3535608698.0,80564059393.0,-28040087266.0,-23430002351.0,-4230878454.0,-1029741984698.0,44450844661.0,6007454723.0,-16618549913.0,11828673201.0,0.0,0.0,55247737373.0,100916160045.0,-9946177034.0,-15921068244.0,3874525901458.0,-1925653204561.0,-5567122020.0,1917438329599.0,988612504946.0,2349209377309.0,0.0,3337821882255.0,VCI,quarterly
BCM,2021,1,507896277534.0,46326117383.0,644186111.0,0.0,-43909593748.0,153008345674.0,663965332954.0,1169273911929.0,-816010349806.0,-34159414117.0,12260952204.0,-372312911687.0,-161785818553.0,23430002351.0,-27691578468.0,456970126807.0,-55514230959.0,0.0,-30091326799.0,0.0,-30000000000.0,0.0,38638829186.0,-76966728572.0,9946177034.0,15921068244.0,1125809371711.0,-958003549986.0,-53619757.0,193619447246.0,573622845481.0,1775586531828.0,0.0,2349209377309.0,VCI,quarterly
BCM,2020,4,993146004310.0,59981122941.0,-52641162679.0,-20187893.0,-194834013570.0,128738496150.0,934370259259.0,-34003973432.0,-1476539673477.0,3138260197740.0,8206610083.0,-471421114751.0,-62313084569.0,4897480000.0,-25641863050.0,2015814837803.0,-47998274955.0,-28181818.0,-7600000000.0,31911359999.0,-1128516350000.0,0.0,25489822212.0,-1126741624562.0,0.0,0.0,4181801356612.0,-4885618828586.0,-430330993880.0,-1134148465854.0,-245075252613.0,2028641596548.0,20187893.0,1783586531828.0,VCI,quarterly
BCM,2020,3,690018267649.0,60349109934.0,-4513534382.0,0.0,114225932555.0,113457994547.0,993254666211.0,62705396396.0,916085368620.0,-949743226164.0,20852315419.0,-687752288419.0,-74600213564.0,2878400000.0,-23563999886.0,260116418613.0,-64554594755.0,-3527017170.0,-104700000000.0,168540000000.0,-12600000000.0,0.0,45435549870.0,28593937945.0,0.0,0.0,2939734159963.0,-1667287299681.0,28140834755.0,1300587695037.0,1589298051595.0,439344478331.0,-933378.0,2028641596548.0,VCI,quarterly
