ticker,yearReport,lengthReport,Revenue (Bn. VND),Revenue YoY (%),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Interest and Similar Income,Interest and Similar Expenses,Net Interest Income,Fees and Comission Income,Fees and Comission Expenses,Net Fee and Commission Income,Net gain (loss) from foreign currency and gold dealings,Net gain (loss) from trading of trading securities,Net gain (loss) from disposal of investment securities,Net Other income/(expenses),Other expenses,Net Other income/expenses,Dividends received,Total operating revenue,General & Admin Expenses,Operating Profit before Provision,Provision for credit losses,Profit before tax,Tax For the Year,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Attributable to parent company,EPS_basis,data_source,period_type
ACB,2022,4,11905432000000,0.4080880100541287,2870518000000,0.18201519871360658,11905432000000,-5451215000000,6454217000000,1392840000000,-465807000000,927033000000,503889000000,-110032000000,-2708000000,163883000000,-23306000000,140577000000,13020000000,7925996000000,-4064328000000,3861668000000,-250585000000,3611083000000,-740565000000,-692817000000,-47748000000,2870518000000,2870518000000,849,VCI,quarterly
ACB,2022,3,10320044000000,0.24480161842819617,3586992000000,0.7059670933575571,10320044000000,-4287794000000,6032250000000,1296877000000,-430092000000,866785000000,95844000000,-39964000000,-1502000000,104791000000,19046000000,123837000000,13711000000,7090961000000,-2525765000000,4565196000000,-90436000000,4474760000000,-887768000000,-866236000000,-21532000000,3586992000000,3586992000000,1063,VCI,quarterly
ACB,2022,2,9419513000000,0.08853707729324845,3943148000000,0.5234891731237696,9419513000000,-3813123000000,5606390000000,1342948000000,-349681000000,993267000000,145269000000,-226653000000,18353000000,412721000000,-56632000000,356089000000,30632000000,6923347000000,-2276351000000,4646996000000,267364000000,4914360000000,-971212000000,-903936000000,-67276000000,3943148000000,3943148000000,879,VCI,quarterly
ACB,2022,1,9053845000000,0.08887076612161261,3287535000000,0.3238035258905026,9053845000000,-3613173000000,5440672000000,1024894000000,-285735000000,739159000000,303367000000,-11224000000,6505000000,429099000000,-59908000000,369191000000,2093000000,6849763000000,-2738601000000,4111162000000,2843000000,4114005000000,-826470000000,-982622000000,156152000000,3287535000000,3287535000000,1217,VCI,quarterly
ACB,2021,4,8455034000000,-0.0007772751548139001,2428495000000,-0.04747831277997665,8455034000000,-3660712000000,4794322000000,1062911000000,-316093000000,746818000000,237959000000,61319000000,58365000000,134023000000,-64922000000,69101000000,3337000000,5971221000000,-2417444000000,3553777000000,-524017000000,3029760000000,-601265000000,-528304000000,-72961000000,2428495000000,2428495000000,898,VCI,quarterly
ACB,2021,3,8290513000000,0.04534854984200957,2102615000000,0.013517486980447052,8290513000000,-3770002000000,4520511000000,897088000000,-261529000000,635559000000,205933000000,183481000000,92038000000,148382000000,-106055000000,42327000000,10333000000,5690182000000,-2254497000000,3435685000000,-820086000000,2615599000000,-512984000000,-558745000000,45761000000,2102615000000,2102615000000,323,VCI,quarterly
ACB,2021,2,8653369000000,0.13670662331611247,2588235000000,0.7009341802182492,8653369000000,-3662982000000,4990387000000,1186356000000,-299977000000,886379000000,231524000000,91668000000,44709000000,174708000000,-195620000000,-20912000000,3462000000,6227217000000,-1592538000000,4634679000000,-1386245000000,3248434000000,-660199000000,-591994000000,-68205000000,2588235000000,2588235000000,673,VCI,quarterly
ACB,2021,1,8314894000000,0.05913986301701397,2483401000000,0.6156898948832603,8314894000000,-3675322000000,4639572000000,880105000000,-254898000000,625207000000,196140000000,113492000000,48939000000,246046000000,-197099000000,48947000000,3080000000,5675377000000,-1965297000000,3710080000000,-605761000000,3104319000000,-620918000000,-710036000000,89118000000,2483401000000,2483401000000,1149,VCI,quarterly
ACB,2020,4,8461611000000,0.10107592112644387,2549543000000,0.6456723001779581,8461611000000,-4045879000000,4415732000000,797121000000,-391415000000,405706000000,198686000000,63524000000,32411000000,136332000000,-70416000000,65916000000,13430000000,5195405000000,-1763715000000,3431690000000,-246961000000,3184729000000,-635186000000,-633372000000,-1814000000,2549543000000,2549543000000,1180,VCI,quarterly
ACB,2020,3,7930860000000,0.08859891099754125,2074572000000,0.33911433683705006,7930860000000,-4295859000000,3635001000000,735773000000,-244196000000,491577000000,192807000000,17433000000,37526000000,154046000000,-42811000000,111235000000,1000000,4485580000000,-1732012000000,2753568000000,-161996000000,2591572000000,-517000000000,-511134000000,-5866000000,2074572000000,2074572000000,548,VCI,quarterly
