ticker,yearReport,lengthReport,Revenue (Bn. VND),Revenue YoY (%),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Interest and Similar Income,Interest and Similar Expenses,Net Interest Income,Fees and Comission Income,Fees and Comission Expenses,Net Fee and Commission Income,Net gain (loss) from foreign currency and gold dealings,Net gain (loss) from trading of trading securities,Net gain (loss) from disposal of investment securities,Net Other income/(expenses),Other expenses,Net Other income/expenses,Dividends received,Total operating revenue,General & Admin Expenses,Operating Profit before Provision,Provision for credit losses,Profit before tax,Tax For the Year,Business income tax - current,Business income tax - deferred,Minority Interest,Net Profit For the Year,Attributable to parent company,EPS_basis,data_source,period_type
CTG,2022,4,30361859000000,0.40975870318312474,4260411000000,0.4586372438387081,30361859000000,-17514243000000,12847616000000,3652899000000,-1867318000000,1785581000000,1129622000000,-10320000000,70285000000,1403975000000,-26684000000,1377291000000,45268000000,17245343000000,-6363452000000,10881891000000,-5532595000000,5349296000000,-1075664000000,-1075213000000,-451000000,-13221000000,4273632000000,4260411000000,0,VCI,yearly
CTG,2022,3,27097979000000,0.3103860530481901,3338328000000,0.35716968889799544,27097979000000,-14174343000000,12923636000000,2972432000000,-1506948000000,1465484000000,843139000000,-136104000000,-104601000000,2596210000000,-357757000000,2238453000000,94172000000,17324179000000,-4846989000000,12477190000000,-8320626000000,4156564000000,-836900000000,-836900000000,0,18664000000,3319664000000,3338328000000,0,VCI,yearly
CTG,2022,2,25058970000000,0.17537134654265504,4645413000000,1.0644490810796399,25058970000000,-13046045000000,12012925000000,2850055000000,-1289822000000,1560233000000,813635000000,64000000,231100000000,1440988000000,-329685000000,1111303000000,211406000000,15940666000000,-4272331000000,11668335000000,-5883273000000,5785062000000,-1104211000000,-1104211000000,0,-35438000000,4680851000000,4645413000000,0,VCI,yearly
CTG,2022,1,22132345000000,0.04914796690220142,4663907000000,-0.27820425895836176,22132345000000,-11986480000000,10145865000000,2298808000000,-1020681000000,1278127000000,783664000000,56429000000,-232807000000,2147279000000,-269750000000,1877529000000,161398000000,14070205000000,-3821026000000,10249179000000,-4426683000000,5822496000000,-1124584000000,-1124584000000,0,-34005000000,4697912000000,4663907000000,0,VCI,yearly
CTG,2021,4,21536919000000,0.02463963825522201,2920816000000,-0.45885100216139746,21536919000000,-11140980000000,10395939000000,2720027000000,-1562183000000,1157844000000,457375000000,240507000000,70857000000,1689758000000,-220467000000,1469291000000,95295000000,13887108000000,-5831801000000,8055307000000,-4377224000000,3678083000000,-692378000000,-692882000000,504000000,-64889000000,2985705000000,2920816000000,0,VCI,yearly
CTG,2021,3,20679386000000,-0.005482943021089148,2459772000000,0.052690772952069885,20679386000000,-10807580000000,9871806000000,2180213000000,-1025810000000,1154403000000,498694000000,5853000000,232655000000,690077000000,-325323000000,364754000000,127293000000,12255458000000,-3646918000000,8608540000000,-5547913000000,3060627000000,-594990000000,-594990000000,0,-5865000000,2465637000000,2459772000000,0,VCI,yearly
CTG,2021,2,21320045000000,0.047534530487858204,2250195000000,-0.36998446096342025,21320045000000,-10441461000000,10878584000000,2448201000000,-1091380000000,1356821000000,516014000000,72152000000,21994000000,1493133000000,-358859000000,1134274000000,103558000000,14083397000000,-4187076000000,9896321000000,-7106255000000,2790066000000,-493609000000,-538687000000,45078000000,-46262000000,2296457000000,2250195000000,0,VCI,yearly
CTG,2021,1,21095542000000,-0.019336951210628693,6461533000000,1.6761747732210766,21095542000000,-10453406000000,10642136000000,2221818000000,-938646000000,1283172000000,340401000000,177352000000,-110284000000,652094000000,-213554000000,438540000000,151236000000,12922553000000,-3512229000000,9410324000000,-1350133000000,8060191000000,-1589040000000,-1581804000000,-7236000000,-9618000000,6471151000000,6461533000000,0,VCI,yearly
CTG,2020,4,21019018000000,-0.04086262147321441,5397434000000,1.0327825263304578,21019018000000,-10734007000000,10285011000000,2453218000000,-1308900000000,1144318000000,485610000000,203063000000,119153000000,891200000000,-114234000000,776966000000,172932000000,13187053000000,-5721358000000,7465695000000,-709908000000,6755787000000,-1327188000000,-1306807000000,-20381000000,-31165000000,5428599000000,5397434000000,0,VCI,yearly
CTG,2020,3,20793395000000,-0.003814828538004703,2336652000000,-0.06948668395228787,20793395000000,-11715115000000,9078280000000,2032996000000,-976367000000,1056629000000,477474000000,9143000000,106327000000,919165000000,-237211000000,681954000000,101155000000,11510962000000,-3748792000000,7762170000000,-4858146000000,2904024000000,-562375000000,-564907000000,2532000000,-4997000000,2341649000000,2336652000000,0,VCI,yearly
CTG,2020,2,20352594000000,0.0027602199405998185,3571650000000,1.0216917308554427,20352594000000,-12554695000000,7797899000000,1947948000000,-845467000000,1102481000000,643551000000,125970000000,-29150000000,475473000000,-280380000000,195093000000,138833000000,9974677000000,-3281706000000,6692971000000,-2207393000000,4485578000000,-875335000000,-855021000000,-20314000000,-38593000000,3610243000000,3571650000000,0,VCI,yearly
CTG,2020,1,21511509000000,0.09425459478387979,2414466000000,-0.04498653390296104,21511509000000,-13093071000000,8418438000000,1924473000000,-865447000000,1059026000000,393086000000,263099000000,164620000000,428781000000,-153401000000,275380000000,111118000000,10684767000000,-3317572000000,7367195000000,-4392768000000,2974427000000,-569710000000,-595321000000,25611000000,9749000000,2404717000000,2414466000000,0,VCI,yearly
CTG,2019,4,21914502000000,0.18202893310119767,2655195000000,4.186067050086575,21914502000000,-13222355000000,8692147000000,2384470000000,-1375712000000,1008758000000,375920000000,53507000000,-571774000000,994259000000,-96130000000,898129000000,116759000000,10573446000000,-5129759000000,5443687000000,-2119681000000,3324006000000,-670240000000,-658144000000,-12096000000,1429000000,2653766000000,2655195000000,0,VCI,yearly
CTG,2019,3,20873022000000,0.0867924115696696,2511143000000,0.34178952790506806,20873022000000,-12543172000000,8329850000000,1861468000000,-769876000000,1091592000000,401667000000,176068000000,23423000000,517873000000,-260856000000,257017000000,96263000000,10375880000000,-3752698000000,6623182000000,-3501760000000,3121422000000,-604276000000,-604741000000,465000000,-6003000000,2517146000000,2511143000000,0,VCI,yearly
CTG,2019,2,20296571000000,0.09631625738443779,1766664000000,-0.02292389911471241,20296571000000,-12069366000000,8227205000000,1936032000000,-949985000000,986047000000,372703000000,4822000000,-159891000000,441966000000,-246361000000,195605000000,313652000000,9940143000000,-3619264000000,6320879000000,-4138916000000,2181963000000,-413687000000,-419272000000,5585000000,-1612000000,1768276000000,1766664000000,0,VCI,yearly
CTG,2019,1,19658596000000,0.11629178407921355,2528201000000,0.04102069564136065,19658596000000,-11708960000000,7949636000000,1705592000000,-736267000000,969325000000,414492000000,131167000000,-82928000000,406494000000,-257074000000,149420000000,101155000000,9632267000000,-3237794000000,6394473000000,-3241532000000,3152941000000,-613857000000,-602724000000,-11133000000,-10883000000,2539084000000,2528201000000,0,VCI,yearly
CTG,2018,4,18539734000000,0.05914150493484758,-833377000000,-1.5282645833003186,18539734000000,-18275405000000,264329000000,1746696000000,-961808000000,784888000000,170213000000,-119773000000,116310000000,712644000000,-151999000000,560645000000,43494000000,1820106000000,-3384698000000,-1564592000000,527477000000,-1037115000000,188570000000,189022000000,-452000000,15168000000,-848545000000,-833377000000,0,VCI,yearly
