ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Investments in associate companies,Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Intagible fixed assets,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Undistributed earnings (Bn. VND),Minority Interest,Paid-in capital (Bn. VND),Other Reserves,MINORITY INTERESTS,data_source,period_type
CTG,2022,4,1809188549000000,11066956000000,29727110000000,243099096000000,1419789000000,1622967000000,-203178000000,3077852000000,1245057876000000,1274821709000000,-29763833000000,180312848000000,178685028000000,1696778000000,-68958000000,3586415000000,3303160000000,302650000000,-19395000000,10202191000000,6047480000000,4154711000000,81638416000000,1809188549000000,1700883827000000,104779302000000,210159957000000,1249181034000000,0,2392201000000,91370419000000,43000914000000,108304722000000,57868215000000,16084513000000,120993000000,33487474000000,0,48057506000000,836032000000,743527000000,VCI,yearly
CTG,2022,3,1750789603000000,10642176000000,14378541000000,238664064000000,1174872000000,1330176000000,-155304000000,6466331000000,1205989335000000,1245238538000000,-39249203000000,187035417000000,185475277000000,1696926000000,-136786000000,3484883000000,3271614000000,234462000000,-21193000000,10007629000000,5847374000000,4160255000000,72946355000000,1750789603000000,1644680947000000,98639999000000,232869143000000,1189722937000000,0,2428762000000,80824047000000,40196059000000,106108656000000,57612478000000,13657091000000,154445000000,33954333000000,0,48057506000000,580298000000,730309000000,VCI,yearly
CTG,2022,2,1691061895000000,9828518000000,25161218000000,188515680000000,1262081000000,1275396000000,-13315000000,7482072000000,1206862124000000,1238483280000000,-31621156000000,178123432000000,175554195000000,2696926000000,-127689000000,3330367000000,3117098000000,234462000000,-21193000000,10122739000000,5912813000000,4209926000000,60373664000000,1691061895000000,1588279814000000,59478812000000,217176920000000,1205567462000000,0,2460313000000,65446788000000,38149519000000,102782081000000,57612492000000,13658609000000,115464000000,30646543000000,0,48057506000000,580298000000,748973000000,VCI,yearly
CTG,2022,1,1663730167000000,9731856000000,19945813000000,177089244000000,4169069000000,4256339000000,-87270000000,3329136000000,1199357414000000,1229579098000000,-30221684000000,182530487000000,180142378000000,2696932000000,-308823000000,3410049000000,3196780000000,234462000000,-21193000000,10273641000000,6035257000000,4238384000000,53893458000000,1663730167000000,1565433744000000,51244665000000,194897542000000,1212678007000000,0,2457433000000,67896785000000,36259312000000,98296423000000,57548112000000,13672052000000,226294000000,26125429000000,0,48057506000000,515908000000,724536000000,VCI,yearly
CTG,2021,4,1531468324000000,11330659000000,23383443000000,149265358000000,2475309000000,2522807000000,-47498000000,1454790000000,1104872766000000,1130667767000000,-25795001000000,177544548000000,174973469000000,2696832000000,-125753000000,3290088000000,3073356000000,240662000000,-23930000000,10496153000000,6192823000000,4303330000000,47355210000000,1531468324000000,1437815206000000,33294404000000,138833846000000,1161796827000000,0,2527930000000,64496785000000,36865414000000,93653118000000,57548112000000,13667287000000,248642000000,21493885000000,0,48057506000000,515908000000,695192000000,VCI,yearly
CTG,2021,3,1447809011000000,9843822000000,27798897000000,112616156000000,3931998000000,4084278000000,-152280000000,1312378000000,1063141547000000,1084605792000000,-21464245000000,169797283000000,167390277000000,2616811000000,-209805000000,3221319000000,3004587000000,240662000000,-23930000000,10251153000000,5985898000000,4265255000000,45894458000000,1447809011000000,1352207779000000,17290591000000,160353249000000,1072892689000000,0,2554400000000,70193874000000,28922976000000,95601232000000,57548112000000,11612828000000,423291000000,25386698000000,0,48057506000000,515908000000,630303000000,VCI,yearly
CTG,2021,2,1473013792000000,8952203000000,37858344000000,152888570000000,3375866000000,3455359000000,-79493000000,1441177000000,1057905018000000,1076580794000000,-18675776000000,153323706000000,151148357000000,2616789000000,-441440000000,3151500000000,2934768000000,240662000000,-23930000000,10424057000000,6099543000000,4324514000000,43693351000000,1473013792000000,1379766341000000,79885745000000,164527010000000,1039512563000000,0,2654011000000,64960567000000,28226445000000,93247451000000,46724652000000,11616766000000,505992000000,33775594000000,0,37234046000000,515908000000,624447000000,VCI,yearly
CTG,2021,1,1343984509000000,8512099000000,10213007000000,139620432000000,1714943000000,1794656000000,-79713000000,2494187000000,1003228487000000,1017140022000000,-13911535000000,124271909000000,122125838000000,2616788000000,-470717000000,3470443000000,3253711000000,240662000000,-23930000000,10594037000000,6248344000000,4345693000000,39864965000000,1343984509000000,1252147404000000,33117292000000,123597851000000,1003700363000000,0,2685092000000,59875570000000,29171236000000,91837105000000,46724652000000,11605409000000,466292000000,32438131000000,0,37234046000000,515908000000,602621000000,VCI,yearly
CTG,2020,4,1341392922000000,9930181000000,57616650000000,102532918000000,5601747000000,5723160000000,-121413000000,137122000000,1002770924000000,1015333270000000,-12562346000000,114941998000000,112677836000000,2616778000000,-352616000000,3321069000000,3113631000000,240662000000,-33224000000,10810593000000,6408904000000,4401689000000,33729720000000,1341392922000000,1255997908000000,44597188000000,128519115000000,990331385000000,0,2733251000000,59875570000000,29941399000000,85395014000000,46724652000000,11605298000000,481781000000,25984590000000,0,37234046000000,515908000000,598693000000,VCI,yearly
CTG,2020,3,1261204481000000,8128568000000,17214434000000,128657592000000,3486087000000,3729764000000,-243677000000,587411000000,942889055000000,958011088000000,-15122033000000,110486984000000,104996531000000,9289880000000,-3799427000000,3201275000000,2993837000000,240662000000,-33224000000,10596961000000,6212644000000,4384317000000,35956114000000,1261204481000000,1177882018000000,14715033000000,125879374000000,939175387000000,0,5660599000000,63075573000000,29376052000000,83322463000000,46724652000000,9606249000000,527374000000,25895094000000,0,37234046000000,515908000000,569094000000,VCI,yearly
CTG,2020,2,1239556783000000,8172306000000,12877566000000,130011162000000,1720065000000,1939636000000,-219571000000,461071000000,928563088000000,941487524000000,-12924436000000,108755067000000,103400956000000,9259865000000,-3905754000000,3122888000000,2915450000000,240662000000,-33224000000,10795062000000,6335805000000,4459257000000,35078508000000,1239556783000000,1158537342000000,44380201000000,113721935000000,913319796000000,0,5703857000000,51266354000000,30145199000000,81019441000000,46724637000000,9607617000000,543560000000,23579527000000,0,37234046000000,515908000000,564100000000,VCI,yearly
CTG,2020,1,1222651543000000,7357800000000,25157456000000,126351102000000,1062874000000,1402836000000,-339962000000,0,910544322000000,923623069000000,-13078747000000,104957339000000,98083693000000,12244371000000,-5370725000000,3444235000000,3203573000000,240662000000,0,11009239000000,6492772000000,4516467000000,32767176000000,1222651543000000,1143840309000000,64983557000000,91560433000000,895750503000000,150870000000,5812081000000,57066368000000,28516497000000,78811234000000,46724637000000,9605683000000,641684000000,21287557000000,0,37234046000000,515908000000,551673000000,VCI,yearly
CTG,2019,4,1240789413000000,8282726000000,24873714000000,129315202000000,3825374000000,4051245000000,-225871000000,469712000000,922330111000000,935270945000000,-12940834000000,104614674000000,97131414000000,15367993000000,-7884733000000,3352087000000,3016965000000,335122000000,0,10996975000000,6422382000000,4574593000000,32728838000000,1240789413000000,1163433833000000,70602893000000,109483059000000,892782111000000,0,5775899000000,57066353000000,27723518000000,77355580000000,46724182000000,9606080000000,625493000000,19837055000000,0,37234046000000,515453000000,562770000000,VCI,yearly
CTG,2019,3,1202209786000000,9126688000000,23706522000000,124579397000000,6156938000000,6335465000000,-178527000000,166316000000,882446539000000,899056206000000,-16609667000000,107800001000000,97943709000000,16013551000000,-6157259000000,3363900000000,3016965000000,348122000000,-1187000000,10246291000000,5852656000000,4393635000000,34617194000000,1202209786000000,1127331143000000,73504342000000,93380834000000,865466194000000,0,5816935000000,55116359000000,34046479000000,74878643000000,46724637000000,8178233000000,662436000000,18752062000000,0,37234046000000,515893000000,561275000000,VCI,yearly
CTG,2019,2,1183795177000000,7557058000000,31819095000000,120643395000000,8176232000000,8329452000000,-153220000000,275014000000,872427307000000,885535114000000,-13107807000000,93309850000000,83477464000000,16013551000000,-6181165000000,3280430000000,3016965000000,264652000000,-1187000000,10513334000000,5911147000000,4602187000000,35793462000000,1183795177000000,1111297934000000,71482368000000,96386168000000,846859983000000,0,5901876000000,59516363000000,31151176000000,72497243000000,46729363000000,8178825000000,768361000000,16231997000000,0,37234046000000,520619000000,588697000000,VCI,yearly
CTG,2019,1,1146773760000000,7159806000000,32079140000000,110916146000000,4873810000000,4969738000000,-95928000000,317945000000,845319469000000,861590291000000,-16270822000000,96965471000000,83506493000000,16238985000000,-2780007000000,3572318000000,3016965000000,557045000000,-1692000000,10923490000000,6031026000000,4892464000000,34646165000000,1146773760000000,1076648264000000,58048220000000,95782417000000,824612550000000,0,5906646000000,46216359000000,46082072000000,70125496000000,46416214000000,8172689000000,716735000000,14512713000000,0,37234046000000,207470000000,307145000000,VCI,yearly
CTG,2018,4,1164318266000000,7028347000000,23182208000000,130562013000000,3249935000000,3379561000000,-129626000000,281166000000,851921034000000,864925948000000,-13004914000000,101947808000000,88416344000000,16227592000000,-2696128000000,3310455000000,2899502000000,412645000000,-1692000000,11114703000000,6193478000000,4921225000000,31720597000000,1164318266000000,1096849459000000,62600159000000,110873268000000,825816119000000,0,5934029000000,46216359000000,45409525000000,67468807000000,46416214000000,8153616000000,588950000000,12009703000000,0,37234046000000,207470000000,300324000000,VCI,yearly
CTG,2018,3,1172517257000000,6945214000000,7990998000000,103957229000000,1772106000000,1844309000000,-72203000000,104283000000,875799289000000,891617481000000,-15818192000000,124180204000000,121913144000000,2770774000000,-503714000000,3276573000000,2865620000000,412645000000,-1692000000,11065778000000,6117501000000,4948277000000,37425583000000,1172517257000000,1102602132000000,60513882000000,123346939000000,825749141000000,0,6598132000000,41116885000000,45277153000000,69915125000000,46208744000000,7559591000000,682091000000,15153067000000,0,37234046000000,0,311632000000,VCI,yearly
CTG,2018,2,1140117457000000,8080738000000,4381164000000,82099838000000,3113598000000,3166704000000,-53106000000,0,855081224000000,867566175000000,-12484951000000,137510740000000,135336693000000,2651129000000,-477082000000,3141561000000,2730608000000,412645000000,-1692000000,11214019000000,6212443000000,5001576000000,35494575000000,1140117457000000,1072074994000000,50176449000000,84202709000000,852447029000000,98116000000,6545121000000,31116883000000,47488687000000,68042463000000,46208756000000,7493676000000,657437000000,13372385000000,0,37234046000000,0,310209000000,VCI,yearly
