Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,data_source,period_type
ticker,yearReport,lengthReport,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Dividend yield (%),Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),,
CTG,2022,3,15.4999696443,0.09431491621192525,1.975955662120321,0.25831182493843063,0.1553582796,0.0,0.0093827613,0.0,16.499969644323834,139847342721900.0,4805750609.0,8.9827321732,1.3270975177,2.2842602628,1.7610851773,694.6527757283378,21927.5521294534,VCI,quarterly
CTG,2022,2,15.4528863256,0.09848739100738775,1.9140081740028774,0.3867012405388363,0.1505372438,0.0,0.0092767585,0.0,16.45288632558432,107648813641600.0,4805750609.0,7.328079565,1.055038073,1.9170476358,20.8464658078,966.6363026205049,21231.4612849274,VCI,quarterly
CTG,2022,1,15.9256430318,0.10451693649116815,1.8304762393091112,0.45968549749084975,0.1291465057,0.0,0.0080409727,0.0,16.925643031791708,127592678668950.0,4805750609.0,10.3778688065,1.3076787033,2.3499389251,3.9444898016,970.4846088487485,20303.1523977278,VCI,quarterly
CTG,2021,4,15.35446231,0.11207478431203967,1.744008601780071,0.2809574007696659,0.1573628965,0.0,0.0098076178,0.0,16.352560990014236,135522167173800.0,4805750609.0,9.6191693531,1.4579371491,2.5494874689,25.089686681,607.7751921895455,19342.3975904864,VCI,quarterly
CTG,2021,3,14.1442505574,0.1072282520375888,1.7802863856467885,0.24917142820675367,0.1805922508,0.0,0.0117925428,0.0,15.144250557356834,166038683540950.0,4805750609.0,10.0460008753,1.7483106177,3.1704301,-13.6962436378,511.83929423916555,19761.9345502745,VCI,quarterly
CTG,2021,2,14.7968263604,0.11178918981924771,1.7364542698734888,0.20684631382172533,0.1854677754,0.0,0.0121077068,0.0,15.796826360433165,147536543696300.0,4805750609.0,8.9935429584,1.5928715041,2.8577659196,3.4771946534,468.229665473263,19273.3688316118,VCI,quarterly
CTG,2021,1,13.634438514709473,0.11535682663341794,1.7101908030716029,0.6071650465658398,0.20758222043514252,0.0,0.013671962544322014,0.0,14.634438977578833,168202287505000.0,4805779643.0,9.4889223724,1.843626227,3.5397734118,-162.1531652166,1344.5337655903004,18984.3252869262,VCI,quarterly
CTG,2020,4,14.7056180304,0.12659513118646482,1.5902261680719438,0.5247864100485649,0.168260967,0.0,0.0106063543,0.0,15.70809417514704,148005331101000.0,3723404556.0,10.8083675988,1.7450880118,3.2659689227,18.8646698432,1449.5964429388746,22778.2207719896,VCI,quarterly
CTG,2020,3,14.1364282282,0.12718012188381903,1.5516311180744853,0.2573892851949929,0.1370067319,0.0,0.0088457017,0.0,15.136428228243805,113563838958000.0,3723404556.0,10.3447096971,1.3723168051,2.6568461579,-30.0572355266,627.5579150362945,22225.1887366493,VCI,quarterly
CTG,2020,2,14.2994980921,0.1332403910315797,1.5087442365283874,0.45802721989602585,0.1429504449,0.0,0.0090943789,0.0,15.299498092069038,111329796224400.0,3723404556.0,9.9825381517,1.3837464964,2.6756329549,-14.9984732785,959.2430653941543,21608.0041236325,VCI,quarterly
