ticker,yearReport,lengthReport,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from disposal of fixed assets,Profit/Loss from investing activities,Interest Expense,Interest income and dividends,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Finance lease principal payments,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,data_source,period_type
MSN,2022,4,903305000000.0,1133738000000.0,126867000000.0,-254619000000.0,0.0,-1112753000000.0,1662326000000.0,0.0,2458864000000.0,-178678000000.0,-277681000000.0,495978000000.0,83681000000.0,-1510427000000.0,-463763000000.0,0.0,-103000000.0,-1493437000000.0,-1096267000000.0,21352000000.0,-1013662000000.0,149400000000.0,-3062240000000.0,0.0,164555000000.0,-4836862000000.0,50231000000.0,0.0,28016679000000.0,-13914723000000.0,-3968000000.0,-3502000000.0,14144717000000.0,7814418000000.0,6045500000000.0,-6818000000.0,13853100000000.0,VCI,quarterly
MSN,2022,3,908892000000.0,1068389000000.0,55975000000.0,115338000000.0,0.0,-1330989000000.0,1242189000000.0,0.0,2059794000000.0,34029000000.0,-621726000000.0,-667112000000.0,-62231000000.0,-1288596000000.0,0.0,0.0,-863000000.0,-1747569000000.0,-933031000000.0,-125187000000.0,-1770600000000.0,339857000000.0,-4410944000000.0,0.0,115660000000.0,-6784245000000.0,65404000000.0,0.0,19305075000000.0,-13261768000000.0,-3317000000.0,-1239691000000.0,4865703000000.0,-3666111000000.0,9714354000000.0,-2743000000.0,6045500000000.0,VCI,quarterly
MSN,2022,2,1261187000000.0,1127065000000.0,32628000000.0,73366000000.0,0.0,-1733997000000.0,1274183000000.0,0.0,2034432000000.0,-46788000000.0,-670716000000.0,1177066000000.0,120585000000.0,-1230810000000.0,-123478000000.0,0.0,-315000000.0,1259976000000.0,-1293376000000.0,122283000000.0,-4679638000000.0,357880000000.0,-3964096000000.0,2755926000000.0,221086000000.0,-6479935000000.0,59138000000.0,0.0,19002891000000.0,-16470559000000.0,-3319000000.0,-579000000.0,2587572000000.0,-2632387000000.0,12349418000000.0,-2677000000.0,9714354000000.0,VCI,quarterly
MSN,2022,1,2073766000000.0,1077331000000.0,17374000000.0,24931000000.0,0.0,-1671127000000.0,1161355000000.0,0.0,2683630000000.0,-480240000000.0,-166021000000.0,-2438129000000.0,-46941000000.0,-1040684000000.0,-316021000000.0,0.0,-3416000000.0,-1807822000000.0,-842647000000.0,5471000000.0,-3872553000000.0,3902878000000.0,-5198281000000.0,-2472176000000.0,131091000000.0,-8346217000000.0,-215160000000.0,0.0,11735282000000.0,-11309309000000.0,-3323000000.0,-9310000000.0,198180000000.0,-9955859000000.0,22304822000000.0,455000000.0,12349418000000.0,VCI,quarterly
MSN,2021,4,7996802000000.0,1118144000000.0,34392000000.0,49062000000.0,0.0,-6688483000000.0,1258684000000.0,0.0,3768601000000.0,99091000000.0,-1041519000000.0,-3162819000000.0,93274000000.0,-1541409000000.0,-977618000000.0,0.0,-1406000000.0,-2763805000000.0,-679103000000.0,8379000000.0,-7021005000000.0,7037590000000.0,-3033174000000.0,7741531000000.0,389459000000.0,4443677000000.0,7636791000000.0,-1747831000000.0,19063840000000.0,-14486860000000.0,-14662000000.0,-2124750000000.0,8326528000000.0,10006400000000.0,12300031000000.0,-1609000000.0,22304822000000.0,VCI,quarterly
MSN,2021,3,1863066000000.0,1150287000000.0,38212000000.0,-67543000000.0,0.0,-1090363000000.0,1253949000000.0,0.0,3147608000000.0,-709247000000.0,-749956000000.0,1827813000000.0,142952000000.0,-1137841000000.0,-145011000000.0,0.0,-201000000.0,2376117000000.0,-807574000000.0,3242000000.0,-1100950000000.0,1045700000000.0,-19713000000.0,6412000000.0,179177000000.0,-693706000000.0,495923000000.0,0.0,15437892000000.0,-15736245000000.0,-1542000000.0,-1121563000000.0,-925535000000.0,756876000000.0,11544161000000.0,-1006000000.0,12300031000000.0,VCI,quarterly
MSN,2021,2,1141863000000.0,1140764000000.0,-13147000000.0,-9356000000.0,0.0,-1193382000000.0,1279579000000.0,0.0,2346321000000.0,280819000000.0,-355201000000.0,125715000000.0,1614000000.0,-1149081000000.0,-22357000000.0,0.0,-1483000000.0,1226347000000.0,-644181000000.0,2551000000.0,-117200000000.0,930400000000.0,-1507788000000.0,5939233000000.0,114746000000.0,4717761000000.0,9231209000000.0,-8029617000000.0,10366962000000.0,-12921002000000.0,-1456000000.0,-165888000000.0,-1519792000000.0,4424316000000.0,7117888000000.0,1957000000.0,11544161000000.0,VCI,quarterly
MSN,2021,1,487053000000.0,1222484000000.0,-37798000000.0,3131000000.0,0.0,-1052940000000.0,1300810000000.0,0.0,1922740000000.0,-471557000000.0,-85954000000.0,554073000000.0,135310000000.0,-1240565000000.0,-507614000000.0,0.0,-1179000000.0,305254000000.0,-674569000000.0,5107000000.0,-1025600000000.0,222000000000.0,-700000000000.0,0.0,51549000000.0,-2121513000000.0,0.0,0.0,15217054000000.0,-13970791000000.0,-1877000000.0,-29894000000.0,1214492000000.0,-601767000000.0,7721442000000.0,-1787000000.0,7117888000000.0,VCI,quarterly
MSN,2020,4,973297000000.0,2141185000000.0,194868000000.0,-5747000000.0,0.0,-2616619000000.0,1232043000000.0,0.0,577364000000.0,1054707000000.0,-1069381000000.0,518230000000.0,731934000000.0,-1237236000000.0,-457679000000.0,0.0,-192000000.0,117747000000.0,-1064913000000.0,10542000000.0,-10656450000000.0,9746780000000.0,6750920000000.0,-12107289000000.0,66882000000.0,-7253528000000.0,2118156000000.0,0.0,22322281000000.0,-13973207000000.0,-894000000.0,-1225330000000.0,9241006000000.0,2105225000000.0,5608241000000.0,7976000000.0,7721442000000.0,VCI,quarterly
MSN,2020,3,1100402000000.0,331834000000.0,-221340000000.0,14286000000.0,0.0,1047084000000.0,1140028000000.0,0.0,3412294000000.0,-971041000000.0,578694000000.0,-369196000000.0,-292826000000.0,-1176068000000.0,-179091000000.0,0.0,-1106000000.0,1001660000000.0,-1452762000000.0,38521000000.0,-831000000000.0,801853000000.0,-3705655000000.0,0.0,21192000000.0,-5127851000000.0,250769000000.0,0.0,19693220000000.0,-14746790000000.0,0.0,-146737000000.0,5050462000000.0,924271000000.0,4695511000000.0,-11541000000.0,5608241000000.0,VCI,quarterly
