ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Goodwill,Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),data_source,period_type
MSN,2022,4,47674624000000,13853100000000,3659175000000,13929560000000,14445345000000,1787444000000,93668191000000,81150000000,43535355000000,729763000000,31333885000000,0,12630578000000,141342815000000,104706076000000,65320877000000,39385199000000,36636739000000,36636739000000,-8388147000000,11381940000000,10484103000000,141342815000000,1227666000000,0,14634281000000,0,14237248000000,14237248000000,30425625000000,566330000000,40567379000000,5068477000000,7259881000000,2853643000000,2032612000000,2113762000000,VCI,yearly
MSN,2022,3,36801602000000,6045500000000,1678605000000,12788262000000,14328856000000,1960379000000,91629513000000,81150000000,43261306000000,686472000000,30037195000000,0,12575322000000,128431115000000,92829597000000,63610497000000,29219100000000,35601518000000,35601518000000,-8388147000000,11031770000000,9951301000000,128431115000000,1417469000000,0,14448342000000,0,14237248000000,14237248000000,20787275000000,135601000000,40143978000000,5234363000000,7035955000000,2322337000000,1981168000000,2062318000000,VCI,yearly
MSN,2022,2,36815333000000,9714354000000,646998000000,10830674000000,13763243000000,1860064000000,88444616000000,81150000000,41905655000000,738389000000,28077986000000,0,13031214000000,125259949000000,86463709000000,52344059000000,34119650000000,38796240000000,38796240000000,-8388147000000,14463437000000,9595509000000,125259949000000,1171714000000,0,13871725000000,0,14237248000000,14237248000000,26121080000000,108082000000,30751359000000,6163343000000,6593054000000,1498728000000,1984064000000,2065214000000,VCI,yearly
MSN,2022,1,38346182000000,12349418000000,586878000000,10445007000000,13150989000000,1813890000000,85937920000000,81150000000,42011999000000,785449000000,25344367000000,0,13385951000000,124284102000000,87545658000000,38734533000000,48811125000000,36738444000000,36738444000000,-8388147000000,13482046000000,9251005000000,124284102000000,1162841000000,2452812000000,13255913000000,0,11805347000000,11805347000000,39253051000000,134141000000,19182679000000,6142909000000,6647391000000,0,1856050000000,1937200000000,VCI,yearly
MSN,2021,4,43630176000000,22304822000000,332753000000,6634409000000,12813391000000,1544801000000,82463295000000,81150000000,42653939000000,810057000000,24538803000000,0,10560191000000,126093471000000,83756819000000,34547836000000,49208983000000,42336652000000,42336652000000,-8388147000000,18795877000000,9525670000000,126093471000000,851052000000,2452812000000,12947923000000,0,11805347000000,11805347000000,39371918000000,168183000000,18805727000000,3356819000000,6593682000000,0,1797328000000,1878478000000,VCI,yearly
MSN,2021,3,36888542000000,12300031000000,350250000000,8561607000000,13732231000000,1944423000000,86507910000000,81150000000,46967477000000,845196000000,23592295000000,0,11065866000000,123396452000000,91029737000000,39858448000000,51171289000000,32366715000000,32366715000000,-8563690000000,7549034000000,10850101000000,123396452000000,959621000000,1228300000000,13887942000000,0,11805347000000,11805347000000,40779897000000,204135000000,20255949000000,3544378000000,6613249000000,30589000000,1589963000000,1671113000000,VCI,yearly
MSN,2021,2,34398733000000,11544161000000,437650000000,7534983000000,13007276000000,1874663000000,86298169000000,0,48437761000000,12014000000,22649697000000,0,10681249000000,120696902000000,89260191000000,38124851000000,51135340000000,31436711000000,31436711000000,-8563690000000,7278838000000,10090196000000,120696902000000,520098000000,1140000000000,13138760000000,0,11805347000000,11805347000000,40407355000000,319013000000,20712056000000,3579677000000,6255403000000,30589000000,1571446000000,1571446000000,VCI,yearly
MSN,2021,1,31327888000000,7117888000000,550850000000,8921369000000,12630593000000,2107188000000,84938641000000,0,48495415000000,13266000000,21292099000000,0,10996725000000,116266529000000,90861428000000,37773997000000,53087431000000,25405101000000,25405101000000,-8563690000000,2468616000000,9232588000000,116266529000000,564658000000,1140000000000,12741993000000,0,11746832000000,11746832000000,42063508000000,559865000000,21226406000000,3705588000000,6335739000000,30589000000,1549143000000,1549143000000,VCI,yearly
MSN,2020,4,29760685000000,7721442000000,447250000000,7051442000000,12497917000000,2042634000000,85975877000000,0,49582187000000,14518000000,20353099000000,0,12159306000000,115736562000000,90706283000000,38874663000000,51831620000000,25030279000000,25030279000000,-8563690000000,2182124000000,9092640000000,115736562000000,606656000000,1140000000000,12730397000000,0,11746832000000,11746832000000,39466043000000,1074932000000,22545046000000,3831500000000,6533670000000,30589000000,1592008000000,1592008000000,VCI,yearly
MSN,2020,3,25574944000000,5608241000000,294900000000,6335709000000,11426294000000,1909800000000,83689616000000,0,47610899000000,15748000000,19507428000000,0,11095984000000,109264560000000,80668824000000,37457587000000,43211237000000,28595736000000,28595736000000,-8563690000000,6513704000000,8035222000000,109264560000000,733029000000,1140000000000,11519939000000,0,11746832000000,11746832000000,31826688000000,675790000000,21758110000000,3810167000000,6025217000000,21646000000,1573236000000,1573236000000,VCI,yearly
