ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Goodwill,Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),Budget sources and other funds,MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),data_source,period_type
GAS,2022,4,55651707958020,10549337638537,23726498790237,16191131770955,4102441805643,1082297952648,27154673281364,16369664841026,36267205787,406687103230,0,4052685959657,82806381239384,21489088811223,12487956920689,9001131890534,61317292428161,61317292428161,196658562647,19242897173727,0,1458213105122,82806381239384,223750541755,4185337349642,0,21063056727255,19139500000000,19139500000000,6037962890208,128097532572,44996858992,0,3997897390212,35000000000,92362544210,168689074161,VCI,quarterly
GAS,2022,3,57329016363977,10206278543029,25793995100008,17522046269497,2536824600677,1269871850766,27894846842380,17077040402901,36689694497,400625600819,0,4851360766468,85223863206357,27210833884142,15493286675805,11717547208337,58013029322215,58013029322215,196658562648,16023172827194,0,1373674345708,85223863206357,248585275695,2621657690676,0,21063056727255,19139500000000,19139500000000,8960439164636,134164113739,22500000000,0,4787328225297,35000000000,79545446225,147838558867,VCI,quarterly
GAS,2022,2,60393770234221,9054658184090,27617478798638,20633189886263,2107155077845,981288287385,28145700038987,17422757655931,37061933207,415349579430,0,4681744956807,88539470273208,27967582653074,17014431768668,10953150884406,60571887620134,60571887620134,196658562648,18762422641870,0,1193282828951,88539470273208,194447242615,2190616475999,0,21063056727255,19139500000000,19139500000000,8204318613980,129369743612,22500000000,0,4625136414449,35000000000,97706294405,168033469902,VCI,quarterly
GAS,2022,1,57191407495469,8648444105639,25048928654952,20684169362779,2094568899208,715296472891,27978748208217,17972543138207,21718563658,399368176514,0,4364289426946,85170155703686,29460831459392,18619859339324,10840972120068,55709324244294,55709324244294,196658562649,13949540186632,0,1152818955364,85170155703686,230324574676,2178030297362,0,21053839680240,19139500000000,19139500000000,8113095957168,49958201397,501538964190,0,4311436331820,35000000000,130044945415,207977387687,VCI,quarterly
GAS,2021,4,51395282303213,5600330735432,24499825654952,16920750783526,3241216225272,1133158904031,27372792385351,18098268868761,21934563658,400162192660,0,3794212189837,78768074688564,26575344013434,16561261573886,10014082439548,52192730675130,52192730675130,196658562647,10487292270016,0,1098473302817,78768074688564,413405237823,3324677623426,0,21053839680240,19139500000000,19139500000000,7510120451721,104816808984,484740000000,638356134,3744292533015,35000000000,117380137693,187160253871,VCI,quarterly
GAS,2021,3,47691610231135,5994119472080,23594578773344,14762971629838,2376664348665,963276007208,25526634163276,18695392203111,21736167454,394298174079,0,2379036194204,73218244394411,23025099014563,13841165658679,9183933355884,50193145379848,50193145379848,196658562648,8550242800618,0,1035937476932,73218244394411,501120373948,2399598145005,0,21053839680240,19139500000000,19139500000000,6916261691157,52768751310,958248272497,638356134,2321054921457,35000000000,116733803478,187022113084,VCI,quarterly
GAS,2021,2,50213422327082,5947560639666,25650532773344,15328324085809,1990374242842,1296630585421,24613014889519,19330095576422,21943368814,373751442755,0,1207346188115,74826437216601,26981135438345,20039328990025,6941806448320,47845301778256,47845301778256,196658562648,6156899737283,0,1081436938675,74826437216601,449817724457,2056852870273,0,21053839680240,19139500000000,19139500000000,4677596266574,175309603853,962640000000,638356134,1151283171419,35000000000,108801716439,182707631082,VCI,quarterly
GAS,2021,1,44230493070827,6457577994501,21594237927459,13439321385786,1977431082943,761924680138,24395822268817,19092950251135,22150570174,392296079925,0,1039341769295,68626315339644,17049736415072,11785544853231,5264191561841,51576578924572,51576578924572,196658562648,12080348068918,0,1089278589704,68626315339644,447154556759,2044004999575,0,18853826843892,19139500000000,19139500000000,3280614357698,137839635730,965580000000,7971024682,981394979085,35000000000,92233373556,164536574936,VCI,quarterly
GAS,2020,4,39354423990029,5335316636542,21515136327512,10148662370242,1662533695532,692774960201,23735231875655,19773601197998,22357771534,379543042759,0,1094658910163,63089655865684,13681513702675,9674514325093,4006999377582,49408142163009,49408142163009,196658562648,9958597337430,0,1042592559629,63089655865684,378695972786,1729107612164,0,18853826843892,19139500000000,19139500000000,1963867248970,228057065321,1017470000000,22372689424,1022898161376,35000000000,88202294337,162112201594,VCI,quarterly
GAS,2020,3,39767377868410,6819915906268,19913350000000,10578989825807,1814694121232,640428015103,21936921912262,14067547820860,22564972894,394781320357,0,867648308197,61704299780672,13910235763845,10868789583895,3041446179950,47794064016827,47794064016827,196658562648,8329627819410,0,1057483931467,61704299780672,712705284608,1881714395001,0,18853826843892,19139500000000,19139500000000,1463523862737,207818895049,1146918752129,37580395600,801711903584,35000000000,80967073905,165117011195,VCI,quarterly
