ticker,yearReport,lengthReport,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Finance lease principal payments,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,data_source,period_type
GAS,2022,4,4169039880294,804244136772,242699774105,-83770169408,-323739157422,83570676766,4892045141107,1445840137280,-1551678859451,-2690622812787,777517949757,-204756170404,-828591196364,15518718877,-360933449743,1494339458272,-567251707813,570658941,-6999768266787,9141809077942,0,-60000000000,197297517117,1712657279400,0,0,20000000000,-2864243727490,0,-11885148000,-2856128875490,350867862182,10206278543029,-7808766674,10549337638537,VCI,yearly
GAS,2022,3,3851199263663,774774629228,6390581675,103326354227,-569636340073,67533785424,4233588274144,3369474310085,-433457904793,-1902999725139,-177507911851,-111738427081,-1246981938820,553844887,-54399685209,3676530836223,-305400981076,0,-8691383724685,10916255177484,0,0,670730008001,2590200479724,92404972493,0,658402622960,-5625000000,0,-5865099848000,-5119917252547,1146814063400,9054658184090,4806295539,10206278543029,VCI,yearly
GAS,2022,2,6400522139419,763208964968,-11677095863,79441414730,-366959677302,91456259218,6955992005170,-422457411999,3084186310,-1070164810051,-293646379200,-112454399221,-883730437165,-116225533202,15748349280,4076145569922,-691887023085,978400000000,-17073938384308,13249818936306,-40424772709,0,317884526603,-3260146717193,66365778391,0,28277541866,-498481964190,0,-5331965700,-409170609633,406828243096,8648444105639,-614164645,9054658184090,VCI,yearly
GAS,2022,1,4381391090024,761903141989,174888101735,-25370597799,-218056650788,81978340051,5156733425212,-3610580648623,1103671782397,1762124879532,-596341213641,-108170786912,-492407620026,104308084152,-126200022927,3193137879164,-441415240274,-978400000000,-7847860000000,8124428976329,0,0,143966066603,-999280197342,0,0,618701374640,-2325000000,0,0,616376374640,2810234056462,5832777735432,5432313745,8648444105639,VCI,yearly
GAS,2021,4,2550558646707,797758784024,541019167212,-97345306983,-267842106395,100281311387,3722500495952,-3523189980347,-830040626574,4302690907345,-1393733238157,-92345807720,-631528637067,-10287508400,-84774968987,1459290636045,-1141541024915,-29156197996,-9726481613070,8987046800000,0,0,211373292527,-1698758743454,0,0,625414819490,-474224227503,0,-307022527100,-155831935113,-395300042522,5994119472080,1511305874,5600330735432,VCI,yearly
GAS,2021,3,3084370576314,812255631367,-45084752291,-15160477191,-414286404214,81356019689,3503450593674,595779935163,-306838300572,-883023459029,-732947769877,-76887521179,-638324744517,-12491734051,-47082230765,1401634768847,-658089369188,0,-14558146000000,16637411845885,0,0,508367965838,1929544442535,0,0,2313173813015,-38053272497,0,-5557736740000,-3282616199482,48563011900,5947560639666,-2004179486,5994119472080,VCI,yearly
GAS,2021,2,2932827367629,836848078086,243113266799,-9866240333,-165671859832,69687381742,3906937994091,-2053029244100,-42585565783,2589545066494,-587923374944,-48973529061,-540815706595,-69821662253,20904768017,3174238745866,-1135169668157,0,-6807155135731,2848960289846,0,0,14561724656,-5078802789386,0,0,1907546908876,-510944000000,0,-35100000,1396567808876,-507996234644,6457577994501,-2021120191,5947560639666,VCI,yearly
GAS,2021,1,2637241653121,791067632562,-535743765,-5772363790,-261092833403,52814030559,3213722375284,-2740780085818,-315526359383,1775794239236,-25705800531,-44235436822,-461315925080,89253311602,-116522998155,1374683320333,-1812372847872,209823959323,-10419101599947,10340000000000,0,0,259506505106,-1422143983390,0,0,1423792108728,-156100000000,0,0,1267692108728,1220231445671,5237246729402,99819428,6457577994501,VCI,yearly
GAS,2020,4,2074728670149,678004746657,538391723108,-7422465044,-310554621856,24808582325,2997956635339,-477141782449,172172805951,-753217197640,-229499994226,-35480673985,-308818192390,77642098398,-15577677189,1428036021809,-1926276895031,26774884542,-14401772135731,12800000000000,0,0,492200821009,-3009073325211,0,0,1346132383187,-973137749083,0,-276209296300,96785337804,-1484251965598,6819915906268,-347304128,5335316636542,VCI,yearly
GAS,2020,3,2605322825138,609040897469,-88261851,-13077596850,-494941378329,15777930913,2722034416490,-560413241266,-223011809481,58426488734,7999640956,-1310137219,-450379057244,13728639724,-1117836459608,449238481086,-1598293023272,18181819,-5954550000000,7150500000000,0,0,365753808579,-36571032874,0,0,656639352593,-254340334971,0,-6526331825000,-6124032807378,-5711365359166,12531543227548,-261962114,6819915906268,VCI,yearly
