ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Intagible fixed assets,Investment in properties,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Undistributed earnings (Bn. VND),Minority Interest,Paid-in capital (Bn. VND),Other Reserves,MINORITY INTERESTS,data_source,period_type
VPB,2021,1,436241186000000,2729326000000,3770309000000,18789761000000,5504075000000,5557235000000,-53160000000,0,296601536000000,301172723000000,-4571187000000,79948647000000,79554691000000,845994000000,-452038000000,238581000000,238602000000,-21000000,1803362000000,1170564000000,632798000000,0,26606800000000,436241186000000,380245874000000,29616000000,70921932000000,232426703000000,64334000000,164415000000,64955324000000,11683550000000,55995312000000,23466370000000,11911768000000,0,20617174000000,0,25299680000000,0,0,VCI,quarterly
VPB,2020,4,419026527000000,3282556000000,5779610000000,19554808000000,493214000000,493214000000,0,0,286319402000000,290816086000000,-4496684000000,76485435000000,75959904000000,854344000000,-328813000000,238581000000,238602000000,-21000000,1862830000000,1212163000000,650667000000,0,24751811000000,419026527000000,366233025000000,14220000000,56511282000000,233427953000000,139825000000,187156000000,62845488000000,13107101000000,52793502000000,23466370000000,11911768000000,0,17415364000000,0,25299680000000,0,0,VCI,quarterly
VPB,2020,3,413892030000000,2798877000000,5120560000000,26917855000000,100400000000,100400000000,0,0,273164448000000,278025352000000,-4860904000000,78349657000000,77730489000000,963373000000,-344205000000,174124000000,238602000000,-64478000000,1824043000000,1227037000000,597006000000,0,25442066000000,413892030000000,364165757000000,15626000000,49543378000000,241657962000000,123635000000,220291000000,58952160000000,13652705000000,49726273000000,23296370000000,8710260000000,0,17719643000000,0,25299680000000,0,0,VCI,quarterly
VPB,2020,2,399473210000000,3009979000000,3055805000000,26033839000000,291361000000,291909000000,-548000000,0,265908483000000,270139499000000,-4231016000000,75049841000000,74487173000000,973710000000,-411042000000,152181000000,238602000000,-86421000000,1870170000000,1258561000000,611609000000,0,24101551000000,399473210000000,351998451000000,16875000000,46402397000000,236776714000000,196919000000,246867000000,54972753000000,13385926000000,47474759000000,23296370000000,8710260000000,0,15468129000000,0,25299680000000,0,0,VCI,quarterly
VPB,2020,1,393208887000000,3141583000000,1440200000000,13323869000000,1117714000000,1122697000000,-4983000000,252332000000,259593869000000,263747911000000,-4154042000000,88120871000000,87410569000000,983934000000,-273632000000,133596000000,238602000000,-105006000000,1843301000000,1297175000000,546126000000,0,24241552000000,393208887000000,348685150000000,18594000000,63734621000000,215715762000000,0,276318000000,56343041000000,12596814000000,44523737000000,23296370000000,7107405000000,0,14119962000000,0,25299680000000,0,0,VCI,quarterly
VPB,2019,4,377213836000000,2459321000000,3454138000000,20097552000000,1566592000000,1571141000000,-4549000000,0,253099865000000,257183959000000,-4084094000000,68729363000000,67786907000000,1094329000000,-151873000000,174134000000,238602000000,-64468000000,1922972000000,1342690000000,580282000000,0,25709899000000,377213836000000,334996327000000,19492000000,50867989000000,213949567000000,45670000000,291823000000,57599723000000,12222063000000,42217509000000,23296370000000,7108571000000,0,11812568000000,0,25299680000000,0,0,VCI,quarterly
VPB,2019,3,358236462000000,2425876000000,1611449000000,16300937000000,2856573000000,2864216000000,-7643000000,0,249770615000000,254186603000000,-4415988000000,62993217000000,62311445000000,1259392000000,-577620000000,186310000000,227602000000,-41292000000,1844497000000,1317922000000,526575000000,0,20246988000000,358236462000000,317745217000000,2019968000000,40102564000000,205585380000000,12053000000,304897000000,57533752000000,12186603000000,40491245000000,24096960000000,5821080000000,-12578000000,10585783000000,0,25299680000000,0,0,VCI,quarterly
VPB,2019,2,348732250000000,2443631000000,6760926000000,19982265000000,4890945000000,4908642000000,-17697000000,100507000000,243517843000000,247632796000000,-4114953000000,50258989000000,48992906000000,1835094000000,-569011000000,160566000000,227602000000,-67036000000,1896219000000,1342561000000,553658000000,0,18720359000000,348732250000000,310523858000000,2020747000000,45436427000000,197362899000000,0,319874000000,53754809000000,11629102000000,38208392000000,24096960000000,5821080000000,-12829000000,8303181000000,0,25299680000000,0,0,VCI,quarterly
VPB,2019,1,322080318000000,2503797000000,3527200000000,8637912000000,4243645000000,4258686000000,-15041000000,22884000000,227412319000000,231458178000000,-4045859000000,54948182000000,52960253000000,2752955000000,-765026000000,171990000000,227602000000,-55612000000,1953309000000,1387528000000,565781000000,0,18659080000000,322080318000000,285900414000000,21651000000,39855245000000,188117243000000,0,325177000000,46862196000000,10718902000000,36179904000000,24096960000000,7200079000000,7951000000,4874914000000,0,25299680000000,0,0,VCI,quarterly
VPB,2018,4,323308442000000,1855473000000,10828571000000,16571491000000,4202413000000,4240742000000,-38329000000,0,217893250000000,221460023000000,-3566773000000,51926416000000,49417157000000,3564933000000,-1055674000000,190654000000,227602000000,-36948000000,1963096000000,1385572000000,577524000000,0,17375105000000,323308442000000,288558373000000,3781343000000,54231451000000,170850871000000,18571000000,329649000000,48658036000000,10688452000000,34750069000000,24096960000000,4550852000000,0,6102257000000,0,25299680000000,0,0,VCI,quarterly
VPB,2018,3,296216157000000,2520653000000,7396314000000,6446970000000,3961480000000,3980001000000,-18521000000,78207000000,196150699000000,200075422000000,-3924723000000,61370408000000,58767834000000,3958984000000,-1356410000000,189206000000,227602000000,-38396000000,952267000000,425546000000,526721000000,0,17149953000000,296216157000000,264229193000000,2024514000000,37990284000000,156441918000000,0,323615000000,56259579000000,11189283000000,31986964000000,24096960000000,3296689000000,-307682000000,4900997000000,0,25299680000000,0,0,VCI,quarterly
VPB,2018,2,293112204000000,2467514000000,3179428000000,18196723000000,5562517000000,5606715000000,-44198000000,81909000000,195314516000000,198870423000000,-3555907000000,51447213000000,48739231000000,4053078000000,-1345096000000,227581000000,227602000000,-21000000,948050000000,421055000000,526995000000,0,15269440000000,293112204000000,260123573000000,2025215000000,31843245000000,151302335000000,0,331149000000,64310939000000,10310690000000,32988631000000,21572335000000,3451380000000,-61633000000,8026549000000,0,15706230000000,0,0,VCI,quarterly
VPB,2018,1,284388078000000,2633305000000,2558337000000,23126653000000,2289930000000,2289930000000,0,0,185628816000000,189116170000000,-3487354000000,51672591000000,48704628000000,4134187000000,-1166224000000,220421000000,227602000000,-7181000000,775821000000,439475000000,336346000000,0,14971099000000,284388078000000,252752850000000,2025716000000,24718966000000,143121084000000,145611000000,3777792000000,66806375000000,12157306000000,31635228000000,21572335000000,6306011000000,-3335000000,3760217000000,0,15706230000000,0,0,VCI,quarterly
VPB,2017,4,277750092000000,2574284000000,6460207000000,17520024000000,1424854000000,1424854000000,0,0,179517453000000,182666213000000,-3148760000000,53558049000000,50384788000000,4151127000000,-977866000000,152506000000,194602000000,-42096000000,808487000000,457682000000,350805000000,0,15734228000000,277750092000000,248056817000000,26015000000,33200418000000,133550812000000,160470000000,3899364000000,66104605000000,11115133000000,29693275000000,21572335000000,2750678000000,0,5370262000000,0,15706230000000,0,0,VCI,quarterly
VPB,2017,3,253847293000000,2061845000000,5824839000000,6053720000000,2978254000000,2981776000000,-3522000000,0,165142508000000,167681573000000,-2539065000000,54375013000000,50970143000000,4313722000000,-908852000000,248363000000,299372000000,-51009000000,754704000000,434716000000,319988000000,0,16408047000000,253847293000000,226222971000000,26641000000,18985620000000,127775507000000,116729000000,4066470000000,64289603000000,10962401000000,27624322000000,21572336000000,4434666000000,-131872000000,1749192000000,0,15706230000000,0,0,VCI,quarterly
