ticker,yearReport,lengthReport,Profits from other activities,Operating profit before changes in working capital,Net Cash Flows from Operating Activities before BIT,Payment from reserves,Purchase of fixed assets,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,Net cash inflows/outflows from operating activities,Proceeds from disposal of fixed assets,Investment in other entities,Proceeds from divestment in other entities,Dividends paid,data_source,period_type
VPB,2021,3,-164872000000,6780991000000,14170897000000,0,-6379000000,1967000000,1095000000,0,150000000000,14321992000000,32597863000000,0,46919855000000,14170897000000,-2000000,0,5509000000,0,VCI,quarterly
VPB,2021,2,-395391000000,9487729000000,12495677000000,0,-8632000000,0,-6912000000,0,0,12488765000000,20109098000000,0,32597863000000,12495677000000,1720000000,0,0,0,VCI,quarterly
VPB,2021,1,83773000000,7067924000000,-2756982000000,0,-25111000000,0,-25111000000,0,0,-2782093000000,22891191000000,0,20109098000000,-2756982000000,0,0,0,0,VCI,quarterly
VPB,2020,4,142855000000,6964461000000,-4414789000000,0,-8660000000,2477000000,1323000000,0,170000000000,-4243466000000,27134657000000,0,22891191000000,-4414789000000,7506000000,0,0,0,VCI,quarterly
VPB,2020,3,-12967000000,5019578000000,1266888000000,0,-5242000000,2536000000,3821000000,0,0,1270709000000,25863948000000,0,27134657000000,1266888000000,6527000000,0,0,0,VCI,quarterly
VPB,2020,2,-30710000000,7562234000000,3183785000000,0,-4493000000,0,-4360000000,0,0,3179425000000,22684523000000,0,25863948000000,3183785000000,133000000,0,0,0,VCI,quarterly
VPB,2020,1,-9109000000,6387133000000,1283670000000,0,-7140000000,0,4408000000,0,0,1288078000000,21396445000000,0,22684523000000,1283670000000,11548000000,0,0,0,VCI,quarterly
VPB,2019,4,-3586000000,6338080000000,2726443000000,0,-13008000000,0,-11629000000,0,-2415590000000,299224000000,21097220000000,0,21396444000000,2726443000000,12379000000,-11000000000,0,0,VCI,quarterly
VPB,2019,3,42539000000,5866306000000,-4463065000000,0,-4733000000,2635000000,-1524000000,0,-1000000000000,-5464589000000,26561809000000,0,21097220000000,-4463065000000,574000000,0,0,0,VCI,quarterly
VPB,2019,2,29647000000,6531986000000,13273509000000,0,-13341000000,0,-11975000000,0,0,13261534000000,13300275000000,0,26561809000000,13273509000000,1366000000,0,0,0,VCI,quarterly
VPB,2019,1,72816000000,4427943000000,-14705522000000,0,-15875000000,0,-15875000000,0,0,-14721397000000,28021672000000,0,13300275000000,-14705522000000,0,0,0,0,VCI,quarterly
VPB,2018,4,643818000000,5446924000000,12022379000000,0,-81462000000,0,-81404000000,0,0,11940975000000,16080697000000,0,28021672000000,12022379000000,58000000,0,0,0,VCI,quarterly
VPB,2018,3,3855000000,4062336000000,-2798965000000,0,-4712000000,0,-2794000000,336951000000,-4801209000000,-7602968000000,23683665000000,0,16080697000000,-2798965000000,1918000000,0,0,-146439000000,VCI,quarterly
VPB,2018,2,137000000,4299929000000,-1887674000000,0,-6922000000,0,-5655000000,0,0,-1893329000000,25576994000000,0,23683665000000,-1887674000000,422000000,0,845000000,0,VCI,quarterly
VPB,2018,1,840737000000,4574466000000,1349973000000,0,-26795000000,0,-26779000000,0,0,1323194000000,24253800000000,0,25576994000000,1349973000000,16000000,0,0,0,VCI,quarterly
VPB,2017,4,994321000000,4778595000000,10555352000000,0,-60425000000,598000000,67452000000,1000000,1000000,10622805000000,13630405000000,0,24253210000000,10555352000000,107000000,-30000000000,157172000000,0,VCI,quarterly
VPB,2017,3,112335000000,4164221000000,-4740331000000,0,-85611000000,0,-85367000000,6224936000000,6078497000000,1252799000000,12377606000000,0,13630405000000,-4740331000000,-324000000,0,568000000,-146439000000,VCI,quarterly
VPB,2017,2,108253000000,4293042000000,2310519000000,0,-22634000000,0,224606000000,-550000000,-550000000,2534575000000,9843031000000,0,12377606000000,2310519000000,237292000000,0,0,0,VCI,quarterly
VPB,2017,1,23034000000,3759827000000,1123141000000,0,-79236000000,0,-79236000000,0,0,1043905000000,8799126000000,0,9843031000000,1123141000000,0,0,0,0,VCI,quarterly
VPB,2016,4,187228000000,3394530000000,-4388402000000,0,-102476000000,410000000,-94358000000,0,2876960000000,-1605800000000,10404926000000,0,8799126000000,-4388402000000,3000000,0,7705000000,0,VCI,quarterly
VPB,2016,3,63187000000,1988094000000,976564000000,0,-137422000000,0,-135731000000,0,-146439000000,694394000000,9710532000000,0,10404926000000,976564000000,1691000000,0,0,-146439000000,VCI,quarterly
VPB,2016,2,268119000000,2574829000000,-5911140000000,0,134872000000,0,-7407000000,0,0,-5918547000000,15629079000000,0,9710532000000,-5911140000000,-142279000000,0,0,0,VCI,quarterly
VPB,2016,1,18636000000,1653979000000,3011456000000,0,-194855000000,0,-6046000000,0,0,3005410000000,12623669000000,0,15629079000000,3011456000000,188259000000,0,550000000,0,VCI,quarterly
VPB,2015,4,481961000000,2159214000000,-257206000000,0,-111322000000,1997000000,361092000000,1000000,1000000,103887000000,12519782000000,0,12623669000000,-257206000000,131514000000,185277000000,338902000000,0,VCI,quarterly
VPB,2015,3,55506000000,1352975000000,-330307000000,0,-30269000000,347000000,-215145000000,-1000000,-1000000,-545453000000,13065235000000,0,12519782000000,-330307000000,54000000,-185277000000,0,0,VCI,quarterly
VPB,2015,2,60404000000,2422905000000,1805180000000,0,-39678000000,0,-13965000000,2019690000000,2019690000000,3810905000000,9368339000000,-114009000000,13065235000000,1805180000000,24343000000,-42500000000,43800000000,0,VCI,quarterly
VPB,2015,1,23075000000,1221754000000,-39280000000,0,-40845000000,0,1585000000,0,0,-37695000000,9292025000000,114009000000,9368339000000,-39280000000,0,42500000000,0,0,VCI,quarterly
VPB,2014,4,-51519000000,296488000000,2474125000000,0,185859000000,1814000000,-1034859000000,0,0,1439266000000,7810065000000,42694000000,9292025000000,2474125000000,-1381000000,-1221151000000,0,0,VCI,quarterly
VPB,2014,3,22097000000,-89038000000,443374000000,0,-115286000000,3358000000,-110613000000,0,0,332761000000,7487005000000,-9701000000,7810065000000,443374000000,2893000000,0,0,0,VCI,quarterly
VPB,2014,2,17774000000,908133000000,-5442592000000,0,-155346000000,3542000000,-151508000000,0,0,-5594100000000,13116640000000,-35535000000,7487005000000,-5442592000000,383000000,0,0,0,VCI,quarterly
VPB,2014,1,4459000000,88761000000,7658235000000,0,-12172000000,2000000,-12171000000,0,0,7646064000000,5468034000000,2542000000,13116640000000,7658235000000,0,0,0,0,VCI,quarterly
VPB,2013,4,75188000000,1042400000000,-10196871000000,0,-91636000000,-31982000000,-104502000000,0,0,-10301373000000,15743489000000,25918000000,5468034000000,-10196871000000,11487000000,140000000,0,0,VCI,quarterly
VPB,2013,3,26158000000,735652000000,-199752000000,-1000000,-10272000000,32843000000,16640000000,2500000000000,2500000000000,2316887000000,13425433000000,1169000000,15743489000000,-199753000000,-10578000000,-3331000000,0,0,VCI,quarterly
VPB,2013,2,-29681000000,620055000000,676716000000,-26000000,10382000000,10507000000,21609000000,0,0,698299000000,12728568000000,-1434000000,13425433000000,676690000000,3089000000,-1302000000,0,0,VCI,quarterly
VPB,2013,1,30722000000,204179000000,-5212436000000,0,-21918000000,260000000,-21328000000,0,0,-5233764000000,17987985000000,-25653000000,12728568000000,-5212436000000,0,0,0,0,VCI,quarterly
