ticker,yearReport,lengthReport,Revenue (Bn. VND),Revenue YoY (%),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Interest and Similar Income,Interest and Similar Expenses,Net Interest Income,Fees and Comission Income,Fees and Comission Expenses,Net Fee and Commission Income,Net gain (loss) from foreign currency and gold dealings,Net gain (loss) from disposal of investment securities,Net Other income/(expenses),Other expenses,Net Other income/expenses,Dividends received,Total operating revenue,General & Admin Expenses,Operating Profit before Provision,Provision for credit losses,Profit before tax,Tax For the Year,Business income tax - current,Business income tax - deferred,Minority Interest,Net Profit For the Year,Attributable to parent company,EPS_basis,data_source,period_type
VIB,2022,4,7780419000000,0.37120335472036886,2216919000000,0.03705611253943483,7780419000000,-3869378000000,3911041000000,1286483000000,-446671000000,839812000000,-51797000000,-97173000000,107457000000,-22737000000,84720000000,0,4686603000000,-1566220000000,3120383000000,-353349000000,2767034000000,-550115000000,-550115000000,0,0,2216919000000,2216919000000,0,VCI,yearly
VIB,2022,3,7107264000000,0.40758582746217364,2233407000000,1.0156138740655907,7107264000000,-3271236000000,3836028000000,1144161000000,-348688000000,795473000000,-55121000000,-65840000000,123794000000,-10362000000,113432000000,2545000000,4626517000000,-1669754000000,2956763000000,-165640000000,2791123000000,-557716000000,-557716000000,0,0,2233407000000,2233407000000,1099,VCI,yearly
VIB,2022,2,6568790000000,0.24848994219776227,2195308000000,0.2779891290110567,6568790000000,-2869195000000,3699595000000,1172464000000,-267097000000,905367000000,-87056000000,-15146000000,113957000000,-8465000000,105492000000,350000000,4608602000000,-1501223000000,3107379000000,-363332000000,2744047000000,-548739000000,-548739000000,0,0,2195308000000,2195308000000,1042,VCI,yearly
VIB,2022,1,6052866000000,0.2129479094170567,1823136000000,0.2606284555791267,6052866000000,-2536975000000,3515891000000,925862000000,-278133000000,647729000000,-81058000000,2316000000,63158000000,-11920000000,51238000000,0,4136116000000,-1459919000000,2676197000000,-397282000000,2278915000000,-455779000000,-455779000000,0,0,1823136000000,1823136000000,1109,VCI,yearly
VIB,2021,4,5674154000000,0.18227132869813872,2137704000000,0.5048350752556919,5674154000000,-2274426000000,3399728000000,1107175000000,-152906000000,954269000000,-38338000000,101640000000,96633000000,-11721000000,84912000000,0,4502211000000,-1146733000000,3355478000000,-683220000000,2672258000000,-534554000000,-534554000000,0,0,2137704000000,2137704000000,1376,VCI,yearly
VIB,2021,3,5049258000000,0.1459888920335713,1108053000000,-0.1699256264963847,5049258000000,-2370829000000,2678429000000,625749000000,-211559000000,414190000000,-33725000000,-3766000000,34111000000,-10611000000,23500000000,1591000000,3080219000000,-1428619000000,1651600000000,-266931000000,1384669000000,-276616000000,-276616000000,0,0,1108053000000,1108053000000,714,VCI,yearly
VIB,2021,2,5261388000000,0.27238830785318385,1717783000000,0.6760117589321344,5261388000000,-2301783000000,2959605000000,985622000000,-220728000000,764894000000,-23427000000,42855000000,79687000000,-16915000000,62772000000,175000000,3806874000000,-1345835000000,2461039000000,-313854000000,2147185000000,-429402000000,-429402000000,0,0,1717783000000,1717783000000,757,VCI,yearly
VIB,2021,1,4990211000000,0.21811606178003903,1446212000000,0.6811551074165736,4990211000000,-2211826000000,2778385000000,802154000000,-193555000000,608599000000,8742000000,56068000000,69973000000,-20167000000,49806000000,0,3501600000000,-1360655000000,2140945000000,-334043000000,1806902000000,-360690000000,-360690000000,0,0,1446212000000,1446212000000,1220,VCI,yearly
VIB,2020,4,4799367000000,0.23090454948465744,1420557000000,0.5219019743756488,4799367000000,-2238104000000,2561263000000,894478000000,-143283000000,751195000000,27562000000,-47386000000,89936000000,-12945000000,76991000000,0,3369625000000,-1303218000000,2066407000000,-290137000000,1776270000000,-355713000000,-355551000000,-162000000,0,1420557000000,1420557000000,0,VCI,yearly
VIB,2020,3,4406027000000,0.19569719900285001,1334884000000,0.5237914769847539,4406027000000,-2172610000000,2233417000000,758426000000,-142841000000,615585000000,20950000000,-8951000000,182390000000,-14090000000,168300000000,1941000000,3031242000000,-1124746000000,1906496000000,-238378000000,1668118000000,-333234000000,-333234000000,0,0,1334884000000,1334884000000,0,VCI,yearly
