Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,data_source,period_type
ticker,yearReport,lengthReport,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Net Profit Margin (%),ROE (%),ROA (%),Dividend yield (%),Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),,
VIB,2016,4,10.9546675918,0.04291321835011314,0.25683126718374394,0.2992013934492076,0.0647395987,0.0059497381,0.0,11.958539446895992,11288811780000.0,564440589.0,20.096505095,1.2912206126,3.3192908084,2.1943561785,415.7142568639762,15489.2198939662,VCI,quarterly
VIB,2016,3,9.3939980727,0.04677214740715499,0.2504430287809359,0.13011041296235235,0.0613324393,0.0061068063,0.0588720122,10.393998072748749,9587587844754.0,564440589.0,18.2037547443,0.9653519404,2.83925166,1.9115526178,149.60653370021907,17595.6553147575,VCI,quarterly
VIB,2016,2,0.0,0.047078071796469015,0.2474995554575612,0.22270802342566906,0.0,0.0,0.0,10.291746524201654,0.0,484500000.0,0.0,0.0,0.0,0.0,274.3983488132095,17388.8524251806,VCI,quarterly
VIB,2016,1,8.7373767497,0.04376564935351223,0.2572015074557557,0.18635577684088125,0.0560687741,0.0059924425,0.0,9.73737674974078,0.0,425000000.0,0.0,0.0,0.0,0.0,260.94588235294117,18070.4932920537,VCI,quarterly
VIB,2015,4,0.0,0.04578237264010595,0.2539432873042977,0.3290290052889168,0.0,0.0,0.0,9.765110517472667,0.0,425000000.0,0.0,0.0,0.0,0.0,466.8023529411765,20260.7270588235,VCI,quarterly
VIB,2015,3,0.0,0.040862825241132925,0.24768415764425966,0.11663588677324982,0.0,0.0,0.0,8.60542761180282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VCI,quarterly
VIB,2015,2,0.0,0.045798975083818236,0.24458695752305304,0.16422754114778437,0.0,0.0,0.0,9.292654334970743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VCI,quarterly
VIB,2015,1,0.0,0.0456258676218695,0.2543376058837751,0.2194622348717689,0.0,0.0,0.0,9.012645026009443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VCI,quarterly
VIB,2014,4,0.0,0.04596911275978848,0.24990997616563929,0.4911409785377201,0.0,0.0,0.0,9.487852042770385,0.0,425000000.0,0.0,0.0,0.0,0.0,803.5609874917646,20000.6188235294,VCI,quarterly
VIB,2014,3,8.3452818638,0.04847673845294333,0.23967036067818465,0.10670552856285147,0.0253767826,0.0027216922,0.0,9.345281863862548,0.0,425000000.0,0.0,0.0,0.0,0.0,142.46262833411765,19196.2182650894,VCI,quarterly
VIB,2014,2,7.7006023261,0.04436760448311888,0.23782609929875823,0.15605539542605246,-0.0014329393,-0.0001605201,0.0,8.700602326148456,0.0,425000000.0,0.0,0.0,0.0,0.0,194.22276925882352,19048.5035294118,VCI,quarterly
VIB,2014,1,8.6302482416,0.04576202801439739,0.2359002216232769,0.0702915617265515,0.0061450075,0.0007082266,0.0,9.599578736086615,0.0,425000000.0,0.0,0.0,0.0,0.0,82.89017191764705,18782.6494117647,VCI,quarterly
VIB,2013,4,8.6577006725,0.0461992982725874,0.233905377730139,0.04792870841305084,0.0063993426,0.0007365049,0.0,9.657700672552508,0.0,425000000.0,0.0,0.0,0.0,0.0,61.78044279529412,18734.4762680729,VCI,quarterly
VIB,2013,3,6.7595953061,0.0801138810910808,0.24783317544158878,-0.35398203706755793,0.0632988031,0.0064604986,0.0,7.813845554537456,0.0,425000000.0,0.0,0.0,0.0,0.0,-366.3081098517647,19850.0128077788,VCI,quarterly
VIB,2013,2,6.7595953061,0.07340231514137274,0.25043033785040275,-0.0036478402636138806,0.0632988031,0.0064604986,0.0,8.038699125114976,0.0,425000000.0,0.0,0.0,0.0,0.0,-4.4709059011764705,20058.0305882353,VCI,quarterly
VIB,2013,1,6.7595953061,0.07275403315274605,0.24959537122533204,0.27820149641248443,0.0632988031,0.0064604986,0.0,7.801851723186194,0.0,425000000.0,0.0,0.0,0.0,0.0,391.2120823717647,19697.56,VCI,quarterly
