ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Intagible fixed assets,Investment in properties,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Undistributed earnings (Bn. VND),Minority Interest,Paid-in capital (Bn. VND),Other Reserves,MINORITY INTERESTS,data_source,period_type
VIB,2020,4,244701478000000,1421993000000,24591537000000,4368977000000,23753000000,167797844000000,169520235000000,-1722391000000,41371557000000,41423474000000,42380000000,-94297000000,73628000000,137272000000,-63644000000,406874000000,263083000000,143791000000,0,4396495000000,244701478000000,226729386000000,0,42476122000000,150360495000000,0,10088000000,28558863000000,5323818000000,17972092000000,11095229000000,1252898000000,0,5623965000000,0,11093879000000,0,0,VCI,quarterly
VIB,2020,3,213086346000000,1350714000000,19441008000000,7955573000000,36881000000,147458347000000,148995728000000,-1537381000000,30597218000000,30648254000000,42380000000,-93416000000,72852000000,137273000000,-64421000000,345339000000,218774000000,126565000000,0,5556254000000,213086346000000,196534446000000,0,25390601000000,138030636000000,0,10239000000,27679604000000,5423366000000,16551900000000,9246246000000,3083856000000,365000000,4221433000000,0,9244914000000,0,0,VCI,quarterly
VIB,2020,2,202369814000000,1419719000000,18793718000000,8109221000000,14521000000,136276520000000,137902967000000,-1626447000000,31621600000000,31659542000000,42380000000,-80322000000,72809000000,137274000000,-64465000000,353876000000,222008000000,131868000000,0,5404854000000,202369814000000,187154218000000,0,34033521000000,127953459000000,0,10395000000,19821292000000,5335551000000,15215596000000,9246246000000,3083856000000,-1055000000,2886549000000,0,9244914000000,0,0,VCI,quarterly
VIB,2020,1,193314367000000,1244934000000,2982262000000,5974665000000,48285000000,133467428000000,134863315000000,-1395887000000,44087060000000,44118266000000,42380000000,-73586000000,105817000000,185284000000,-79467000000,357235000000,225941000000,131294000000,0,4730119000000,193314367000000,179029563000000,0,33579545000000,123195235000000,0,10547000000,17622161000000,4622075000000,14284804000000,9246246000000,2593032000000,-5089000000,2450615000000,0,9244914000000,0,0,VCI,quarterly
VIB,2019,4,184570119000000,1159602000000,19040311000000,4011859000000,0,127942036000000,129199806000000,-1257770000000,27841992000000,27882168000000,42380000000,-82556000000,109658000000,185273000000,-75615000000,365110000000,228214000000,136896000000,0,3773250000000,184570119000000,171138819000000,0,27225110000000,122357044000000,2426000000,10702000000,17154847000000,4388690000000,13431300000000,9246246000000,2593032000000,0,1592022000000,0,9244914000000,0,0,VCI,quarterly
VIB,2019,3,175657834000000,1371421000000,7106226000000,4296982000000,0,121966052000000,123223074000000,-1257022000000,36557060000000,36702664000000,42380000000,-187984000000,114695000000,185273000000,-70578000000,313569000000,174343000000,139226000000,0,3596415000000,175657834000000,163159368000000,0,29575269000000,113716543000000,83254000000,10858000000,15247848000000,4525596000000,12498466000000,9246246000000,893032000000,348000000,2358840000000,0,9244914000000,0,0,VCI,quarterly
VIB,2019,2,163856431000000,1369146000000,2893525000000,11829831000000,0,113386619000000,114484252000000,-1097633000000,30331956000000,30469211000000,42380000000,-179635000000,114698000000,185276000000,-70578000000,328619000000,180503000000,148116000000,0,3234833000000,163856431000000,152235209000000,528545000000,32799102000000,99158301000000,26826000000,11015000000,15257112000000,4454308000000,11621222000000,7835885000000,2031175000000,-2863000000,1757025000000,0,7834673000000,0,0,VCI,quarterly
VIB,2019,1,144836310000000,1345455000000,1876694000000,7204567000000,89570000000,100869689000000,101904151000000,-1034462000000,29533618000000,29654857000000,42380000000,-163619000000,115307000000,185274000000,-69967000000,335905000000,186218000000,149687000000,0,3078536000000,144836310000000,133582889000000,0,30732753000000,88668128000000,0,17988000000,10454903000000,3709117000000,11253421000000,7835885000000,2031175000000,7175000000,1379186000000,0,7834673000000,0,0,VCI,quarterly
VIB,2018,4,139000254000000,1098118000000,2473941000000,8415605000000,0,95260822000000,96138734000000,-877912000000,28572852000000,28636516000000,42380000000,-106044000000,109659000000,185274000000,-75615000000,350756000000,195020000000,155736000000,0,2300079000000,139000254000000,128333182000000,832575000000,29399947000000,84862631000000,21624000000,19818000000,10152430000000,3044157000000,10667072000000,7835884000000,1708703000000,0,1122485000000,0,7834673000000,0,0,VCI,quarterly
VIB,2018,3,132506950000000,1181412000000,2788185000000,8512212000000,17891000000,89687957000000,90747929000000,-1059972000000,26713816000000,26848761000000,42380000000,-177325000000,109662000000,185277000000,-75615000000,353403000000,203696000000,149707000000,0,2657397000000,132506950000000,122387901000000,0,30412962000000,79574941000000,0,21896000000,9403368000000,2974734000000,10119049000000,6039799000000,2190594000000,0,1888656000000,0,5644425000000,0,0,VCI,quarterly
VIB,2018,2,127237947000000,1114707000000,2277276000000,7264398000000,64143000000,86200406000000,87282734000000,-1082328000000,26645929000000,26055708000000,1506284000000,-916063000000,114792000000,185267000000,-70475000000,335460000000,199344000000,136116000000,0,2646090000000,127237947000000,117574880000000,0,31649885000000,75331152000000,0,24710000000,7554478000000,3014655000000,9663067000000,6039799000000,2190594000000,0,1432674000000,0,5644425000000,0,0,VCI,quarterly
VIB,2018,1,136025737000000,1024573000000,2581373000000,9279533000000,0,83279543000000,84266991000000,-987448000000,35964319000000,35324415000000,1527035000000,-887131000000,109648000000,185263000000,-75615000000,351236000000,208855000000,142381000000,16403000000,2643944000000,136025737000000,126868392000000,0,41883379000000,74256655000000,19458000000,27618000000,8017092000000,2664190000000,9157345000000,6039799000000,2190594000000,0,926952000000,0,5644425000000,0,0,VCI,quarterly
VIB,2017,4,123280791000000,1016408000000,3587549000000,10274967000000,0,78957651000000,79864219000000,-906568000000,25609896000000,24893365000000,1570470000000,-853939000000,109645000000,185260000000,-75615000000,369708000000,219616000000,150092000000,16403000000,2382790000000,123280791000000,114488320000000,1000000000000,33695535000000,68398634000000,87114000000,31248000000,9045061000000,2230728000000,8792471000000,6039799000000,2027584000000,0,725088000000,0,5644425000000,0,0,VCI,quarterly
VIB,2017,3,116574339000000,1297801000000,5181130000000,11453983000000,0,71496841000000,72348491000000,-851650000000,23628096000000,22634966000000,2094437000000,-1101307000000,109647000000,185262000000,-75615000000,359043000000,230634000000,128409000000,16403000000,1935842000000,116574339000000,107644360000000,2000000000000,28520137000000,66491126000000,45178000000,35559000000,8506166000000,2046194000000,8929979000000,6802939000000,1327584000000,0,799456000000,0,5644425000000,0,0,VCI,quarterly
VIB,2017,2,115353308000000,1086229000000,1015260000000,10280900000000,0,68317819000000,69204586000000,-886767000000,32429132000000,31312217000000,2127830000000,-1010915000000,113815000000,185261000000,-71446000000,352557000000,224477000000,128080000000,16403000000,1741193000000,115353308000000,106605506000000,1000000000000,33300626000000,62183039000000,11014000000,40650000000,8303262000000,1766915000000,8747802000000,6802939000000,1337747000000,0,607116000000,0,5644425000000,0,0,VCI,quarterly
VIB,2017,1,105981522000000,993280000000,2024993000000,10481580000000,0,62638983000000,63607946000000,-968963000000,27362883000000,25558114000000,2664875000000,-860106000000,109647000000,185262000000,-75615000000,366397000000,236572000000,129825000000,16403000000,1987356000000,105981522000000,97113263000000,663553000000,29670431000000,60810204000000,24089000000,51255000000,4490105000000,1403626000000,8868259000000,6802939000000,1256723000000,0,808597000000,0,5644425000000,0,0,VCI,quarterly
