ticker,yearReport,lengthReport,Profits from other activities,Operating profit before changes in working capital,Net Cash Flows from Operating Activities before BIT,Payment from reserves,Purchase of fixed assets,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Cash and Cash Equivalents at the end of period,Net cash inflows/outflows from operating activities,Proceeds from disposal of fixed assets,Investment in other entities,Proceeds from divestment in other entities,Dividends paid,data_source,period_type
VIB,2015,4,192237000000,306304000000,3943202000000,0,-73819000000,52371000000,-34969000000,595000000000,891000000,3909124000000,4418534000000,8327658000000,3943202000000,-2000000,-13519000000,0,-594104000000,VCI,quarterly
VIB,2015,3,31731000000,194158000000,1442121000000,0,41396000000,0,48943000000,0,381543000000,1872607000000,2545927000000,4418534000000,1442121000000,25805000000,-17000000,0,381543000000,VCI,quarterly
VIB,2015,2,-34519000000,-111926000000,-346914000000,0,-8742000000,2599000000,24720000000,0,-386197000000,-708391000000,3261166000000,2552775000000,-346914000000,25870000000,4993000000,0,-386197000000,VCI,quarterly
VIB,2015,1,-144000000,218301000000,-2020448000000,0,-24818000000,16947000000,672000000,0,-29000000,-2019805000000,5280971000000,3261166000000,-2020448000000,341000000,8543000000,0,-29000000,VCI,quarterly
VIB,2014,4,724475000000,854507000000,-630273000000,0,-20864000000,150000000,880582000000,0,9094000000,259403000000,5021568000000,5280971000000,-630273000000,1421000000,2996000000,0,9094000000,VCI,quarterly
VIB,2014,3,111125000000,-96546000000,160095000000,10849000000,-54954000000,0,-21886000000,0,-2583000000,146475000000,4875093000000,5021568000000,170944000000,-20248000000,2000000,0,-2583000000,VCI,quarterly
VIB,2014,2,-25354000000,452518000000,616183000000,0,-16611000000,1253000000,3950000000,0,1991000000,622124000000,4252962000000,4875086000000,616183000000,37046000000,-5000000,0,1991000000,VCI,quarterly
VIB,2014,1,67855000000,83071000000,-3804055000000,0,-21236000000,0,-2903000000,0,-1991000000,-3808949000000,8061911000000,4252962000000,-3804055000000,110000000,18223000000,0,-1991000000,VCI,quarterly
VIB,2013,4,-79554000000,-203824000000,3291181000000,0,331112000000,500000000,-481654000000,0,-917589000000,1891938000000,6169980000000,8061918000000,3291181000000,71115000000,4498000000,0,-917589000000,VCI,quarterly
VIB,2013,3,-108072000000,30861000000,-1557202000000,0,-19261000000,490000000,94199000000,0,-67102000000,-1530105000000,7700085000000,6169980000000,-1557202000000,113017000000,1000000,0,-67102000000,VCI,quarterly
VIB,2013,2,39021000000,408157000000,1873712000000,0,332911000000,4080000000,372894000000,0,99766000000,2346372000000,4378177000000,6724549000000,1873712000000,38878000000,-6000000,0,99766000000,VCI,quarterly
VIB,2013,1,17850000000,666781000000,-195999000000,0,-386894000000,0,-398634000000,0,-99766000000,-694399000000,5462576000000,4768177000000,-195999000000,5144000000,-3000000,0,-99766000000,VCI,quarterly
