ticker,yearReport,lengthReport,Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Interest Expenses,Sales,Sales deductions,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Gain/(loss) from joint ventures,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company,data_source,period_type
GVR,2021,1,0.7637449526721868,4854675960019,817931255109,2.616128290206477,186493312156,-147115291428,4854675960019,-5029040743,4849646919276,-3453444417865,1396202501411,-46942365300,114774094991,-94345889159,-309551664395,1246629989704,117222504860,-59875392562,57347112298,1303977102002,-137326346889,49589316085,1216240071198,398308816089,817931255109,VCI,quarterly
GVR,2020,4,0.2708303486477208,9063293635676,2667672106086,0.8237591408729898,1634637418240,-262816256119,9063293635676,-8882673546,9054410962130,-6684033305103,2370377657027,-482673836108,98498056935,-180388607498,-680506993991,2759943694605,1150401650629,-257752426003,892649224626,3652592919231,-520576313220,65256609066,3197273215077,529601108991,2667672106086,VCI,quarterly
GVR,2020,3,0.15579233560501202,6168018253375,982616408910,0.0022613571742724796,924322145643,-191494522550,6168018253375,-3835912583,6164182340792,-4913699876937,1250482463855,-340319825941,42799648545,-135753963067,-363331677019,1378198792016,115865302122,-30991173610,84874128512,1463072920528,-293033128841,21304014732,1191343806419,208727397509,982616408910,VCI,quarterly
GVR,2020,2,-0.23559344494861384,3212212463678,402350356706,-0.39487696749764706,207924103705,-142470146433,3212212463678,-4305928433,3207906535245,-2535209976028,672696559217,-194999418146,110397560915,-63022644634,-281887216653,451108944404,158855432752,-42026813449,116828619303,567937563707,-172445947218,109571035309,505062651798,102712295092,402350356706,VCI,quarterly
GVR,2020,1,-0.19429074892419515,2752481844194,226189777980,0.08222230472950146,239897945433,-154519031067,2752481844194,-7886416626,2744595427568,-2231783161685,512812265883,-152128522572,69622223355,-62657282630,-257539485349,350007144120,70861949465,-18650769165,52211180300,402218324420,-125537872582,59854977711,336535429549,110345651569,226189777980,VCI,quarterly
GVR,2019,4,-0.0871849407407153,7131788790943,1462732685638,-0.001077599571996127,261322422859,-193818998376,7131788790943,-6710899719,7125077891224,-5266669335986,1858408555238,-230754215135,75694887137,-137773992086,-580544719011,1246352939002,905904865886,-167361839525,738543026361,1984895965363,-339928925254,36960361175,1681927401284,219194715646,1462732685638,VCI,quarterly
GVR,2019,3,0.10014786754408471,5336614600534,980399375748,1.1497294861156628,147059657977,-147316452051,5336614600534,-2600605962,5334013994572,-3941851574727,1392162419845,-186865575737,102873701969,-117534180865,-391357922899,946338100290,523513325167,-53104420018,470408905149,1416747005439,-242717637416,45447194237,1219476562260,239077186512,980399375748,VCI,quarterly
GVR,2019,2,0.0,4202230400107,664906696812,0.0,220482455065,-159279385124,4202230400107,-2139719262,4200090680845,-3411447780052,788642900793,-181059691564,134659210008,-92726807558,-352669428552,517328638192,405674843373,-26616570246,379058273127,896386911319,-169787520895,48077435995,774676826419,109770129607,664906696812,VCI,quarterly
GVR,2019,1,0.0,3416222217281,209004912384,0.0,101589792578,-130116801415,3416222217281,-2190811789,3414031405492,-2781237828788,632793576704,-135482264546,44893729602,-80234869457,-283463951900,280096012981,143710778190,-14614012144,129096766046,409192779027,-108732128581,14373727689,314834378135,105829465751,209004912384,VCI,quarterly
GVR,2018,4,0.0,7812961364518,1464310626142,0.0,334252610523,-232463549322,7812961364518,-7456375476,7805504989042,-6008254130527,1797250858515,-417680411531,67356480193,-180235133604,-561519025085,1039425379011,1402607815512,-82796084463,1319811731049,2359237110060,-514297023953,18549515573,1863489601680,399178975538,1464310626142,VCI,quarterly
GVR,2018,3,0.0,4850815747566,456057090941,0.0,170978115909,-138939933017,4850815747566,-3541846177,4847273901389,-3879465727083,967808174306,-186338530770,62093508468,-115392946229,-317469585940,581678735744,56833944891,-22595708097,34238236794,615916972538,-114971114604,-12452827406,488493030528,32435939587,456057090941,VCI,quarterly
