ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),Budget sources and other funds,MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),data_source,period_type
GVR,2022,2,24144910782611,5973065064261,10172765257467,2475087487158,4618678244312,905314729413,55128881769430,826474111486,34093430789237,1434957273831,2863819225948,3979601821101,79273792552041,25419673561573,9648366408962,15771307152611,53854118990468,53778173058969,10591031002,6335574485027,75945931499,4318424587876,79273792552041,551565341224,10522955389,4654162680569,0,4325638504284,40000000000000,40000000000000,5656364602418,700351988777,2845764096401,1298292881,3688543017658,385554666875,207429589042,534426872865,VCI,quarterly
GVR,2022,1,22789797795690,5051844990062,9858579071192,3066416310484,3966074208104,846883215848,56550365432932,826571043802,33934540748650,1450480544843,3386406819523,4425823018837,79340163228622,25422226449429,9396758834705,16025467614724,53917936779193,53826596542377,10591031002,6618969398715,91340236816,4228474925665,79340163228622,664533205595,10526936760,4002121071946,0,4136138802827,40000000000000,40000000000000,6080779499732,598573957156,2684600480773,1490294512,4144443387338,354526105622,311219578414,641731511701,VCI,quarterly
GVR,2021,4,22843448425201,5328589465301,10226655555684,2824495970807,3573202832375,890504601034,56179823898716,849802959862,32528495671021,1477791601086,2776672493645,3938712815201,79023272323917,27106526328677,10989788426109,16116737902568,51916745995240,51822292118669,10591031002,4543817016712,94453876571,4101110880302,79023272323917,527186556053,10520019690,3587634901824,0,4131150754337,40000000000000,40000000000000,6473720085941,582379354693,2510083462718,1682296142,3658713139544,354526105622,258911544001,702628474348,VCI,quarterly
GVR,2021,3,23213058170121,7325879254255,8879988352636,2567273942566,3610527286106,829389334558,56154498223434,856285842212,32341210012246,1424082864132,3083539761815,3753233204603,79367556393555,25946205997138,8797935424571,17148270572567,53421350396417,53304357809391,10591031002,5884146488361,116992587026,4246441965032,79367556393555,587994956365,10518925510,3623088866164,0,4129633225959,40000000000000,40000000000000,7506876359903,494099758991,1969919088082,2659687927,3491208682313,354526105622,268108306538,715675849454,VCI,quarterly
GVR,2021,2,21933579524870,6557563381869,8856546888260,2460422770871,3177458660105,881587823765,57069162754256,882879010565,32603063192107,1455194781176,3136777933765,4069082988825,79002742279126,26209858439388,8651728133707,17558130305681,52792883839738,52672140827411,10591031002,5372882518185,120743012327,4376513866972,79002742279126,585622722752,10542940099,3190020240163,0,3559398137970,40000000000000,40000000000000,7686188065702,669395695231,2362567270250,3637079712,3813918188671,354526105622,189543651672,692297668783,VCI,quarterly
GVR,2021,1,21914093708161,4658542926895,11291352543248,2623980112520,2488453524415,851764601083,57131184425467,879888597580,32803121333964,1450519146522,2859011278870,3911739992742,79045278133628,26908121460323,8878789240407,18029332219916,52137156673305,52092395355056,10591031002,5074278558197,44761318249,4292348113605,79045278133628,530901180661,10550937700,2502400977776,0,3374540390564,40000000000000,40000000000000,8181369127415,708713699094,3387528067048,4614471497,3660618282358,354526105622,295424210006,786992152934,VCI,quarterly
GVR,2020,4,23096805659510,6218511805791,9776216621332,2924493801010,2289866131801,1887717299576,56548375456682,884665421089,30202759930943,1475441018450,2795982196541,3194317638145,79645181116192,28473658964086,10564859042532,17908799921554,51171522152106,51134722899880,10591031002,4451862684772,36799252226,3748061098342,79645181116192,511842691955,10547546309,2304594947007,0,3378662079613,40000000000000,40000000000000,8745109099694,591527387974,3380707672413,5591863282,2868947749590,264342926131,193888583091,682824599050,VCI,quarterly
GVR,2020,3,21815947894808,6130627169973,9421538771094,2574059423476,2796658762779,893063767486,57428054316162,892090646208,30532592520043,1378532313096,3576384640905,2961216025814,79244002210970,30219647484448,11396379762958,18823267721490,49024354726522,48961422653805,10591031002,2281281910389,62932072717,4049984244023,79244002210970,638435663218,6826904176,2831598589153,0,3310362216657,40000000000000,40000000000000,9283172557088,758712663082,2464132032161,8066204869,2736164202175,269787526131,204785216755,718634867310,VCI,quarterly
GVR,2020,2,20757910270148,4182369900678,9514527918108,2568756707558,3543512219646,948743524158,57029519483815,896938474828,31021870436641,1397959408988,3271975024506,2664804582642,77787429753963,27487343237819,8723208769436,18764134468383,50300086516144,50228904036050,10591031002,3770508383126,71182480094,3853400669870,77787429753963,577861273042,7997589489,3585060015643,0,3165336424713,40000000000000,40000000000000,9232367293485,795746168819,2779839013450,10540546457,2483546878780,269787526131,220115572578,750312074614,VCI,quarterly
GVR,2020,1,19871402319693,4819557673497,8046885100262,2715330187983,3312818953898,976810404053,57054985774474,937907164216,30170940360283,1363593702331,3066597827171,2481950373262,76926388094167,26327585753431,7697355360692,18630230392739,50598802340736,50537387528524,10591031002,4083923774224,61414812212,3891654285740,76926388094167,623846868850,8038609789,3391845661146,0,2917855228063,40000000000000,40000000000000,9181948699790,650617731677,2616053820392,13014888044,2340583345202,268307930283,195734462615,720089130316,VCI,quarterly
GVR,2019,4,20681042568027,6242486393867,7440729415960,2791591516053,3195523257081,1010711985066,57489749570795,937738532589,27676971710448,1345341202759,3854945733913,2369092019115,78170792138822,27414033098425,9192780917504,18221252180921,50756759040397,50689529464729,10591031002,3908493142393,67229575668,4400480514623,78170792138822,694270576774,10536458059,3246864920364,0,2938336520141,40000000000000,40000000000000,9180249588506,598324142414,2627894912000,15489229631,2278342944178,262223400907,202105491583,707510863266,VCI,quarterly
GVR,2019,3,18115408131005,4458357044277,6459994961264,2852285870480,3302192327000,1042577927984,57905178050787,992374139754,27699259464189,1258118185400,3904727507448,2509453448152,76020586181792,26287253590309,7819901727608,18467351862701,49733332591483,49653279418392,10591031002,2910080319266,80053173091,4038921321903,76020586181792,526990654169,2429676855,3346889108728,0,2987831408633,40000000000000,40000000000000,9662028427333,474850285210,2563346438304,24132010602,2407460765182,263867385267,311873384255,954293372591,VCI,quarterly
GVR,2019,2,17680521701940,4802038719373,6076432111864,2634544073651,3076476440175,1091030356877,58087882106270,1004013540877,27950654044707,1234807074046,3710579219757,2726870953807,75768403808210,26010504652643,7781035997669,18229468654974,49757899155567,49665142878789,10591031002,3038086907423,92756276778,4035837466529,75768403808210,569363562090,10763264139,3128026847051,0,2670302555528,40000000000000,40000000000000,9663099844547,792224565253,2893043960657,26606352190,2619073943168,268595885067,392871922099,994877097288,VCI,quarterly
GVR,2019,1,17374191422927,4149218330411,5712270528605,3354291212794,3146562104976,1011849246141,59192234138685,1017210200218,27639324356192,1186641645678,3872766420002,2410025173761,76566425561612,26477275713444,7887306508807,18589969204637,50089149848168,49974848777133,10591031002,2793457445337,114301071035,4712555880656,76566425561612,610550137302,11821132823,3200716763589,0,2461843143095,40000000000000,40000000000000,10226854628762,855524743752,2953300613643,29080693777,2229158559197,269236164253,336855996957,936923707069,VCI,quarterly
GVR,2018,4,18388278941767,5161965287049,5599664645929,3085560311445,3560236485633,980852211711,59311190435847,1026550052046,25307053760665,1184471049064,3396393883779,2357857796259,77699469377614,27615036501202,9735353452059,17879683049143,50084432876412,50005466640341,10591031002,2903069173695,78966236071,4679871292188,77699469377614,570363103773,15964743263,3598406314819,0,2429277669456,40000000000000,40000000000000,10304465034084,748320039049,3090489257876,31555035362,2252041373938,409543100671,452585135271,1527628577344,VCI,quarterly
GVR,2018,3,16751086815333,3759431541373,5482399403351,2416778199651,4123883173476,968594497482,58251412504692,1043517932636,24695759362960,1167558321282,3369991353066,2166943294023,75002499320025,27032009042622,9648273971198,17383735071424,47970490277403,47855320913097,33306738051,1016108402071,115169364306,4499887733780,75002499320025,697968977025,14384311047,4128110820763,0,2396480599853,40000000000000,40000000000000,10202030502536,968898491227,3380778959626,34029376949,2115894306055,320037486307,269575628205,1360094000747,VCI,quarterly
