ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Investments in associate companies,Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Intagible fixed assets,Investment in properties,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Undistributed earnings (Bn. VND),Minority Interest,Paid-in capital (Bn. VND),Other Reserves,MINORITY INTERESTS,data_source,period_type
MBB,2022,4,728532373000000,3744100000000,39654541000000,32937210000000,4105550000000,4107470000000,-1920000000,69503000000,448598622000000,460574482000000,-11975860000000,159580028000000,154506192000000,5475361000000,-401525000000,625267000000,0,768763000000,-143496000000,5073508000000,3457561000000,1615947000000,236177000000,32901134000000,728532373000000,648919154000000,31788000000,65116779000000,443605638000000,0,2002722000000,96578125000000,41584102000000,79613219000000,47596709000000,9288618000000,0,19063767000000,0,45339861000000,1387521000000,3664125000000,VCI,yearly
MBB,2022,3,656804225000000,3135579000000,12383244000000,37194092000000,5904210000000,5907186000000,-2976000000,216685000000,417061489000000,426232638000000,-9171149000000,143279844000000,138232866000000,5499307000000,-452329000000,552080000000,0,668398000000,-116318000000,4412298000000,3008546000000,1403752000000,237705000000,32426999000000,656804225000000,580894349000000,23056000000,63171996000000,377145234000000,0,2232251000000,101773163000000,36548649000000,75909876000000,39615017000000,9320952000000,0,23585768000000,0,37783218000000,962472000000,3388139000000,VCI,yearly
MBB,2022,2,658274396000000,3205723000000,14222237000000,57116354000000,7987706000000,7999245000000,-11539000000,153645000000,404439406000000,415456939000000,-11017533000000,132054658000000,127024663000000,5489652000000,-459657000000,552165000000,0,668483000000,-116318000000,4519204000000,3100691000000,1418513000000,239233000000,33784065000000,658274396000000,587367590000000,24408000000,62770943000000,396909793000000,0,1950781000000,91626445000000,34085220000000,70906806000000,39318356000000,9495330000000,0,18860755000000,0,37783218000000,665811000000,3232365000000,VCI,yearly
MBB,2022,1,649039794000000,3157903000000,16517561000000,48938002000000,5658004000000,5676601000000,-18597000000,282178000000,405221579000000,415549473000000,-10327894000000,136044397000000,130717857000000,5787493000000,-460953000000,784261000000,0,900219000000,-115958000000,4563473000000,3122191000000,1441282000000,267120000000,27605316000000,649039794000000,581976246000000,328585000000,86402081000000,390173507000000,0,1697073000000,72036558000000,31338442000000,67063548000000,39318356000000,7201766000000,0,17452102000000,0,37783218000000,665811000000,3091324000000,VCI,yearly
MBB,2021,4,607140419000000,3475341000000,38051039000000,35983193000000,7575274000000,7582673000000,-7399000000,274294000000,354797094000000,363554778000000,-8757684000000,128806244000000,124551916000000,4677084000000,-422756000000,803208000000,0,940840000000,-137632000000,4678447000000,3213906000000,1464541000000,268999000000,32425520000000,607140419000000,544654396000000,262281000000,59560384000000,384692155000000,0,1998703000000,66886924000000,31253949000000,62486023000000,39318356000000,7341330000000,0,12915149000000,0,37783218000000,665811000000,2911188000000,VCI,yearly
MBB,2021,3,555594688000000,2947002000000,13754420000000,50452980000000,3550077000000,3564183000000,-14106000000,219771000000,329008232000000,336426387000000,-7418155000000,119837177000000,116578484000000,3718544000000,-459851000000,853646000000,0,1015745000000,-162099000000,4351583000000,3025144000000,1326439000000,243332000000,30373231000000,555594688000000,496747295000000,41973000000,65916196000000,343949438000000,0,1700733000000,54317300000000,30821655000000,58847393000000,39068356000000,7594718000000,0,9449436000000,0,37783218000000,415811000000,2734883000000,VCI,yearly
MBB,2021,2,523334486000000,3029898000000,14438519000000,32592326000000,4212128000000,4229320000000,-17192000000,88496000000,325160444000000,331146972000000,-5986528000000,110019360000000,107197679000000,3254082000000,-432401000000,878710000000,0,1017711000000,-139001000000,4382620000000,3086810000000,1295810000000,244854000000,28265544000000,523334486000000,467399715000000,27125000000,40341392000000,343494329000000,0,1279907000000,52073753000000,30183209000000,55934771000000,29272707000000,7545687000000,0,16481528000000,0,27987569000000,415811000000,2634849000000,VCI,yearly
MBB,2021,1,510957496000000,2771244000000,8771043000000,42550511000000,3633495000000,3652454000000,-18959000000,0,318677990000000,324007375000000,-5329385000000,98681422000000,95578658000000,3551612000000,-448848000000,882482000000,0,1023813000000,-141331000000,4322258000000,3050504000000,1271754000000,246376000000,28692207000000,510957496000000,457233731000000,93085000000,45138386000000,327926697000000,127008000000,683809000000,50229524000000,33035222000000,53723765000000,28981841000000,6197523000000,0,16238689000000,0,27987569000000,124945000000,2305712000000,VCI,yearly
MBB,2020,4,494982162000000,3109230000000,17296506000000,47888802000000,3085227000000,3102030000000,-16803000000,37106000000,293942764000000,298296983000000,-4354219000000,99713646000000,96775364000000,3374241000000,-435959000000,885231000000,0,1026562000000,-141331000000,4310919000000,3088524000000,1222395000000,247898000000,24464833000000,494982162000000,444882667000000,15383000000,50876472000000,310960354000000,0,207341000000,50923563000000,31899554000000,50099495000000,28725680000000,6224836000000,0,12955988000000,0,27987569000000,124945000000,2192991000000,VCI,yearly
MBB,2020,3,427175325000000,2545596000000,8209927000000,30609408000000,1302244000000,1326522000000,-24278000000,0,263844661000000,268641892000000,-4797231000000,93708594000000,91350700000000,2698739000000,-340845000000,885134000000,0,1026465000000,-141331000000,4128176000000,2937963000000,1190213000000,30813000000,21910772000000,427175325000000,378921331000000,26599000000,48014893000000,269189328000000,112356000000,231477000000,35018404000000,26328274000000,48253994000000,25108540000000,6347862000000,0,14684098000000,0,24370429000000,124945000000,2113494000000,VCI,yearly
MBB,2020,2,421635683000000,2509108000000,9173365000000,39202383000000,1518915000000,1549447000000,-30532000000,0,257054712000000,261384513000000,-4329801000000,87887059000000,85987270000000,2196788000000,-296999000000,866870000000,0,1008552000000,-141682000000,2805764000000,1634249000000,1171515000000,30813000000,20586694000000,421635683000000,375837182000000,23994000000,60440378000000,257378873000000,136818000000,257222000000,33302191000000,24297706000000,45798501000000,25108540000000,6390112000000,0,12282851000000,0,24370429000000,124945000000,2016998000000,VCI,yearly
MBB,2020,1,406802682000000,2253056000000,6763149000000,47792908000000,1246147000000,1319440000000,-73293000000,128201000000,244072015000000,247979708000000,-3907693000000,81662582000000,79263879000000,2677352000000,-278649000000,877305000000,0,1037415000000,-160110000000,2811235000000,1644903000000,1166332000000,30813000000,19165271000000,406802682000000,362818632000000,50755000000,69740500000000,240737125000000,0,285007000000,31373629000000,20631616000000,43984050000000,25108540000000,4927170000000,0,11973445000000,0,24370429000000,124945000000,1974895000000,VCI,yearly
MBB,2019,4,411487575000000,2344291000000,14347180000000,39691364000000,1167809000000,1196887000000,-29078000000,14836000000,247129710000000,250330623000000,-3200913000000,85628999000000,82723727000000,3196877000000,-291605000000,887017000000,0,1037453000000,-150436000000,2798062000000,1642003000000,1156059000000,30813000000,17447494000000,411487575000000,371601761000000,16836000000,50314052000000,272709512000000,0,302126000000,26288629000000,21970606000000,39885814000000,22718445000000,4936914000000,0,10342490000000,0,23727323000000,27834000000,1887965000000,VCI,yearly
