Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,data_source,period_type
ticker,yearReport,lengthReport,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,EBIT Margin (%),Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,
VIC,2023,1,2.150322325,3.3787588697,0.993071231353112,3.5127634215747876,0.2167488812,1.0056838365,88.08420063299914,334.23661967,110.499321344,532.8201416469991,1.0920407236,-0.03488319479511208,0.11382237806658176,0.02736505757008986,0.0636902085,-0.0215335965,0.0123469385,12648704000000.0,-1359167000000,0.9233792384,0.0632641765,0.6326820971,0.4079758330284146,4.378758869682414,196036287835400.0,3813935561.0,28.5539611294,1.7619079455,1.6034647783,-24.4623323123,279.5629299306874,29172.9202605686,30.232593935,VCI,quarterly
VIC,2022,4,2.1218495911,3.2564249668,0.9063187753908459,3.4947538286577546,0.202414837,0.8129231043,87.36546489824774,328.036557625,117.7302246562,533.1322471794477,1.1126808629,0.09597430072502686,0.31103081059313903,0.03786903733189493,0.0594921984,-0.0350056279,0.0174625839,10653159000000.0,3951056000000,0.948745757,0.0957277053,0.6183714114,-1.3375455320992837,4.238582428362358,201757191176900.0,3813935561.0,23.3046660681,1.8326101602,1.9820227092,-72.2560801064,408.76070795261137,28865.9318541643,35.1344681119,VCI,quarterly
VIC,2022,3,2.0566628282,3.0486015298,0.8350821724253072,3.536303263326341,0.1941685408,0.7811370926,96.31152252743135,304.8668102638,195.7452031472,596.9235359384313,1.1972441332,0.0030387557651850115,0.2003420666002467,0.032940271145482994,0.0058889593,-0.0606653192,0.001697368,3111894000000.0,87341000000,0.9409131016,0.0923753854,0.6414283597,-0.02875957873330225,4.048601529805562,209766455855000.0,3813935561.0,256.703632708,1.8938311177,2.2124126924,19.3363419949,248.24252661252552,29041.6603082194,122.8519801301,VCI,quarterly
VIC,2022,2,2.028292453,3.0059297401,0.8587851074699655,3.402771101621527,0.2100917075,0.7783165033,89.65250319680298,284.0947809011,199.3313922532,573.078676351103,1.28478249,-0.7070974026599878,-0.35258731711005403,0.25345495002483126,-0.0031813392,-0.0492508781,-0.0010250566,4937247000000.0,-9464037000000,0.9749353536,0.1668508243,0.6683391682,2.5654206823493566,4.0059297401393446,230361707884400.0,3813935561.0,-497.8518617909,2.1801431663,2.3950440037,13.3131655109,889.4562967158637,27704.6025843959,75.225522216,VCI,quarterly
VIC,2022,1,1.8497275835,2.2801101145,0.9443345165837118,3.4675754645695585,0.2794280248,0.9474845274,63.21704631468926,228.4972782411,175.7681346946,467.48245925038924,1.5973932066,-0.33567690004503836,0.011249822397499356,0.13460793870834845,-0.0160145112,-0.0077487168,-0.0056046627,15631008000000.0,-6119024000000,1.1418411594,0.1047923775,0.7890277039,4.459023274421601,3.280110114528893,265068521489500.0,3813935561.0,-111.459099687,2.589995938,2.2044815495,116.4834400906,643.3658777802303,26834.0189190732,26.9713665612,VCI,quarterly
VIC,2021,4,1.4041285071999998,1.6845864233,0.8197166313110024,4.101212641215755,0.2954274493,0.9806500401,52.318336864992816,231.3356675411,76.0086163254,359.66262073149284,1.577793878,-0.09563197631794879,0.2391324977960014,-0.1730821033224789,-0.0170187802,0.0110799579,-0.0059088442,18039966000000.0,-3295270000000,1.1019421146,0.1588424291,0.7576134353,1.2867825652319924,2.685096421922662,297105580201900.0,3813935561.0,-119.8576388336,2.9570389348,2.3638365437,-21.210060316,-1563.7477101045338,26343.9209690412,26.0320528432,VCI,quarterly
VIC,2021,3,1.4071445761999999,1.6391378045,0.751022647511447,4.233940984087174,0.2986349463,1.0129172104,56.90908950511036,228.3132286614,72.9731109817,358.1954291482104,1.5986809093,0.15438874859402094,0.388497826699822,-0.011667803936817794,0.0294091937,0.0052820042,0.0101266096,14998498000000.0,4648889000000,1.2169630431,0.1678941779,0.8433608867,-1.7303574246723818,2.639137804518498,364920098456900.0,3805214791.0,86.3491920799,3.6700451528,2.8808761314,-54.6036918333,-92.33013622016061,26130.4687018389,35.8323791127,VCI,quarterly
VIC,2021,2,1.6869793717000001,1.9015524801,0.8775469197662391,3.720871710374001,0.3129765947,1.0650467841,54.453232029535044,217.9197693076,65.8187062509,338.19170758803506,1.6749283517,0.07054650127216609,0.2792558807201604,0.038722612026492506,0.0454513714,-0.0040147557,0.014616699,11558042000000.0,2641433000000,1.0522075361,0.1573353077,0.6963733946,-1.0067173360245871,2.9015524801349213,354265497042100.0,3805214791.0,58.2002090801,3.970113698,2.6742675578,30.0642903401,381.0215926389213,23450.2100147019,45.3615352879,VCI,quarterly
VIC,2021,1,1.6576148867607117,2.0036439895629883,0.8945826259884183,3.6019921568475133,0.2783486545085907,0.9658287763595581,55.57664196796921,257.0800476074219,70.68223571777344,383.3389252931645,1.419791340827942,-0.06628346761655934,0.14104038044130823,0.08989517275402552,0.05179726704955101,-0.015109174884855747,0.015946902334690094,6453924986880.0,-1544035000000,1.0018789768218994,0.15587249398231506,0.6155486702919006,0.5706183307722612,3.0036440134930236,351772781360000.0,3382430590.0,52.8198839471,4.3294505695,2.9713473423,23.7708068317,619.0979960360398,24021.5238237897,80.589552305,VCI,quarterly
VIC,2020,4,1.6384687637,2.1100134215,0.9213553272191441,3.498462265090801,0.2674511729,0.9447276073,53.958265221658074,292.9650768905,70.6576887076,417.58103081975804,1.245882287,-0.11718052856400483,0.15577347001701078,0.03078445158263658,0.0426189301,-0.0128544097,0.0132276266,6719667000000.0,-4197570000000,0.9810379827,0.2086088769,0.6117299446,1.5401117667713449,3.1252000173073946,443098407290000.0,3382430590.0,82.5792413828,5.594968123,4.0103020631,28.2837257973,326.02058509647054,23413.8956861787,88.3167379113,VCI,quarterly
