ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Goodwill,Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),data_source,period_type
PLX,2021,3,38377137034707,6368584811511,9859743075457,8541660805975,11737676055300,1869472286464,23202476082895,14726509366050,129612921392,5150080890403,0,2583222836436,61579613117602,33985607919054,32564843977164,1420763941890,27594005198548,27594005198548,1102232881858,2893321722085,3058424713551,61579613117602,426676294354,11955283665825,9938457779,1639925492010,12938780810000,12938780810000,1171883272662,205554823505,15907458184815,0,2520717303855,263463839507,57976778963,30170685963,VCI,quarterly
PLX,2021,2,44141942510337,7606274282467,10560421312567,10986675189496,12449895088516,2538676637291,23580645412349,15120126247375,131395799248,5117934584693,0,2631405408473,67722587922686,40319874757603,38832645036429,1487229721174,27402713165083,27402713165083,1102292936632,2837889503740,3018959277934,67722587922686,329050023141,12568258232990,10804805472,1638217502210,12938780810000,12938780810000,1217436961250,169278409549,14459597491476,0,2569640327328,263463839507,60082351166,32336562166,VCI,quarterly
PLX,2021,1,41149731991766,9637237339038,9227959098575,9821370405165,10411846490518,2051318658470,23362737609666,15418059117661,206712095907,4418293128041,0,2578808980368,64512469601432,38034854052002,36442182178565,1592671873437,26477615549430,26477615549430,1127714314426,3588128411078,3023857967304,64512469601432,344316182074,10556873700810,22996196869,1305396729469,12938780810000,12938780810000,1307108903945,200184228748,13874378208041,0,2518545316457,310429476707,59475899267,31202641337,VCI,quarterly
PLX,2020,4,37815910259509,10623961350697,8553715967218,7205532262887,9420844435377,2011856243330,23327301533619,15546132835247,209439120733,4090019849418,0,2659719486654,61143211793128,37007089844972,35373458627842,1633631217130,24136121948156,24136121948156,1100577568826,2933775263426,2958693222016,61143211793128,286231835579,9442947912444,21981838644,1296892988749,12938780810000,12938780810000,1316930389148,267476082402,14721066779651,0,2543599126903,311684424707,57144213563,28923500563,VCI,quarterly
PLX,2020,3,34540172734974,9388181484134,8592616595582,6436234600523,8331104383048,1792035671687,22931424692063,15038564444295,212089511817,3874169985913,0,2816575563515,57471597427037,34166614156987,32662100080474,1504514076513,23304983270050,23304983270050,1100577568826,2030355408648,2876387478455,57471597427037,355159511617,8423191172325,21891732866,1296129803015,12938780810000,12938780810000,1273069445251,174552076895,15843156978246,0,2484627773333,311684424707,58922303348,30409128348,VCI,quarterly
PLX,2020,2,36472211965454,12214554630923,4935704454487,8436497067191,8898358027114,1987097785739,23265575551098,15223698730713,214826339778,3857256725127,0,2916039608525,59737787516552,36921717917676,35287506945550,1634210972126,22816069598876,22816069598876,1100577568826,2368953381456,2906173909362,59737787516552,342898744354,9046869770641,22286307682,1286305922195,12938780810000,12938780810000,1381821987516,258693342325,13986646996430,0,2459996903250,314632724707,54887579195,26104556195,VCI,quarterly
PLX,2020,1,31939652110299,10666166858905,4386865013300,8378636168059,6759485858626,1748498211409,23139132793828,15448827234568,217028032288,3993171445746,0,2508794342507,55078784904127,33118895948170,31387451629179,1731444318991,21959888955957,21959888955957,1100613662327,1847148848079,3170056468999,55078784904127,323622265867,8418347069958,23165951653,1193308456468,12938780810000,12938780810000,1454652164498,209223740611,14741875101140,0,2453551234911,314632724707,49978407177,25719998177,VCI,quarterly
PLX,2019,4,38868922007238,11278868627575,5397276850139,8386949560558,11777433708967,2028393259999,23014994409349,15401798782199,189753274993,3903295192270,0,2516018627379,61883916416587,35924442829822,34234365115487,1690077714335,25959473586765,25959473586765,1099624553522,4944958589884,2887462893874,61883916416587,290439417579,11814173254121,22740918796,1190009862817,12938780810000,12938780810000,1488456218075,181548229860,13909786003594,0,2461809751821,303709219507,52215675631,23490700263,VCI,quarterly
PLX,2019,3,36323785659281,8202713677416,8193573158953,8497404678288,9866378884455,1563715260169,21717324156283,14929521773455,189930388744,3197606072127,0,2268386433963,58041109815564,33134574800682,31339903516434,1794671284248,24906535014882,24906535014882,1091771313279,3868552212849,2915613788089,58041109815564,604611986777,10140119976675,23181786630,1190894199507,12938780810000,12938780810000,1563888280738,230878924216,9013788035439,0,2238834894502,303709219507,51980973955,22877546986,VCI,quarterly
PLX,2019,2,37186889360988,9672955743406,5682349930190,9007792341892,11022502255955,1801289089545,21418583516359,15080275460259,192223316379,3045959457668,0,2222926824928,58605472877347,35973380378348,34317491444733,1655888933615,22632092498999,22632092498999,1098901628522,3028791172879,2712553520651,58605472877347,549279620171,11143862069843,22800858430,1185868320558,12938780810000,12938780810000,1434234982028,224852034860,12688113153754,0,2192313409091,303709219507,52215698153,22208206153,VCI,quarterly
PLX,2019,1,37894106661616,8564010819261,7462661838500,8910180509758,11515692436015,1441561058082,21571502607246,14969334462870,193869283387,3278301569079,0,2227076342879,59465609268862,34465344248920,32832059779310,1633284469610,25000265019942,25000265019942,1093793763574,5538209966411,2789661298026,59465609268862,414193194949,11553814278222,22573783601,973887985282,12938780810000,12938780810000,1384694127549,121936208613,12485334312907,0,2198240117523,310914726294,50257922661,20287893624,VCI,quarterly
PLX,2018,4,34624337216204,10226751168755,4708107680500,7477239532821,10296992521125,1915246313003,21751972978570,15258566373400,199379225971,3122298871907,0,2259446308866,56376310194774,33189371291231,30779950925043,2409420366188,23186938903543,23186938903543,1092504566352,4547060533675,2702075556752,56376310194774,369683510151,10889045310812,22550718889,965414242646,12938780810000,12938780810000,2146957418075,122868544585,12548493411499,0,2231215011756,301127119507,38475911423,20240608353,VCI,quarterly
PLX,2018,3,41637462239308,9904293659601,5916203472600,10215291273459,13528710922603,2072962911045,21059199751937,15007392247634,161241137432,3026417718863,0,2005391058497,62696661991245,40383912785234,37769149312265,2614763472969,22312749206011,22312749206011,1091130083588,3566254178143,2710775753252,62696661991245,624907361611,13547779541084,26185358945,1053961920356,12938780810000,12938780810000,2364851163478,118278898917,14741168286089,0,1968778868644,301127119507,39770937415,21595960422,VCI,quarterly
PLX,2018,2,45865671986204,13012612183767,5576967215457,8642267080893,15888578455187,2745247050900,20957951170855,14815690977972,163180626939,3025838703414,0,1952885417606,66823623157059,45367679957451,42925843985030,2441835972421,21455943199608,21455943199608,1091130494108,2838767563163,2591751109299,66823623157059,494676037410,15912889982657,28851652164,1051327563694,12938780810000,12938780810000,2215270459477,115990783963,14775032225911,0,1917947131007,301127119507,35518072246,119856354662,VCI,quarterly
PLX,2018,1,43673584803528,15165331946068,2069735678014,8952592933502,14627363329288,2858560916656,21129704094484,15020481556497,167995024895,3023316339349,0,1998872445706,64803288898012,40551093247070,37922492359437,2628600887633,24252195650942,24252195650942,1132401705797,5391095236443,2917240843420,64803288898012,483370114266,14648963437215,35561284666,953370546939,12938780810000,12938780810000,2390670966127,156767880914,18471786824282,0,1964076410471,312722247265,38670877181,85324835246,VCI,quarterly
PLX,2017,4,45084086693304,14481021387114,4902064493911,8357515499576,12686660134103,4656825178600,21466269161791,15749874944723,251353119191,2424080483830,0,2072828237857,66550355855095,42290935532650,39600170720051,2690764812599,24259420322445,24259420322445,1139151364922,4471587738993,3834528096790,66550355855095,415250121943,12709869697057,1031502135875,960752977353,12938780810000,12938780810000,2432252852373,317474230051,13875312959556,0,2031408880523,340393997776,52052269669,99365774812,VCI,quarterly
PLX,2017,3,38937382466060,12641940439133,4495276958755,8748419834089,10410947987107,2640797246976,21110228992119,15652589767659,251953412388,2391896705388,0,1914332749398,60047611458179,36810098063393,33775794107013,3034303956380,23237513394786,23237513394786,1139460956576,3352729351861,3756317182384,60047611458179,627371661962,10429043865305,979680959617,901498637676,12938780810000,12938780810000,2737547070543,588937992353,8856676253262,0,1896199734433,350378275616,52266869574,87526044215,VCI,quarterly
PLX,2017,2,37770248349608,11890061460545,3747465782345,7522975822074,11683643115590,2926102169054,20994689670374,15512478764427,254427024976,2361211221235,0,1907067749518,58764938019982,33195706903380,30147327095934,3048379807446,25569231116602,25569231116602,994304773566,6357421326742,3216446748814,58764938019982,460970379452,11730387979867,1024786993202,909508678470,12938780810000,12938780810000,2783976350851,479439321981,8857968226954,0,1888656046133,404034771216,51054196010,65909223550,VCI,quarterly
PLX,2017,1,37545913236674,12106400576347,2680943238895,8301006870522,11598848880412,2858713670498,20990465642591,15532114351891,256955291124,2556121913033,0,1896360938178,58536378879265,34435235321738,31251563363421,3183671958317,24101143557527,24101143557527,990147069027,5976155458679,3197702213890,58536378879265,400603443428,11623805220810,1009764379161,855916787949,12938780810000,12938780810000,2937028935791,528376258383,10119651615435,0,1878109649911,357582275616,57268178512,65176851856,VCI,quarterly
PLX,2016,4,33260947577801,11394065372037,2483113962495,6961377702169,8615108126419,3807282414681,20977170131792,15711772442692,256182851727,2506508187417,0,1860945325951,54238117709593,31034557556134,27698751367280,3335806188854,23203560153459,23203560153459,1012052528513,5177002066659,3206680537178,54238117709593,486554434228,8631825293153,1119885439656,743373872134,12938780810000,12938780810000,3085187841980,520005997421,6774922930016,0,1845451869509,357499269616,45390540860,42544526360,VCI,quarterly
PLX,2016,3,30517659757012,10001943049674,2406592673017,6444344542640,9054347910038,2610431581643,20520009698052,15840505999117,217656456363,2409059727467,0,1412881664491,51037669455064,29928107439726,26476883207231,3451224232495,21109562015338,21109562015338,899307095146,3143752733646,3162062450213,51037669455064,831030779577,9146410004949,1067776685081,841639460928,12938780810000,12938780810000,3217689426804,584078771483,7724585956317,1335015344,1398342727848,356528769616,45331547636,36140176919,VCI,quarterly
PLX,2016,2,34905887994678,11250966423911,2477826232602,8581164559396,9681549375487,2914381403282,20040822570700,15016675391727,222341989575,2139988849755,0,1403526110997,54946710565378,32992589799105,29841082288246,3151507510859,21954120766273,21954120766273,894317972739,4069220465407,3082369827086,54946710565378,583849698728,9778201114189,889951162750,845925072620,11388132350000,11388132350000,2921461776330,662511563119,9143674435616,2670030689,1391534052639,336079182616,43735751382,40992294629,VCI,quarterly
PLX,2016,1,30032665072519,11677916034880,1936199060315,8472493715159,6180836593566,1765219668599,20712767610453,15180094537288,225006997401,3131195756872,0,1368466908133,50745432682972,33320372405739,30054307619453,3266064786286,17425060277233,17425060277233,866234135320,3356545127840,3065712609102,50745432682972,566330413331,6291972164291,877179822562,765208420572,10700000000000,10700000000000,3066110129434,712741056441,11691910619915,4005046033,1355159014743,346606681616,42991808154,34748658406,VCI,quarterly
PLX,2015,4,30982423975143,11276510971145,2286160455543,7787094498909,7546892803084,2085765246462,20026614182188,15197412403807,227672005228,2512299748342,0,1386274754714,51009038157331,34782068911169,31542131755200,3239937155969,16226969246162,16226969246162,864365063608,2420355726953,2882177802706,51009038157331,599564254259,7680100896578,936409423540,700240086756,10700000000000,10700000000000,3045549175054,940228129430,13322860468196,5340061378,1358478666828,372826522416,40868286099,28624109740,VCI,quarterly
PLX,2015,3,31313511906033,11455628817127,2001416059230,8129867057199,7863913402678,1862686569799,19822695895100,15698702165109,230338043371,2609360846990,0,1283387567419,51136207801133,35656368444753,30334190731393,5322177713360,12558189432353,12558189432353,824178341520,1627311064831,0,51136207801133,705338245379,7890215053944,1176868434693,585834457815,10700000000000,10700000000000,3312129406520,825030501431,12564797564849,6829489688,1246315016706,675551179616,1081156038,907272211,VCI,quarterly
PLX,2015,2,30493982381244,11366416569301,1903496182120,5392459165147,9285697810005,2545912654671,20143702747819,15897891531727,232745835620,2673495097454,0,1273841112552,50637685129063,35666207141140,30849169577308,4817037563832,12118646946084,12118646946084,740278044020,1198268863386,0,50637685129063,576259848141,9329944883865,1253957002086,629523665235,10700000000000,10700000000000,3252126008672,653282765867,11880058498175,8318917999,1241124204994,771055408988,65903054293,65729170466,VCI,quarterly
PLX,2015,1,34123330644943,10104302324164,2136219298334,9857334027129,8772487209460,3252987785856,20775316025443,16643332818716,198423336393,2583202601316,9808346309,1337587922952,54898646670386,40370425873047,34936500848797,5433925024250,11675765666538,11675765666538,738805043927,787338935396,0,54898646670386,474125077944,8798522083581,1553483833604,632907043801,10700000000000,10700000000000,3298609192372,513268002941,17443429970864,0,1251780653391,476721110514,2899132495,2960999757,VCI,quarterly
PLX,2014,2,44002290363493,7957968575868,1394449062109,13664938561097,17868691918391,3116242246028,20100180016725,16446163178006,207333309011,2131003860757,14862095852,1291538280468,64102470380218,49503193478782,44783505469811,4719688008971,11911104156815,11911104156815,823583299170,832669326619,0,64102470380218,461362907012,17889415091748,1152415118126,598491588135,10700000000000,10700000000000,3507319723834,402512688116,26548371097915,0,1277630853448,456296186114,9653260353,9279292631,VCI,quarterly
PLX,2014,1,44738564233763,8044580399467,1207818219492,13757417853777,18935500056341,2793247704686,20524586233738,16661749932943,206637331108,2342755238561,16644256469,1288444056218,65263150467501,49422875133096,43109049344269,6313825788827,13118018598010,13118018598010,792319182766,2121587092440,0,65263150467501,371707833444,18948658438251,743309309854,557836956515,10700000000000,10700000000000,3678273613444,343303672351,25114575221036,0,1270052680982,467287974054,8598203334,8355418439,VCI,quarterly
PLX,2013,3,40475259430454,8185354206232,1337010001033,10019697439693,18770538709923,2162659073573,20511463603933,16683810172415,191105237171,2334207585800,21990738319,1280272391228,60986723034387,45758028913369,40313097177942,5444931735427,12587382980953,12587382980953,787548240413,1607237278892,0,60986723034387,402432721250,18784098280426,287658856958,553995667716,10700000000000,10700000000000,3835829164828,374587841593,21569729990631,0,1256511662436,522428754111,273763895,77479000,VCI,quarterly
PLX,2013,2,39494556010571,8132645065409,1274379717379,11583297876612,16843849868848,1660383482323,20433680799070,16706261590850,192028867726,2229612046113,21990738319,1283710077062,59928236809641,45238293130148,39746689576825,5491603553323,12090040284111,12090040284111,743108701912,1111085569830,0,59928236809641,392387250728,16860189439351,226239443820,591410926902,10700000000000,10700000000000,3867869408395,234597867988,19804356817212,0,1263187359324,495657495785,273763895,77479000,VCI,quarterly
PLX,2013,1,38153690951748,8427177690632,716017505906,14177112087942,13227114447855,1606269219413,20725539421869,16805863143928,143359271133,2530623317647,23772898937,1221843311224,58879230373617,44344546430153,38962910930849,5381635499304,11896284621503,11896284621503,749075137068,1065586262504,0,58879230373617,437141488953,13245641001891,226135380609,458343125674,10700000000000,10700000000000,4165167653472,238095710819,17160727141649,0,1202816091670,521465486368,273763895,77479000,VCI,quarterly
