ticker,yearReport,lengthReport,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Interest income and dividends,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Finance lease principal payments,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,data_source,period_type
PLX,2020,2,781843620818.0,521612584034.0,-1525820302057.0,-88011039646.0,-281502939218.0,168538494918.0,0.0,1544250216604.0,516089682915.0,-417998137131.0,4070705330255.0,177868134581.0,-180677224788.0,-695796798938.0,-1540565790.0,-142395020208.0,4870505617500.0,-451629227384.0,70291514986.0,-2426130082828.0,1922719405771.0,91459170284.0,-360031412.0,432647941430.0,-361001309153.0,495047037595.0,0.0,16437488083240.0,-17411860818131.0,0.0,-2473637132836.0,-2952962830132.0,1556541478215.0,10666166858905.0,-8153706197.0,12214554630923.0,VCI,yearly
PLX,2020,1,-1702288247399.0,541750029138.0,1669617103992.0,81613770169.0,-377237466103.0,201387460219.0,0.0,1415893203398.0,-270480455793.0,3410416524493.0,-6582301664980.0,-26534905529.0,-173544056730.0,313533967887.0,5104895400.0,-62896075284.0,-1970808567138.0,-412567250117.0,2633976139.0,-2870000000000.0,3884827425763.0,-234233520000.0,360031412.0,184886106874.0,555906770071.0,0.0,0.0,20752035244421.0,-19953750200452.0,0.0,0.0,798285043969.0,-616616753098.0,11275206410674.0,7577201329.0,10666166858905.0,VCI,yearly
PLX,2019,4,1404778829266.0,483872251207.0,-288539155464.0,-35396852043.0,-480600291954.0,198822521889.0,0.0,1589799513906.0,4544295845654.0,182176935557.0,-5040082310834.0,211366419928.0,-198822521889.0,-216441576099.0,32090145660.0,-76139994270.0,1028242457613.0,-483603475622.0,22377344814.0,-3768055000000.0,2192200000000.0,33682334214.0,73836154529.0,192119908241.0,-1737442733824.0,18192800000.0,0.0,19471102254981.0,-15698332124832.0,0.0,-4495222242.0,3786467707907.0,3077267431696.0,8202713677416.0,-1112481537.0,11278868627575.0,VCI,yearly
PLX,2019,3,1175574170813.0,461602349273.0,188493866491.0,-23948044431.0,-351096212689.0,173445663605.0,0.0,2694408269277.0,1634758435243.0,1003742093168.0,1793671728099.0,-142024364746.0,-173445663605.0,-213361227306.0,11477890610.0,-126296875648.0,6482930285092.0,-501583959319.0,26229872548.0,-4614146452268.0,2376472316718.0,-24400000000.0,20275450000.0,-162175735533.0,-2879328507854.0,1273708614339.0,0.0,12360808251587.0,-15855122823381.0,0.0,-2845383153954.0,-5065989111409.0,-1462387334171.0,9672955743406.0,-7854731819.0,8202713677416.0,VCI,yearly
PLX,2019,2,1623106615207.0,527279972805.0,157448108867.0,12504585588.0,-320171508636.0,239242964636.0,0.0,2195539154642.0,-2482647379617.0,409952208379.0,133235458382.0,53694848060.0,-239242964636.0,-265529990424.0,620461829.0,-77619776853.0,-271997980238.0,-730718148837.0,-4472091686.0,-1617559348225.0,3143527683282.0,20816342631.0,-6779355106.0,551909467226.0,1356724549285.0,11756217200.0,2894190527.0,20884756732920.0,-20688003359610.0,0.0,-194181085872.0,17222695165.0,1101949264212.0,8564010819261.0,6995659933.0,9672955743406.0,VCI,yearly
PLX,2019,1,1568369145526.0,488328401347.0,-629329798422.0,1111059541.0,-335897893703.0,184613614576.0,0.0,-558628166229.0,623800280718.0,-668260062748.0,2239227882781.0,116952922827.0,-184613614576.0,-244935837232.0,2088781715.0,-120142998453.0,1205489188803.0,-409378496240.0,49641449154.0,-5064986651775.0,2572700000000.0,-30098676845.0,22850000000.0,101221616659.0,-2758050759047.0,713091734203.0,-2894190527.0,15041498204530.0,-15853781168643.0,0.0,0.0,-102085420437.0,-1654646990681.0,10220835547036.0,-2177737094.0,8564010819261.0,VCI,yearly
PLX,2018,4,1125356197109.0,482321231065.0,481813444721.0,194965917762.0,-129133357200.0,225969787833.0,0.0,2522514154946.0,2647962123468.0,2663277846145.0,-5054000610507.0,-282149225356.0,-263252640937.0,-344858348242.0,454078578.0,-64828212617.0,1825119165478.0,-441535790359.0,-1376520907.0,-903341235358.0,2073051383505.0,0.0,0.0,205522056350.0,932319893231.0,0.0,0.0,17832996348111.0,-20241767315473.0,0.0,0.0,-2408770967362.0,348668091347.0,9904293659601.0,-26210582193.0,10226751168755.0,VCI,yearly
PLX,2018,3,1145302785925.0,490158939646.0,114225838339.0,-33737213211.0,-283633161052.0,228614622386.0,777151921219.0,1175299143094.0,948709876992.0,2773214801092.0,-3084227335806.0,-69711197596.0,-196260313119.0,-188344711276.0,3739454885.0,-144870461485.0,1221220514695.0,-659563913617.0,-23694028267.0,-3637670160738.0,3347889769005.0,0.0,-81086674685.0,255302304135.0,-798822704167.0,0.0,0.0,5617191733130.0,-5857035472289.0,0.0,-3296856058860.0,-3536699798019.0,-3114301987491.0,13012612183767.0,5983463325.0,9904293659601.0,VCI,yearly
PLX,2018,2,1616155548793.0,531872374476.0,17584804780.0,91911783088.0,-457477358298.0,205072419044.0,-777151921219.0,1534647589480.0,-1620358182556.0,-1678014700707.0,7197414448803.0,76713473421.0,-218516246545.0,-202274893248.0,1422909830.0,-70143863482.0,5017984277082.0,-560756119584.0,29270204952.0,-3813264452564.0,263468101392.0,0.0,92681802443.0,513582136531.0,-3475018326830.0,0.0,0.0,30568845765381.0,-34088084597438.0,0.0,-179583646140.0,-3698822478197.0,-2155856527945.0,15165331946068.0,3136765644.0,13012612183767.0,VCI,yearly
PLX,2018,1,1206303455416.0,506470651652.0,42560411586.0,7228260024.0,-174017017644.0,205858998091.0,0.0,1487724820309.0,-452314095935.0,-1759156340453.0,-2660714062372.0,39893795689.0,-187486626753.0,-227180464896.0,5508496514.0,-99700363834.0,-3853424841731.0,-452959651478.0,5672952935.0,-977735547436.0,1414010503039.0,0.0,2474210000.0,92438974653.0,83901441713.0,0.0,0.0,27579344164274.0,-22869017603959.0,0.0,0.0,4710326560315.0,940803160297.0,14223421508261.0,1107277510.0,15165331946068.0,VCI,yearly
