ticker,yearReport,lengthReport,Revenue (Bn. VND),Revenue YoY (%),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Net Sales,Cost of Sales,Gross Profit,Financial Income,Financial Expenses,Interest Expenses,General & Admin Expenses,Operating Profit/Loss,Gain/(loss) from joint ventures,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company,Sales,Sales deductions,Other income,Net income from associated companies,Other Income/Expenses,data_source,period_type
SSI,2022,1,2007559768896,0.333413164916321,706535902145,0.665860765026892,2007559768896,-816287470103,1191272298793,60446103911.0,-301555247206.0,-263887789515.0,-67175440697,882987714801,0.0,299889877,883287604678,-218208618444,41175679488,706254665722,-281236423,706535902145,2007559768896,0,426812071,0,-126922194,VCI,yearly
SSI,2021,4,2423324859848,1.0628798113058218,997543604981,1.6193986571585077,2423324859848,-1070013957826,1353310902022,292520016514.0,-313167528926.0,-288978429547.0,-78617936184,1254045453426,0.0,-966521489,1253078931937,-226914700497,-28214431404,997949800036,406195055,997543604981,2423324859848,0,402009528,0,-1368531017,VCI,yearly
SSI,2021,3,1748087453883,0.9010234746479665,683074380090,0.9854630267784336,1748087453883,-643377055693,1104710398190,19508608260.0,-318175129618.0,-289281044668.0,-69474732156,736569144676,0.0,111844978257,848414122933,-158807619066,-7034880949,682571622918,-502757172,683074380090,1748087453883,0,111849278272,0,-4300015,VCI,yearly
SSI,2021,2,1766189915717,0.3305202263934205,591169332288,0.13057957874473897,1766189915717,-745571495689,1020618420028,19293981037.0,-240317220815.0,-229591683137.0,-67089627260,732505552990,0.0,972428850,733477981840,-156946200028,14275729890,590807511702,-361820586,591169332288,1766189915717,0,972927581,0,-498731,VCI,yearly
SSI,2021,1,1505579682065,0.5930741850085173,424126623892,43.11141630884813,1505579682065,-695599943723,809979738342,11974837543.0,-242936528992.0,-222007328495.0,-49827368285,529190678608,0.0,877125851,530067804459,-107999511414,1670470319,423738763364,-387860528,424126623892,1505579682065,0,877126421,0,-570,VCI,yearly
SSI,2020,4,1174729059137,0.3000440744799306,380829241954,0.7231894137708477,1174729059137,-471521863274,703207195863,42765393490.0,-220006045159.0,-215504666428.0,-49491022039,476475522155,0.0,711821624,477187343779,-65950038030,-30288782150,380948523599,119281645,380829241954,1174729059137,0,711821803,0,-179,VCI,yearly
SSI,2020,3,919550693190,0.08064754443805135,344037824365,0.27691863722637977,919550693190,-321191535261,598359157929,66152277313.0,-194202064121.0,-183677244995.0,-51190850171,419118520950,0.0,1754560131,420873081081,-77866099365,604692629,343611674345,-426150020,344037824365,919550693190,0,1932297393,0,-177737262,VCI,yearly
SSI,2020,2,1327443116370,0.7212989752589091,522890509790,1.7427630320643133,1327443116370,-434088507647,893354608723,62683335629.0,-263863797822.0,-207393538004.0,-41628917136,650545229394,0.0,982749697,651527979091,-123062402681,-6072745515,522392830895,-497678895,522890509790,1327443116370,0,982790598,0,-40901,VCI,yearly
SSI,2020,1,945078199266,0.3324875724082748,9614894723,-0.9516385193378782,945078199266,-674993864873,270084334393,37152545390.0,-259073144422.0,-222855873662.0,-41845351004,6318384357,0.0,1646496755,7964881112,-369538358,1383447362,8978790116,-636104607,9614894723,945078199266,0,1646782045,0,-285290,VCI,yearly
SSI,2019,4,903607102403,0.029051627699037626,221002542675,0.060166286427135944,903607102403,-388392916049,515214186354,27177333111.0,-235559596702.0,-222416901692.0,-45614014180,261217908583,0.0,1746744418,262964653001,-29679880370,-13248459788,220036312843,-966229832,221002542675,903607102403,0,1748744418,0,-2000000,VCI,yearly
SSI,2019,3,850925630584,-0.026642054967720263,269428148619,-0.28827557166859213,850925630584,-274702303703,576223326881,19875576647.0,-221272502121.0,-212860623271.0,-44920052142,329906349265,0.0,2424147215,332330496480,-52867173847,-10531279618,268932043015,-496105604,269428148619,850925630584,0,2443637533,0,-19490318,VCI,yearly
SSI,2019,2,771186839387,-0.13864516347111597,190643706247,-0.3685475573057711,771186839387,-254811137690,516375701697,8661152104.0,-211753431561.0,-203922344805.0,-50423207026,262860215214,0.0,1202864988,264063080202,-47354049091,3023348302,219732379413,-225278174,190643706247,771186839387,0,1341653893,0,-138788905,VCI,yearly
SSI,2019,1,709258546823,-0.3081795755880159,198813075848,-0.5220840357904902,709258546823,-253101570695,456156976128,10792220025.0,-170036040936.0,-164977094804.0,-52280980424,244632174793,0.0,1533156981,246165331774,-48776751648,1007660634,198396240760,-416835088,198813075848,709258546823,0,1533687141,0,-530160,VCI,yearly
SSI,2018,4,878096956538,-0.144334291935639,208460262795,-0.3973028998952592,878096956538,-475883476833,402213479705,80167497696.0,-157508247141.0,-154057051811.0,-57543754230,267328976030,0.0,1099987772,268428963802,-46427285441,-13997411463,208004266898,-455995897,208460262795,878096956538,0,1106458293,0,-6470521,VCI,yearly
SSI,2018,3,874216556126,0.3831599259962746,378556837301,0.7442555405379149,874216556126,-238055606321,636160949805,18678447884.0,-143843767880.0,-137636247830.0,-42781805109,468213824700,0.0,722968132,468936792832,-84247651095,-6766020621,377923121116,-633716185,378556837301,874216556126,0,771875086,0,-48906954,VCI,yearly
SSI,2018,2,895318406169,0.2889079911680474,301913007785,-0.007922400118118435,895318406169,-491258879711,404059526458,134896659979.0,-128947875765.0,-128793724295.0,-32952485746,377055824926,0.0,-768048834,376287776092,-82903249350,8229146722,301613673464,-299334321,301913007785,895318406169,0,1406039887,0,-2174088721,VCI,yearly
SSI,2018,1,1025206139911,0.880468551297662,416000072684,0.4119914083029968,1025206139911,-445831806662,579374333249,32081668347.0,-116619101077.0,-116053539325.0,-40405600157,454431300362,0.0,55128630867,509559931229,-106267394767,12103644618,415396181080,-603891604,416000072684,1025206139911,0,55133000730,0,-4369863,VCI,yearly
SSI,2017,4,1026214967203,0.6319786633484806,345878987569,2.372126835740928,1026214967203,-469937401222,556277565981,22808519501.0,-105444869757.0,-105008676494.0,-58411162149,415230053576,0.0,10621985392,425852038968,-82218348473,3297598560,346931289055,1052301486,345878987569,1026214967203,0,10706475337,0,-84489945,VCI,yearly
SSI,2017,3,632043005075,-0.1319650328824058,217030606183,-0.4066504112116118,632043005075,-331312465994,300730539081,63350893026.0,-87022842779.0,-86367176957.0,-33643177061,243415412267,0.0,795421951,244210834218,-35557777033,7854874129,216507931314,-522674869,217030606183,632043005075,0,985822604,0,-190400653,VCI,yearly
