ticker,yearReport,lengthReport,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Interest income and dividends,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,_Increase/Decrease in receivables,_Increase/Decrease in payables,data_source,period_type
SSI,2022,4,288640116715,23683092442,75000000,-9977881138,-69162134906,250613291942,-613183439793.0,-5809834700584,-26704698536.0,0,278997193502.0,-2167491510,-246504553159,-100110894441,584709404331,-6612110998,-5938971316253,-41188720409,0,0,0,0,268936469827,9809589000,237557338418,-4800000000,0,79625916656251,-73117526025214,-7891000,6503582740037,802168762202,615638500529,3897895919,1417807262731,-838757146290,-187726691575,VCI,quarterly
SSI,2022,3,415261069199,22196689368,0,32759269829,-31299215222,237401517228,-634146457765.0,-2285300365530,-5943622290.0,0,7257576388.0,-16973768100,-245134576702,-109464251312,584724832667,-3354632303,-2149712727984,-49387376965,6190910,0,-69216876721,-2650000000000,3000000000000,250116876721,481518813945,7445628625000,-36518500,90716681687379,-95125872469573,-991049063500,2045352260806,377158346767,238480153762,2352641361,615638500529,-327977600855,-307674773994,VCI,quarterly
SSI,2022,2,522514601188,22224406658,-1242906276,44463885481,-60479363047,278747346918,-651249944676.0,5228376504313,58405073124.0,0,14320315544.0,-24076002883,-296595905763,-202667001965,653405205487,-5849560621,5438993580957,-55871038790,0,0,69216876721,0,1390327500000,-39305479462,1364367858469,45500000000,-141700450,87154777056286,-94569925049030,-10372000,-7369800065194,-566438625768,804918779530,292095610,238480153762,-285795110254,261180351871,VCI,quarterly
SSI,2022,1,883287604675,20572041673,0,-4674327662,-84607184979,263887789515,-744236916940.0,-4920785460801,226062330552.0,0,-6970222053.0,-6019873539,-272791629899,-235743202992,687461407021,-99540863090,-4498902642177,-33889017802,32781818,0,0,-250000000000,2250000000000,39305479462,2005449243478,141660000000,-1189010450,81789184727236,-79745445825058,-72745000,2184137146728,-309316251971,1114235031501,-1476043941,804918779530,1105540587975,-3477361923202,VCI,quarterly
SSI,2021,4,1253078931937,18301569345,-20665104615,4393501882,-381981625576,288978429547,-652445357352.0,34022500492,-259020352385.0,0,8493015606.0,-273119443,-293089646194,-165409621339,681545437205,-9701317443,384577821048,-93127004343,0,0,0,-23312500000,2374642230999,163688767133,2421891493789,1111796556685,-670928250,78672192843154,-81764637493884,-749776000,-1982068798295,824400516542,289834514959,-2393885278,1114235031501,-393497401674,4098717747775,VCI,quarterly
SSI,2021,3,848414122933,16806354168,-13349887290,1534482715,-177850449374,289281044668,-536863714962.0,-6081304689799,42061904467.0,0,-4050865913.0,-16481892515,-246738142745,-156473723023,603962072128,-368646309,-5650194586261,-27962518231,0,0,0,-3010000000000,2600000000000,145338958918,-292623559313,0,-19383300,97493538392521,-90858272198174,-645919707350,5989327103697,46508958123,243325556836,-702916620,289834514959,-514949141946,-978345880261,VCI,quarterly
SSI,2021,2,733477981840,14549777490,760309310,-2933894289,-138028912958,229591683137,-472350747842.0,-4722556874925,2854595113.0,0,-10802017488.0,-10898185301,-247798356262,-105825967093,441578371503,-4014508246,-4371888776500,-30775750422,500000000,0,0,-1852929700000,2600000000000,174323506865,891118056443,90540000000,-229822400,43415689676511,-40060767837878,-423665000,3444808351233,-35962368824,279287925660,-262600965,243325556836,297304382713,264153277591,VCI,quarterly
SSI,2021,1,530067804459,14457203372,-9989360387,29358887418,-140303935436,222007328495,-367368749579.0,-1041493662810,-2854595113.0,0,21644065912.0,1622755776,-235895296673,-56725643577,379992640588,-69440892958,-781810747836,-13269750137,12636363,0,0,-250000000000,0,83397541702,-179859572072,0,-229625100,35066339865830,-34188340581645,-63315000,877706344085,-83963975823,363251901483,-368556503,279287925660,-429058987930,465344099451,VCI,quarterly
SSI,2020,4,477187343779,13330188888,-4851625113,-2913330235,-148178595547,215504666427,-299408002358.0,-7345375423566,-14293945671.0,0,-5365596066.0,-6906774555,-159812453073,-87866099365,274463342217,-4036990109,-7146167118738,-11900709550,1090909091,0,0,-2200000000000,1238437671300,234946136991,-737425992168,0,-15531735851,33536476315312,-25486285066141,-139146000,8034520367320,150927256414,212324645069,-35899519,363251901483,-162951943490,327751225089,VCI,quarterly
SSI,2020,3,420873081081,13781210828,5473091629,-1748041835,-170122801835,183677244995,-227404256803.0,-3149141316740,14293945671.0,0,2051322322.0,-2779753256,-216686047560,-123057850072,225836677480,-858408000,-3067307037194,-14705800757,24245453,0,0,-1600000000000,3800000000000,168167150686,2353485595382,0,-376800,26937531970068,-25615260970068,-598558386000,723712237200,9890795388,202433849681,139942561,212324645069,180085941590,66934910273,VCI,quarterly
SSI,2020,2,651527979091,13153631923,0,-22224080567,-213441812940,207393538004,-194723067557.0,-1430824738708,-36172153700.0,0,-84095420.0,10244206727,-190728014302,-60431688,196641163857,-3288660000,-1405337886976,-13885390177,1954546,0,0,-1700000000000,4690814000000,142934723304,3119865287673,0,-403300,36396119326166,-38190549746839,-100400000,-1794531223973,-80003823276,282437672957,2640888358,202433849681,-198723317234,-471724188215,VCI,quarterly
SSI,2020,1,7964881112,12578214098,0,-17666026751,-232709331038,222855873662,-203443461640.0,-597676091084,0.0,0,-18457315719.0,4974497489,-219486479226,-30892578855,178132942756,-28222792807,-654783080553,-18547157749,434272727,0,0,-1000000000000,400000000000,160350731512,-457762153510,100000000000,-2968550,31705965106903,-31451561841687,-200000000,354200296666,-758344937397,1040782610354,-264724688,282437672957,-8208620612,517482831736,VCI,quarterly
SSI,2019,4,262964653001,12174968830,11018850000,4887188223,-245060100253,222416901692,-203864205285.0,32990514040,0.0,0,15849782477.0,6297414906,-167735044011,-52867173847,183489915947,-3359375500,113064271043,-20794997622,954546,0,0,-2620720027000,1550000000000,180068800012,-911445270064,0,-1020800,26356035381923,-24354431893838,-506668467000,1494934000285,696553001264,344229609090,-95397491,1040782610354,21925261058,-364950546672,VCI,quarterly
SSI,2019,3,332330496480,10416308416,0,4717416211,-231904316250,212860623271,-192081018917.0,3661916545882,0.0,0,-6070622460.0,5747939348,-245290344621,-46544754185,204055266150,-5401505993,3726582381294,-20946869533,2645453,0,0,-4200000000000,1560000000000,195192547965,-2465751676115,0,-10390926900,26632256932906,-27816877845448,0,-1195011839442,65818865737,278410743353,0,344229609090,-10967833225,-595687357189,VCI,quarterly
SSI,2019,2,264063080290,10093968893,0,4836871956,-168984294142,203922344805,-225810291313.0,-948335287751,0.0,0,8176294584.0,4514113396,-159624002214,-47619229274,214048996080,-1479042257,-869462510456,-13891935470,101081817,0,0,-4800996448830,3395549999996,215217136999,-1204020165488,0,-433100,23736954016578,-21579393836916,0,2157559746562,84077070618,194333672735,-10303696,278410743353,-4616590286,-160349380316,VCI,quarterly
SSI,2019,1,246165331686,10207875644,0,2614550352,-128745457845,164977094804,-156851826491.0,-34122227080,0.0,0,-4171866725.0,-12461443969,-212843669273,-41811441464,157553597073,-38748527616,78478449711,-11099262672,90909091,0,0,-2740000000000,1030000000000,99209149959,-1621799203622,0,-358600,22546293995808,-21421519349422,0,1124774287786,-418546466125,612880138860,3460747416,194333672735,948936770,-53349682571,VCI,quarterly
SSI,2018,4,268428963802,10198062073,296899522152,-2918363513,-205331165866,154057051811,-242719831498.0,7428202479,0.0,0,3743457669.0,-14375457684,-129836466056,-90801777778,241987340916,-13625149278,335351501903,-17440094914,48127272,0,0,-1791342813000,1592333233000,95490565810,-120910981832,100000000000,-603550,21499470371612,-20925679111038,-498089723000,175700934024,390141454095,222738684765,0,612880138860,3797565539,225340051489,VCI,quarterly
SSI,2018,3,468936792832,8963472809,574797,2698829588,-121243964035,137654581171,-160819385582.0,-3505770573786,0.0,0,-3734537495.0,4801891761,-116985433049,-82467319742,164482000582,-44367614532,-3295303950843,-5810123048,340000,0,0,-2210000000000,2771600000000,100841963136,656632180088,0,-53430842100,19693915191140,-17623967300937,0,2016517048103,-622154722652,844893407417,1762164130,222738684765,-4219174788,557278868001,VCI,quarterly
SSI,2018,2,376287776092,5905454396,-103048127,88397279,-249180636005,128848724294,-233490958931.0,122086105404,0.0,0,-6848788949.0,-5147381967,-92781464199,-188720518005,241600343931,18183090197,268528589540,-24242522449,17721000000,0,0,-2140000000000,2054372080000,124592075420,32442632971,0,-50812500,22850561461530,-23045398765710,-84480000,-194972596680,105998625831,738894781586,0,844893407417,30093234656,-436960854128,VCI,quarterly
SSI,2018,1,509559931229,5761478580,-60201171,-290319585,-187577141289,116308539324,-192190637586.0,-549097583460,0.0,0,8540912704.0,-803584462,-130056638645,-1406904347,181809221586,-27388995084,-246745692462,-9866925276,189313565670,0,0,-1168690687304,641000000000,112109672082,-236134374828,113767095785,-10865900,21732046652476,-20969956504676,-57242000,875789135685,392909068395,345985713191,0,738894781586,-9335385723,1028054067416,VCI,quarterly
SSI,2017,4,425852038968,6240067638,-276668349,134350549,-131387380923,105101176493,-163608967367.0,-1599409296037,-23864605500.0,0,1984278778.0,-2302922140,-84183113687,-35481020959,166198125967,-2252490000,-1478948912089,-7846834917,95799081,0,0,-907000000000,780000000000,102982100588,-31768935248,100072064000,0,15600646476751,-13914427661254,-488311331000,1297979548497,-212738298840,558724012030,208527714,345985713190,-20028031933,-291294088587,VCI,quarterly
