ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),data_source,period_type
VRE,2022,4,10481806000000,7019648000000,97426000000,1351642000000,1178127000000,834963000000,32177007000000,0,418007000000,26514396000000,0,4536886000000,42658813000000,9275421000000,5818481000000,3456940000000,33383392000000,33383392000000,0,12023308000000,32312000000,42658813000000,99471000000,0,1178127000000,657420000000,23288184000000,23288184000000,2121300000000,1215154000000,1065371000000,189027000000,477603000000,0,8222000000,8222000000,VCI,quarterly
VRE,2022,3,7165237000000,4133898000000,93555000000,1253786000000,885379000000,798619000000,32786255000000,0,419346000000,27040005000000,0,4663371000000,39951492000000,7354019000000,3936431000000,3417588000000,32597473000000,32597473000000,0,11232323000000,37378000000,39951492000000,128517000000,0,885379000000,657420000000,23288184000000,23288184000000,2115141000000,273156000000,1061883000000,207173000000,364347000000,0,8222000000,8222000000,VCI,quarterly
VRE,2022,2,7065392000000,4900731000000,293313000000,1222234000000,555541000000,93573000000,31606371000000,0,427459000000,27363640000000,0,3002546000000,38671763000000,6870201000000,3426906000000,3443295000000,31801562000000,31801562000000,0,10438921000000,35152000000,38671763000000,110524000000,0,555541000000,0,23288184000000,23288184000000,2115347000000,151021000000,1058394000000,225319000000,356775000000,0,8222000000,8222000000,VCI,quarterly
VRE,2022,1,7044190000000,3888543000000,292484000000,1034464000000,554645000000,1274054000000,30686319000000,0,431242000000,25923481000000,0,3041342000000,37730509000000,6702083000000,2386407000000,4315676000000,31028426000000,31028426000000,0,9665948000000,34989000000,37730509000000,36571000000,0,554645000000,1203400000000,23288184000000,23288184000000,3147557000000,150356000000,19887000000,243465000000,377425000000,0,8222000000,8222000000,VCI,quarterly
VRE,2021,4,7896580000000,3297060000000,190424000000,1487714000000,582918000000,2338464000000,29976908000000,0,438775000000,26268764000000,0,2007350000000,37873488000000,7222659000000,2890056000000,4332603000000,30650829000000,30650829000000,0,9288513000000,34827000000,37873488000000,42620000000,295000000000,582918000000,2273400000000,23288184000000,23288184000000,3137924000000,278179000000,19887000000,261611000000,395287000000,0,6110000000,6110000000,VCI,quarterly
VRE,2021,3,5911228000000,2689495000000,174517000000,1630616000000,280049000000,1136551000000,31835098000000,0,437314000000,26685367000000,0,3691525000000,37746326000000,7217370000000,2857864000000,4359506000000,30528956000000,30528956000000,0,9166702000000,34765000000,37746326000000,49098000000,0,280049000000,1040000000000,23288184000000,23288184000000,3128216000000,467230000000,19887000000,279757000000,413916000000,0,7500000000,7500000000,VCI,quarterly
VRE,2021,2,5708358000000,2309153000000,674165000000,1313544000000,289541000000,1121955000000,32205269000000,0,434197000000,27031141000000,0,3731189000000,37913627000000,7409046000000,3040554000000,4368492000000,30504581000000,30504581000000,0,9142451000000,34641000000,37913627000000,68715000000,0,289541000000,1040000000000,23288184000000,23288184000000,3128121000000,399321000000,19887000000,297903000000,435434000000,0,7500000000,7500000000,VCI,quarterly
VRE,2021,1,5936580000000,3013452000000,1108729000000,1451733000000,286213000000,76453000000,33843608000000,1250000000000,440007000000,27386086000000,0,3788849000000,39780188000000,9663235000000,5266410000000,4396825000000,30116953000000,30116953000000,0,8754938000000,34526000000,39780188000000,79423000000,0,286213000000,0,23288184000000,23288184000000,3118671000000,169071000000,2567614000000,316049000000,474948000000,0,7500000000,1257500000000,VCI,quarterly
VRE,2020,4,7099011000000,3050907000000,1894314000000,1532703000000,519889000000,101198000000,32670466000000,0,450233000000,27598604000000,0,3654090000000,39769477000000,10433659000000,3490911000000,6942748000000,29335818000000,29335818000000,0,7974006000000,34323000000,39769477000000,97136000000,0,519889000000,0,23288184000000,23288184000000,5706162000000,429835000000,19887000000,334194000000,514162000000,0,8308000000,8308000000,VCI,quarterly
VRE,2020,3,9770627000000,2225517000000,1893283000000,1671928000000,1202985000000,2776914000000,30308549000000,0,449993000000,27206349000000,0,1761463000000,40079176000000,11717909000000,4781388000000,6936521000000,28361267000000,28361267000000,0,6999606000000,34172000000,40079176000000,119890000000,0,1203796000000,2545576000000,23288184000000,23288184000000,5696058000000,1522690000000,19447000000,352340000000,507460000000,0,7405000000,7405000000,VCI,quarterly
