ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Intagible fixed assets,Investment in properties,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Undistributed earnings (Bn. VND),Paid-in capital (Bn. VND),Other Reserves,MINORITY INTERESTS,data_source,period_type
TCB,2022,4,699032544000000,4215721000000,11475590000000,82873754000000,961034000000,961034000000,0,0,415752256000000,420523705000000,-4771449000000,103651920000000,104031921000000,0,-380001000000,12813000000,13962000000,-1149000000,8411382000000,3696812000000,4714570000000,1053124000000,70517225000000,699032544000000,585607578000000,7826000000,167562969000000,358403785000000,1851213000000,0,34006619000000,23775166000000,113424966000000,36204797000000,11608569000000,0,64482685000000,35172385000000,555997000000,1128915000000,VCI,quarterly
TCB,2022,3,671353524000000,3025551000000,4708805000000,72296806000000,1434528000000,1435098000000,-570000000,243730000000,406148421000000,410545854000000,-4397433000000,103225630000000,103941897000000,0,-716267000000,12813000000,13962000000,-1149000000,7281881000000,3527356000000,3754525000000,1062074000000,71795190000000,671353524000000,561454375000000,5801000000,179152388000000,318918817000000,0,0,42858083000000,20519286000000,109899149000000,35648805000000,9151450000000,7355000000,64059161000000,35172385000000,0,1032378000000,VCI,quarterly
TCB,2022,2,623738504000000,3204430000000,4813822000000,72130842000000,831875000000,890551000000,-58676000000,61239000000,387775129000000,391823802000000,-4048673000000,97227579000000,98035844000000,0,-808265000000,12813000000,13962000000,-1149000000,7220361000000,3601276000000,3619085000000,1071024000000,49268818000000,623738504000000,519263345000000,2311000000,141200864000000,321633599000000,0,0,37122383000000,19304188000000,104475159000000,35585622000000,9151551000000,13987000000,58761195000000,35109148000000,0,962804000000,VCI,quarterly
TCB,2022,1,615270328000000,3276768000000,8999152000000,72530371000000,3699101000000,3757777000000,-58676000000,338956000000,361815215000000,365742636000000,-3927421000000,120301385000000,121309714000000,200000000000,-1208329000000,12813000000,13962000000,-1149000000,7265245000000,3614371000000,3650874000000,1079974000000,35820407000000,615270328000000,516684338000000,223178000000,137998875000000,328914024000000,0,0,32730686000000,16817575000000,98585990000000,35585622000000,9155659000000,2965000000,52957670000000,35109148000000,0,884074000000,VCI,quarterly
TCB,2021,4,568811435000000,3578643000000,4908529000000,70584154000000,5070812000000,5074479000000,-3667000000,293768000000,343605581000000,347341244000000,-3735663000000,97586088000000,98092062000000,200000000000,-705974000000,12813000000,13962000000,-1149000000,7224480000000,3628729000000,3595751000000,1088924000000,34724225000000,568811435000000,475755598000000,842000000,112458691000000,314752525000000,0,0,33679824000000,14863716000000,93055837000000,35585622000000,9155896000000,0,47469491000000,35109148000000,0,844828000000,VCI,quarterly
TCB,2021,3,541635295000000,3303309000000,3395192000000,77627953000000,6080683000000,6116848000000,-36165000000,25202000000,317668922000000,321042016000000,-3373094000000,93253518000000,93660419000000,200000000000,-606901000000,12813000000,13962000000,-1149000000,7106005000000,3540181000000,3565824000000,1097874000000,31920037000000,541635295000000,453250854000000,15482000000,90348281000000,316376047000000,0,0,34002680000000,12508364000000,88384441000000,35585622000000,6784301000000,15000000,45261263000000,35109148000000,0,753240000000,VCI,quarterly
TCB,2021,2,504303766000000,3553612000000,4404948000000,52084900000000,7579192000000,7594177000000,-14985000000,51840000000,310617819000000,313513991000000,-2896172000000,87967956000000,88243294000000,200000000000,-475338000000,12761000000,13910000000,-1149000000,6738801000000,3278175000000,3460626000000,1106824000000,30041106000000,504303766000000,420402756000000,319000000,90642175000000,289334731000000,0,0,27677665000000,12747866000000,83901010000000,35525569000000,6789525000000,3468000000,40923663000000,35049062000000,0,658785000000,VCI,quarterly
TCB,2021,1,462822690000000,4272683000000,1764015000000,38361058000000,5509124000000,5521877000000,-12753000000,0,293799393000000,296290213000000,-2490820000000,85926193000000,86274400000000,200000000000,-548207000000,11806000000,12466000000,-660000000,4726319000000,1591916000000,3134403000000,1115774000000,27336325000000,462822690000000,383729925000000,1689000000,59018848000000,287445926000000,76656000000,0,26035440000000,11151366000000,79092765000000,35525569000000,6789602000000,1803000000,36212537000000,35049062000000,0,563254000000,VCI,quarterly
TCB,2020,4,439602933000000,3663615000000,10253324000000,28994954000000,8347576000000,8357447000000,-9871000000,0,275310367000000,277524615000000,-2214248000000,84447241000000,84632952000000,200000000000,-385711000000,11806000000,12466000000,-660000000,4613423000000,1470942000000,3142481000000,1124724000000,22835903000000,439602933000000,364988147000000,0,47484812000000,277458651000000,266926000000,0,27899640000000,11878118000000,74614786000000,35525569000000,6789643000000,0,31815705000000,35049062000000,0,483869000000,VCI,quarterly
TCB,2020,3,401461729000000,4205407000000,9728941000000,26597264000000,10054880000000,10063292000000,-8412000000,0,228667892000000,230715706000000,-2047814000000,94911279000000,95198963000000,200000000000,-487684000000,11806000000,12466000000,-660000000,4272535000000,1184445000000,3088090000000,1133674000000,21878051000000,401461729000000,330853376000000,0,42459349000000,252572479000000,425907000000,0,22784847000000,12610794000000,70608353000000,35477962000000,5172187000000,-1749000000,29503180000000,35001400000000,0,456773000000,VCI,quarterly
