ticker,yearReport,lengthReport,Revenue (Bn. VND),Revenue YoY (%),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Interest and Similar Income,Interest and Similar Expenses,Net Interest Income,Fees and Comission Income,Fees and Comission Expenses,Net Fee and Commission Income,Net gain (loss) from foreign currency and gold dealings,Net gain (loss) from trading of trading securities,Net gain (loss) from disposal of investment securities,Net Other income/(expenses),Other expenses,Net Other income/expenses,Dividends received,Total operating revenue,General & Admin Expenses,Operating Profit before Provision,Provision for credit losses,Profit before tax,Tax For the Year,Business income tax - current,Business income tax - deferred,Minority Interest,Net Profit For the Year,Attributable to parent company,data_source,period_type
TCB,2019,3,6375437000000,0.12287476392625922,2554229000000,0.24017947487914917,6375437000000,-2650732000000,3724705000000,1101863000000,-466376000000,635487000000,18069000000,111482000000,445702000000,978914000000,-559784000000,419130000000,4016000000,5358591000000,-1794313000000,3564278000000,-365730000000,3198548000000,-615956000000,-615956000000,0,-28363000000,2582592000000,2554229000000,VCI,quarterly
TCB,2019,2,5938821000000,0.20794706270245775,2408839000000,0.14665776190195112,5938821000000,-2740307000000,3198514000000,1103348000000,-347037000000,756311000000,110905000000,69254000000,86393000000,1007293000000,-538252000000,469041000000,146000000,4690564000000,-1573878000000,3116686000000,-71981000000,3044705000000,-612023000000,-612023000000,0,-23843000000,2432682000000,2408839000000,VCI,quarterly
TCB,2019,1,6073781000000,0.21962126924301037,2082825000000,0.01649366602424856,6073781000000,-2643365000000,3430416000000,817225000000,-319303000000,497922000000,9162000000,84597000000,63970000000,948587000000,-642875000000,305712000000,34000000,4391813000000,-1607495000000,2784318000000,-167329000000,2616989000000,-524880000000,-524880000000,0,-9284000000,2092109000000,2082825000000,VCI,quarterly
TCB,2018,4,5637304000000,0.2234176021570226,2253527000000,-0.11803718562717234,5637304000000,-2616916000000,3020388000000,1688201000000,-326998000000,1361203000000,-12948000000,53396000000,52950000000,1351481000000,-771105000000,580376000000,0,5055365000000,-2108849000000,2946516000000,-59710000000,2886806000000,-622057000000,-622057000000,0,-11222000000,2264749000000,2253527000000,VCI,quarterly
TCB,2018,3,5677781000000,0.363507360534089,2059564000000,0.20710584925565584,5677781000000,-2560876000000,3116905000000,1171873000000,-239737000000,932136000000,48455000000,116620000000,-39389000000,875759000000,-415343000000,460416000000,0,4635143000000,-1314671000000,3320472000000,-742614000000,2577858000000,-518294000000,-518294000000,0,0,2059564000000,2059564000000,VCI,quarterly
TCB,2018,2,4916458000000,0.11210971492062932,2100748000000,0.8673879921704301,4916458000000,-2412512000000,2503946000000,869954000000,-182030000000,687924000000,152927000000,-12145000000,301222000000,549731000000,-185934000000,363797000000,275000000,3997946000000,-1150302000000,2847644000000,-219961000000,2627683000000,-526935000000,-526935000000,0,0,2100748000000,2100748000000,VCI,quarterly
TCB,2018,1,4980055000000,0.13138532741202782,2049029000000,0.9343181318281927,4980055000000,-2433383000000,2546672000000,660317000000,-168622000000,491695000000,45317000000,10562000000,441802000000,370198000000,-140894000000,229304000000,894428000000,4659780000000,-1267035000000,3392745000000,-823960000000,2568785000000,-519756000000,-517983000000,-1773000000,0,2049029000000,2049029000000,VCI,quarterly
TCB,2017,4,4607833000000,0.1631445014566338,2555127000000,1.9758912380373372,4607833000000,-2138874000000,2468959000000,2424063000000,-176868000000,2247195000000,75162000000,22432000000,361608000000,713230000000,-66015000000,647215000000,63000000,5822634000000,-1553432000000,4269202000000,-1073277000000,3195925000000,-640798000000,-635598000000,-5200000000,0,2555127000000,2555127000000,VCI,quarterly
TCB,2017,3,4164100000000,0.04594932944301773,1706200000000,0.6689196723588481,4164100000000,-2108740000000,2055360000000,746698000000,-102905000000,643793000000,84240000000,94686000000,300067000000,400123000000,-96904000000,303219000000,271000000,3481636000000,-1218247000000,2263389000000,-157064000000,2106325000000,-400125000000,-399265000000,-860000000,0,1706200000000,1706200000000,VCI,quarterly
TCB,2017,2,4420839000000,0.09955282560049188,1124966000000,0.420131893212953,4420839000000,-2198923000000,2221916000000,705434000000,-159612000000,545822000000,30347000000,105023000000,100679000000,578639000000,-47412000000,531227000000,0,3535014000000,-1017084000000,2517930000000,-1108649000000,1409281000000,-284315000000,-264489000000,-19826000000,0,1124966000000,1124966000000,VCI,quarterly
TCB,2017,1,4401732000000,0.1667019631843626,1059303000000,1.2266333432827037,4401732000000,-2217555000000,2184177000000,643490000000,-97524000000,545966000000,88836000000,174589000000,93406000000,271433000000,-38203000000,233230000000,355192000000,3675396000000,-1080393000000,2595003000000,-1270236000000,1324767000000,-265464000000,-265464000000,0,0,1059303000000,1059303000000,VCI,quarterly
TCB,2016,4,3961531000000,0.1150391041702671,858609000000,1.2849565953279434,3961531000000,-2046875000000,1914656000000,723154000000,-216785000000,506369000000,78632000000,49997000000,110353000000,695187000000,-241989000000,453198000000,0,3113205000000,-1265044000000,1848161000000,-715716000000,1132445000000,-273836000000,-298862000000,25026000000,0,858609000000,858609000000,VCI,quarterly
