ticker,yearReport,lengthReport,Profits from other activities,Operating profit before changes in working capital,Net Cash Flows from Operating Activities before BIT,Payment from reserves,Purchase of fixed assets,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,Net cash inflows/outflows from operating activities,Proceeds from disposal of fixed assets,Investment in other entities,Proceeds from divestment in other entities,Dividends paid,data_source,period_type
TCB,2022,1,198451000000,4870010000000,24408012000000,-237000000,-112956000000,48000000,-111084000000,1894000000,-72754000000,24223937000000,47604230000000,2965000000,71831132000000,24407775000000,1824000000,0,0,-74648000000,VCI,yearly
TCB,2021,4,417766000000,5871991000000,-9322544000000,-5407000000,-279916000000,3981000000,-275591000000,0,0,-9603542000000,57276683000000,-15000000,47673126000000,-9327951000000,344000000,0,0,0,VCI,yearly
TCB,2021,3,-41934000000,6337573000000,17979457000000,-5224000000,-179617000000,20000000,-179387000000,60053000000,60053000000,17854899000000,39425237000000,-3453000000,57276683000000,17974233000000,263000000,-53000000,0,0,VCI,yearly
TCB,2021,2,166744000000,6477851000000,11205191000000,-77000000,-337391000000,21000000,-282270000000,0,0,10922844000000,28500728000000,1665000000,39425237000000,11205114000000,56544000000,-1444000000,0,0,VCI,yearly
TCB,2021,1,273652000000,4351682000000,-6954237000000,-41000000,-143072000000,21000000,-142696000000,0,0,-7096974000000,35595899000000,1803000000,28500728000000,-6954278000000,355000000,0,0,0,VCI,yearly
TCB,2020,4,387996000000,5411007000000,-478858000000,-118000000,-268085000000,4002000000,-263290000000,47607000000,-137462000000,-879728000000,36473878000000,1749000000,35595899000000,-478976000000,801000000,0,0,-28007000000,VCI,yearly
TCB,2020,3,226496000000,4559331000000,-12203926000000,-473000000,-157104000000,150000000,-156674000000,0,0,-12361073000000,48835595000000,-644000000,36473878000000,-12204399000000,831000000,0,0,0,VCI,yearly
TCB,2020,2,368999000000,5488218000000,-1273800000000,-19000000,-61282000000,39000000,-56396000000,0,-37079000000,-1367294000000,50216352000000,-13463000000,48835595000000,-1273819000000,4847000000,0,0,-37079000000,VCI,yearly
TCB,2020,1,206942000000,2172677000000,3884039000000,-5000000,-194696000000,0,-194338000000,-5000000,-5000000,3689691000000,46514302000000,12359000000,50216352000000,3884034000000,358000000,0,0,0,VCI,yearly
TCB,2019,4,13366000000,3519979000000,1959387000000,-236000000,-84071000000,20000000,-79319000000,35428000000,-2164572000000,-284740000000,46894017000000,26000000,46609303000000,1959151000000,4816000000,0,0,0,VCI,yearly
TCB,2019,3,128016000000,2978841000000,804973000000,-7609000000,-53557000000,4016000000,-45271000000,0,-1000000000000,-247907000000,47141880000000,44000000,46894017000000,797364000000,4424000000,0,0,0,VCI,yearly
TCB,2019,2,258692000000,3558892000000,3718871000000,-2041000000,-109638000000,146000000,-108693000000,-58201000000,12137000000,3620274000000,43521850000000,-244000000,47141880000000,3716830000000,799000000,0,0,0,VCI,yearly
