Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,data_source,period_type
ticker,yearReport,lengthReport,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Net Profit Margin (%),ROE (%),ROA (%),Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),,
TCB,2016,1,10.7360657902,0.05190174492360154,0.24001294898228295,0.23531477559273611,0.1068102902,0.0094528713,11.736065790234917,0,887807900,0.0,0.0,0.0,0.0,535.8614177684159,19099.3558403794,VCI,yearly
TCB,2015,4,0.0,0.05336869541857907,0.23394772616048526,0.1822725594828385,0.0,0.0,11.617157428034506,0,887807900,0.0,0.0,0.0,0.0,423.25147140501906,18537.3051985683,VCI,yearly
TCB,2015,3,0.0,0.05760325205787558,0.2287464563592875,0.2590425000064095,0.0,0.0,10.842229538783156,0,887807900,0.0,0.0,0.0,0.0,455.2279834410124,18202.8094140636,VCI,yearly
TCB,2015,2,0.0,0.06191252117735561,0.22300589710931512,0.28454705134977937,0.0,0.0,10.964371836408372,0,887807900,0.0,0.0,0.0,0.0,552.7006461645587,17745.9966283247,VCI,yearly
TCB,2015,1,0.0,0.06611957903326202,0.2164846562252819,0.16844921078711797,0.0,0.0,11.71022994157308,0,887807900,0.0,0.0,0.0,0.0,353.225061412497,17227.0600430566,VCI,yearly
TCB,2014,4,10.7377022631,0.06910166929893978,0.2123145757921191,0.11309380881201152,0.074853217,0.0064627418,11.727923673191015,0,887807900,0.0,0.0,0.0,0.0,202.65420030616983,16879.8340271584,VCI,yearly
TCB,2014,3,10.5210673324,0.06719534894170329,0.20980285995496387,0.10092556400680006,0.0690162317,0.0060051685,11.521067332440037,0,887807900,0.0,0.0,0.0,0.0,182.35363753803045,16695.3470452335,VCI,yearly
TCB,2014,2,10.6692699542,0.06972147057794376,0.20751774476834495,0.16736273921814515,0.0625747231,0.0053926362,11.669269954254267,0,887807900,0.0,0.0,0.0,0.0,242.0253300291651,16513.505905951,VCI,yearly
TCB,2014,1,10.3597797096,0.06787419005952558,0.20451592664342536,0.40592046734266873,0.0549800748,0.0046628125,11.359779709617726,0,887807900,0.0,0.0,0.0,0.0,591.5390029757564,16274.632158601,VCI,yearly
TCB,2013,4,10.4149335754,0.07419050868210496,0.19703271228123928,0.08694693743325847,0.0484439249,0.0038902723,11.414933575401099,0,884807871,0.0,0.0,0.0,0.0,108.76937599032728,15732.3069292633,VCI,yearly
TCB,2013,3,10.978680998,0.07721611914180947,0.19601025628826718,0.05253135155679913,-0.0458995677,-0.0036167185,11.978680998053559,0,884807871,0.0,0.0,0.0,0.0,60.45154180144041,15650.6677368832,VCI,yearly
TCB,2013,2,11.4350244184,0.07496625783807405,0.19509540340263323,0.10300224975910957,-0.0087296102,-0.0006826661,12.435024418493208,0,884807871,0.0,0.0,0.0,0.0,107.1622474298717,15577.620240225,VCI,yearly
TCB,2013,1,11.8602361138,0.0822924638520058,0.19356295510789628,0.3080488300235809,0.028015478,0.0021700182,12.860236113868995,0,884807871,0.0,0.0,0.0,0.0,449.12688169339305,15455.2601171424,VCI,yearly
