ticker,yearReport,lengthReport,Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Interest Expenses,Sales,Sales deductions,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Gain/(loss) from joint ventures,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company,data_source,period_type
VJC,2021,3,-0.05540608157464877,2653835381018,72901557649,1.0750513184550379,21340815527,-250444381295,2653835381018,0,2653835381018,-2094826896500,559008484518,-297174675047,0,-119122071087,-61033542042,103019011869,98653197,-46252191,52401006,103071412875,-3598957825,-27694166185,71778288865,-1123268784,72901557649,VCI,quarterly
VJC,2021,2,-0.06222368371524297,3507390730778,-295657723,-1.0002855132070552,2381514061832,-170938539721,3507390730778,0,3507390730778,-5375461416213,-1868070685435,-165455469155,3225000000,-231021252748,-82126231698,38065422796,12420430090,-285203510,12135226580,50200649376,-13225950927,-38460759814,-1486061365,-1190403642,-295657723,VCI,quarterly
VJC,2021,1,-0.4400395179954095,4048643285661,124375215572,1.1257088783720068,1394521383632,-119315196571,4048643285661,0,4048643285661,-5062389428495,-1013746142834,-37999193965,-3225000000,-113654897164,-107316978299,118579171370,-3701875242,-2558892,-3704434134,114874737236,0,8444344409,123319081645,-1056133927,124375215572,VCI,quarterly
VJC,2020,4,-0.6818893779859676,4429932083395,995214723739,0.8524268148986068,104312572480,-118338369633,4429932083395,0,4429932083395,-3935837965196,494094118199,28698633710,-41698321757,-215949428763,-107745881788,261711692081,745378220308,-1491611160,743886609148,1005598301229,0,-10923601854,994674699375,-540024364,995214723739,VCI,quarterly
VJC,2020,3,-0.7930780369392119,2809498694891,-971356122047,-1.5714860397873367,92530513337,-102004364989,2809498694891,0,2809498694891,-3421461737420,-611963042529,-138034872570,-28098651250,-156727134736,-85566523866,-927859711614,4600708831,-7737015167,-3136306336,-930996017950,0,-40251548720,-971247566670,108555377,-971356122047,VCI,quarterly
VJC,2020,2,-0.6574887087460701,3740114428005,1035530811515,0.9963791235553843,479100583598,-110489580615,3740114428005,0,3740114428005,-4354253251682,-614138823677,-328027923821,-39911390840,-170366195632,-85461267194,-758805017566,1768630022254,4258224529,1772888246783,1014083229217,-18368316325,40375726193,1036090639085,559827570,1035530811515,VCI,quarterly
VJC,2020,1,-0.46979885328311566,7230230374771,-989390862306,-1.6762148777711732,548458836198,-121740414263,7230230374771,0,7230230374771,-8071255537705,-841025162934,-313862855309,-25400184160,-226849720793,-112351104948,-971030191946,9542213506,-4279279060,5262934446,-965767257500,0,-23677779082,-989445036582,-54174276,-989390862306,VCI,quarterly
VJC,2019,4,-0.2453415723783701,13925759710091,537249145680,-0.6501023414481256,117629145773,-110283896254,13925759710091,0,13925759710091,-12600977917699,1324781792392,-187129808126,-41936521191,-278175611670,-137213949417,797955047761,7125002511,-253149148,6871853363,804826901124,-161264917473,-104737324896,538824658755,1575513075,537249145680,VCI,quarterly
VJC,2019,3,0.06801966738122234,13577576074250,1699702275157,0.010233876880373237,403483775064,-100562224023,13577576074250,0,13577576074250,-11517111537978,2060464536272,-204404614733,-3109423108,-232032930617,-116280911813,1908120431065,4727781729,-5819884,4721961845,1912842392910,-219649215002,6180592250,1699373770158,-328504999,1699702275157,VCI,quarterly
VJC,2019,2,0.2606582755574592,10919682134602,518704488189,-0.18055301889463984,102812313189,-82193565771,10919682134602,0,10919682134602,-9796081552754,1123600581848,-232970002093,-36260212649,-288198335955,-42191972204,626792372136,18969366832,-29594975,18939771857,645732143993,-158281536726,30916137097,518366744364,-337743825,518704488189,VCI,quarterly
