ticker,yearReport,lengthReport,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Dividends paid,Dividends received,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,data_source,period_type
DGC,2018,2,13614228422,2615119915,0,-32515519,-884158391,0,15312674427,68524203745,-7373016460,-1493650418,-246732893,0,-12330129498,0,-2784285360,59609063543,-31024603710,0,-76500000000,0,0,0,10817441778,-96707161932,0,0,-88641950,-5082810183,0,0,-5171452133,-42269550522,45921708749,0,3652158227,VCI,yearly
DGC,2018,1,13463202798,2545937561,0,0,-481629036,0,15527511323,39281991290,-7437992373,-52242075976,786891965,0,293846500,0,-1624189040,-5414016311,-11035350272,0,0,0,0,0,74410962369,63375612097,0,0,69413650350,-64347601850,-99724941038,0,-94658892538,-36697296752,82619005501,0,45921708749,VCI,yearly
DGC,2017,4,100840597019,2721171914,0,126949791,-85124384744,0,18564333980,-69092527937,-1703713423,24277023510,-479818085,0,0,0,-976598445,-29411300400,-109704960,0,0,45547638150,0,0,1675791733,47113724923,0,0,0,0,0,0,0,17702424523,64914105978,0,82616530501,VCI,yearly
DGC,2017,3,82591139749,20185141705,0,-550927720,-30636851321,1077762273,72666264686,-62464599640,-19403442625,280967042072,167104370,-1134038706,0,0,-4016779327,266781550830,-69953021414,-4154648520,-445000000,-53124458157,0,0,3135806692,-124541321399,0,0,178889945917,-282002980238,0,0,-103113034321,39127195110,222397268175,-567389,261523895896,VCI,yearly
DGC,2017,2,88637943363,13114602442,0,550927720,-25564343941,1705420660,78444550244,-146755964535,-49822482365,8669200259,-27723116089,-1423269310,-2491312267,-2711898936,1161106331,-142653186668,-23547690079,4154648521,-3120000000,132495889632,0,0,1993943433,111976791507,0,0,278670074184,-215213200845,0,0,63456873339,32780478178,189616222608,567389,222397268175,VCI,yearly
DGC,2017,1,47507207493,17749000477,0,0,-18667354315,1299831005,47888684660,17099571416,63169355299,33701103753,1949851012,-1463579951,-19961256689,2711898936,-5423797871,139671830565,-10698174680,2354545455,-6825000000,14680139667,0,0,1614407874,1125918316,0,0,236470033453,-373934411910,0,0,-137464378457,3333370424,186282852184,0,189616222608,VCI,yearly
DGC,2016,4,63231781683,17794260307,0,0,-30074724999,1693051605,52644368596,60465971781,-6327403381,-45722285195,403090676,-1529302659,-295929193,50872154752,-50666296266,59844369111,-32375698533,0,-72045588540,54397649384,0,0,150656909,-49872980780,0,0,293306948107,-311713383525,0,0,-18406435418,-8435047087,194727148635,0,186292101548,VCI,yearly
DGC,2016,3,84813864974,17640340261,0,-239455760,27367203221,2616276166,132198228862,-14669228215,-3665631872,1249069626,-1276672575,-2706530026,-2182500,-144632717,-2939186670,108043233913,-56557294154,0,-53694760683,107024000000,-24000000000,-55990042551,-2688743746,-85906841134,0,-4320000,362299158716,-268570341006,31500000,0,93755997710,115892390489,78834758146,0,194727148635,VCI,yearly
DGC,2016,2,99976902462,17981684526,0,239455760,-91110587635,1422512601,28509967714,-23445553420,-38457710084,-55344305295,167248010,-1429771142,10747975807,34090489293,-3429360809,-48591019926,-36298317980,0,-162344000000,170582290961,0,79990042551,150222993492,202153009024,0,0,273749229751,-311673648714,-50861138680,0,-88785557643,64776431455,14058326691,0,78834758146,VCI,yearly
DGC,2016,1,89734053971,18475301219,0,0,-5962748686,1241156049,103487762553,66538260926,53194866074,11930986934,-4477242013,-1241156049,-27381703339,-33945856576,-2282551138,165823367372,7958157255,0,-107824000000,88551657303,0,-24000000000,-73389394838,-108703580280,0,0,255498957946,-249564291588,-59910674800,0,-53976008442,3143778650,10914548041,0,14058326691,VCI,yearly
DGC,2015,4,92054117765,18769287154,156265732,0,-21097431293,1478360027,91360599385,75961964396,407545948,4899285083,-11611994026,-2214820710,0,0,-1235100114,157567479962,-35943042221,0,-358380858326,440340417923,0,-144877590000,4628393340,-94232679284,0,0,-1797673055596,1738815742923,0,0,-58857312673,4477488005,6437060036,0,10914548041,VCI,yearly
DGC,2015,3,120233006088,18544980840,0,-2467716588,-44549139476,1901596697,93662727561,-128681500197,17083285891,-94649088469,-988909460,-3092662054,-80794050,-642681000,-1360686156,-118750307934,-11510013537,0,0,1586091365,0,-23309000000,4897426589,-28335495583,0,0,134392492168,0,0,0,134392492168,-12693311349,19128581090,1790295,6437060036,VCI,yearly
DGC,2015,2,91928363518,18103323521,0,2467716588,-43098109496,1354496875,70755791006,234795151710,-38403336056,26029255332,-1984707025,-99899120,4156775654,642681000,-2202294340,293689418161,-43230881850,0,-4330026939,-236587595127,0,-331072464,7426436858,-277053139522,0,-1780000,220150691478,-224075240093,0,0,-3926328615,12709950024,6420421361,-1790295,19128581090,VCI,yearly
DGC,2015,1,83668173649,16599049538,0,0,-3705337251,3364445372,99926331308,-53346962142,-210399053,-19100651738,1035972158,-2691517087,-31885443340,0,-2558100188,-8830770082,-23512834169,0,-2990000000,242104358947,0,331072464,0,215932597242,0,0,220684945701,-413048652615,-16709481000,0,-209073187914,-1971360754,8391782115,0,6420421361,VCI,yearly
DGC,2014,4,72343770587,19563204351,0,1366918714,-6923114457,2834281325,89185060520,12214835786,87289719620,-36277778605,-14854451304,-1731069516,-500000000,0,-3808656476,131517660025,-110396894467,233454545,0,0,0,0,110525502,-110052914420,0,0,359032680169,-339448016881,-37603002484,0,-18018339196,3446406409,5073528976,0,8519935385,VCI,yearly
DGC,2014,3,66191259331,12085994967,0,3187895800,-6285436667,3298430495,78478143926,-150533044931,18155757160,71836648908,32653928049,-2303990025,-204359525,0,-7458066864,40625016698,-19548845075,0,0,0,0,0,-352046802,-19900891877,0,0,365042447092,-393946800547,0,0,-28904353455,-8180228634,13254389999,-632389,5073528976,VCI,yearly
DGC,2014,2,46277516554,12076789409,43742031,4077918093,-6268648149,2079472516,58286790454,342142899378,-45161009085,-390902953683,-31878046699,-1939149897,-200000000,0,46803490945,-22847978587,-127229742970,0,0,0,0,0,-3206201571,-130435944541,0,0,549033442365,-344723115004,-153645468788,0,50664858573,-102619064555,115872822165,632389,13254389999,VCI,yearly
DGC,2014,1,77452165981,11819797506,0,0,-6108910615,1497593764,84660646636,8320108025,6024148431,-36296913877,388736568,-1497593764,-4294093884,0,-51414119973,5890918162,-76170921240,60700000,0,0,0,0,6108910615,-70001310625,0,0,259153276029,-217372044428,-33415979000,0,8365252601,-55745139862,171617962027,0,115872822165,VCI,yearly
DGC,2013,3,96988164187,10712509127,0,0,0,1216142855,108916816169,-12905113842,-30921907499,-13991619258,-463867473,0,0,0,-8144369710,42489938387,-21220202160,0,0,0,-24000000000,0,0,-45220202160,0,0,33194585363,0,0,0,33194585363,30464321590,295054924507,0,325519246097,VCI,yearly
