Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,data_source,period_type
ticker,yearReport,lengthReport,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,EBIT Margin (%),Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,
DGC,2023,1,0.0876291346,0.1974057347,0.16187397797383943,2.9060891453569164,1.0410152185,7.3331264985,20.531966413793953,66.9359514024,15.8864917756,103.35440959179394,5.4529739602,0.29864452349771536,0.3585457136008571,0.3169964894643732,0.4919435262,0.4351677646,0.3930570283,5526506793708.0,741566513306,0.0443131462,4.9594318307,0.0727255321,4.5215499646,-108.82604878098351,1.1974057346842322,25710998560100.0,379778413.0,5.0686881127,2.3949083233,1.9341989982,5.5937323449,2072.620228551537,28268.3054467948,4.8531091244,VCI,quarterly
DGC,2022,4,0.0431641026,0.2373648653,0.1644029686122226,2.852857931709314,1.3175581568,7.693062066,14.459127062492614,56.6070341857,23.9444625174,95.01062376559261,6.4479619053,0.34641324896556697,0.414386748917134,0.3318018141873215,0.6483882778,0.5307485783,0.5076268111,6283478669538.0,1077865361850,0.073664825,4.2720584975,0.5971290514,3.8831758549,-171.76980006257918,1.228990361060257,20621967825900.0,379778413.0,3.6457233156,1.9731662428,1.4277076872,3.4174316994,2718.4321818154526,27519.2220614051,3.4770654901,VCI,quarterly
DGC,2022,3,0.0798912,0.1618872364,0.16605546472742672,2.8898917498528345,1.3979456455,7.8216414795,20.73520253386566,67.786490176,19.3027332781,107.82442598796567,5.3845537518,0.39703189953196055,0.445339604497529,0.38257431524930957,0.6786383259,0.5351882537,0.5519746805,6637956672671.0,1467382493740,0.0527240773,5.8090240835,0.0366511931,4.9466422879,-282.7730652616188,1.161887236448036,21609391699700.0,379778413.0,3.6195473657,2.0461854586,1.4611921383,4.0425202547,3723.089412443777,27807.8410547495,3.4401385607,VCI,quarterly
DGC,2022,2,0.1039280518,0.2415971849,0.1958763191405059,2.5010941668777584,1.4518351505,6.799086975,21.63850276215784,63.221239969,22.4403083796,107.30005111075783,5.7733761656,0.4839356120645861,0.5316591891295853,0.44611337852268657,0.686571361,0.5114361336,0.5393811709,5654565041446.0,1936879961478,0.0397350993,4.0585700095,0.0490010033,3.1962365219,-569.9613473804596,1.2415971848679461,28673270181500.0,379778413.0,5.7237552565,3.1347634853,2.1723181427,5.731161429,4701.431316969035,24084.7516421266,5.3028201177,VCI,quarterly
DGC,2022,1,0.1130251847,0.2391408354,0.25042570888770177,2.0042140959362382,1.4519698093,5.6921956756,23.85460491458191,51.8972282448,17.9063801915,93.65821335088191,7.0331309079,0.41694013552579084,0.46950215347242674,0.36755395356973597,0.5803289322,0.4450120333,0.4445370109,4055184870720.0,1515318041460,0.0309278351,3.8111189698,0.0327844892,3.2639761886,-553.9670187135545,1.2391408354222795,36010396400000.0,371241200.0,10.4684490059,4.9429502953,3.2050320213,9.7962093501,3598.2805517329434,19623.907627036,9.1580072154,VCI,quarterly
DGC,2021,4,0.1329609812,0.3456080683,0.3117007715360689,1.6674335690114495,1.3267610578,4.7712201785,26.384077864241963,59.7127067739,23.5122875298,109.60907216794197,6.1126018183,0.41185698704600027,0.467546474791299,0.3773037997616774,0.4592848419,0.3543306076,0.3317672846,2820542048771.0,1423488331888,0.0040322581,2.7406535482,0.0566459216,2.1070853525,-554.4435845256253,1.316805596048098,42427761384000.0,171079683.0,17.7659733953,6.9820777091,4.442517856,16.1965072934,7622.54883891736,35519.51300641,15.387038757,VCI,quarterly
DGC,2021,3,0.1695407522,0.3267121017,0.3949367181154485,1.3499852524824116,1.2254631463,3.7165890246,37.25833839645001,49.1307386055,15.0047489281,101.39382593005,7.4291575979,0.2312661979165621,0.3039290706513017,0.22711797067612913,0.2911319297,0.2294785356,0.2107134432,1650468526049.0,487137051153,0.0,2.526104377,0.0481267139,2.0826096614,-153.67051205271252,1.32671210166332,22103495043600.0,171079683.0,16.7424981777,4.4711732887,2.8788005795,13.3906325927,2796.353453554155,28896.218432267,13.9811957123,VCI,quarterly
DGC,2021,2,0.2546656192,0.3753439019,0.42911150212256965,1.2214681089073405,1.1868029531,3.3846603833,40.737303853505615,49.7871435157,14.2276532887,104.75210065790561,7.3312099114,0.16882161188194486,0.24279595392595907,0.1577635872224355,0.2500830677,0.1933607776,0.1777151662,1396520855854.0,344150169860,0.0,2.200434808,0.0298822336,1.6786662177,-97.2221483562142,1.3753439019203457,27646476772800.0,171079683.0,25.9025802901,6.1916029118,3.8787182585,30.0836059198,1879.872009775702,26099.8649787129,20.7297582505,VCI,quarterly
DGC,2021,1,0.2504074831,0.3948261928,0.4905114518192636,1.1337518366091193,1.1520057743,3.0980019584,43.236331684634834,49.059886316,15.6918354671,107.98805346773484,7.4398867875,0.14733123125648234,0.2209245916300102,0.14567779032518283,0.2462868881,0.1996697946,0.1730053305,1344313110321.0,287175844025,0.0,2.0615213116,0.0334649344,1.6303689188,-65.47002207139506,1.3948261928039882,14062749942600.0,171079683.0,14.0493227341,3.3938903329,2.1098887179,11.2230290473,1659.7703279646596,24219.9929689372,11.3413021471,VCI,quarterly
DGC,2020,4,0.2824815027,0.4446833685,0.5251781757369475,1.0709698617917776,1.1769155797,2.809513384,38.54020276381007,57.7502438779,10.2577947733,106.54824141501008,6.3203196297,0.1625950125962195,0.24004320539559007,0.14915359860704924,0.241169292,0.1891226268,0.171102895,1254347951837.0,257534694926,0.0429184549,1.8984091668,0.1560968835,1.5129534259,-56.53797854850506,1.444137974362712,10398748293000.0,148766070.0,11.4691723069,2.6588521542,1.6674068242,9.6914622848,1588.0287873303369,26289.5399762392,9.3671658412,VCI,quarterly
