ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Fixed assets (Bn. VND),Long-term investments (Bn. VND),Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),data_source,period_type
DGC,2021,1,3504431013100,56887868849,1749310325663,913300491816,732926605263,52005721509,2501348324731,2112021954781,0,124335585478,6005779337831,1700024707745,1699924707745,100000000,4305754630086,4305754630086,-1113960026039,1236724343102,162205910698,6005779337831,58616717421,0,732926605263,0,746456329925,1487669430000,1487669430000,50579077492,1078193179975,4136024208,120199561270,0,0,VCI,quarterly
DGC,2020,4,3432911065863,282267887237,1557534801277,848297789108,702052125757,42758462484,2440862646952,2136068587594,0,125812948746,5873773712815,1806452018427,1806352018427,100000000,4067321694388,4067321694388,-1113960026039,1126524269170,169710734029,5873773712815,49124311441,0,702052125757,0,610718644828,1487669430000,1487669430000,34017024310,1148973992471,4273891682,121539057064,0,0,VCI,quarterly
DGC,2020,3,3337163366206,62779043825,1613415635512,962735421963,638536837509,59696427397,2426539097304,2184886560518,0,99143517611,5763702463510,1704104523136,1704004523136,100000000,4059597940374,4059597940374,-1113960026039,1125678110066,162833139119,5763702463510,89212184817,0,638536837509,0,610718644828,1487669430000,1487669430000,38091057834,1250882899103,4411759155,94731758456,0,0,VCI,quarterly
DGC,2020,2,3061223536105,58249839642,1466588881085,836347416078,647730478357,52306920943,2438328289826,2172778492692,0,151345707292,5499551825931,1675457152241,1675357152241,100000000,3824094673690,3824094673690,-1113960026039,1094190226836,152851025665,5499551825931,29628153308,0,647730478357,0,610718644828,1293636160000,1293636160000,11615064215,1141862419541,4549626628,146796080664,0,0,VCI,quarterly
DGC,2020,1,2517500772251,44110375880,960837298052,900701179200,584711488335,27140430784,2416695948942,2243062808574,0,100839885372,4934196721193,1283086434866,1282986434866,100000000,3651110286327,3651110286327,-1113960026039,1025257516078,137541432761,4934196721193,38037352675,0,584711488335,0,521976561127,1293636160000,1293636160000,52493677851,859740031329,4687494105,96152391267,0,0,VCI,quarterly
DGC,2019,4,2262148648038,127689713963,642746167705,634723216050,808234617947,48754932373,2459216610516,2303453689228,0,103691302515,4721365258554,1270278035555,1270278035555,0,3451087222999,3451087222999,-1113960026039,835163522104,127512363407,4721365258554,45168943492,0,808234617947,0,522076561127,1293636160000,1293636160000,47778300982,735135200647,4825361576,98865940939,0,0,VCI,quarterly
DGC,2019,3,2055976476085,49487586984,521605544552,521389175508,909667017776,53827151265,2494313849694,2356809826657,0,104479482681,4550290325779,1143949465323,1143949465323,0,3406340860456,3406340860456,-1113960026039,796133106928,121896416040,4550290325779,30571180867,0,909667017776,0,521976561127,1293636160000,1293636160000,30180757044,703472775044,4963229049,99516253632,0,0,VCI,quarterly
DGC,2019,2,2006275005764,44986346630,349136955641,593131620242,961863262180,57156821071,2533807161270,2389763915676,0,108636286036,4540082167034,1255974914851,1255974914851,0,3284107252183,3284107252183,-1113960026039,869667845112,123533959514,4540082167034,28385134319,0,961863262180,0,378470671196,1239736160000,1239736160000,18615038931,823739872019,5101096522,103535189514,0,0,VCI,quarterly
DGC,2019,1,2063824118354,193346264483,251292265204,462891905964,1087680319917,68613362786,2587516621889,2428634979279,0,110508714606,4651340740243,1473725942720,1473725942720,0,3177614797523,3177614797523,-1113960026039,926702340919,121705059047,4651340740243,32905195453,0,1087680319917,0,378470671196,1078038110000,1078038110000,25841754577,978417900512,5238963996,105269750610,0,0,VCI,quarterly
DGC,2018,4,2133940905753,274286866922,245600000000,749413662287,796665021440,67975355104,2610153273521,2344596952702,0,108495277030,4744094179274,1562922130873,1562922130873,0,3181172048401,3181172048401,-761774236229,1155205151285,123980699970,4744094179274,32357691299,0,796665021440,0,378470671196,1078038110000,1078038110000,22664128953,1133082225435,2992818200,105502458830,0,0,VCI,quarterly
DGC,2018,3,2091410789099,165127075014,244300000000,593867786009,925217573641,162898354435,2457636639820,2202573334991,0,106157537558,4549047428919,1628256230264,1628256230264,0,2920791198655,2920791198655,-761774236229,905633224798,120911170376,4549047428919,63205597739,0,925217573641,0,370731277531,1078038110000,1078038110000,22010791065,1005145513493,2992818200,103164719358,0,0,VCI,quarterly
DGC,2018,2,190886800552,3652158227,76500000000,51640576594,49371795700,9722270031,552617826641,38388412938,439281940000,29866429106,743504627193,61104863101,61104863101,0,682399764092,682399764092,0,67508351728,0,743504627193,19314207719,0,49371795700,0,113739392364,500088750000,500088750000,1266360987,0,0,29866429106,0,0,VCI,quarterly
DGC,2018,1,227822714941,45921708749,0,120166987087,41998779240,19735239865,523840154532,37629050470,439281940000,29498240792,751662869473,74736041449,74736041449,0,676926828024,676926828024,0,70513948306,0,751662869473,8391154817,0,41998779240,0,105260859718,500088750000,500088750000,2943957417,5066048500,0,29498240792,0,0,VCI,quarterly
DGC,2017,4,371741232617,82616530501,0,239518158121,34544980916,15061563079,515580109821,36037474136,439281940000,29727608792,887321342438,117385545707,117385545707,0,769935796731,769935796731,0,163522917013,0,887321342438,10713779589,0,34544980916,0,105260859718,500088750000,500088750000,1259270207,0,0,29727608792,0,0,VCI,quarterly
DGC,2017,3,928491710892,261523895896,0,469081499750,178957300029,18929015217,1301296626885,640076530739,490877782964,73504060941,2229788337777,674458471851,674458471851,0,1555329865926,1555329865926,0,419071623246,399744076547,2229788337777,29612889851,45423572472,178957300029,0,235362146133,500088750000,500088750000,5710800515,207184989493,0,73006273993,0,0,VCI,quarterly
