ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Other long-term assets (Bn. VND),Fixed assets (Bn. VND),Tangible fixed assets,Intagible fixed assets,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Undistributed earnings (Bn. VND),Paid-in capital (Bn. VND),Other Reserves,data_source,period_type
LPB,2022,2,300919233000000,2016854000000,4834479000000,19220966000000,237085000000,237085000000,0,0,223055011000000,226914895000000,-3859884000000,42102592000000,42102592000000,0,0,315931000000,315931000000,1623875000000,1138576000000,485299000000,5954107000000,300919233000000,281168861000000,144909000000,45619392000000,185787552000000,74191000000,0,38849693000000,10693124000000,19750372000000,12385920000000,2183660000000,0,5180792000000,12385863000000,0,VCI,yearly
LPB,2022,1,284918135000000,2173387000000,10515268000000,17308765000000,232878000000,232878000000,0,132706000000,204271906000000,207749028000000,-3477122000000,41408365000000,41425459000000,0,-17094000000,315931000000,315931000000,1609043000000,1124457000000,484586000000,6949886000000,284918135000000,266695475000000,153859000000,42435310000000,177459816000000,0,0,38887949000000,7758541000000,18222660000000,12035962000000,2183660000000,0,4003038000000,12035905000000,0,VCI,yearly
LPB,2021,4,289193879000000,2751278000000,9867646000000,22438493000000,232521000000,232521000000,0,84831000000,205783434000000,208954136000000,-3170702000000,38689486000000,38706805000000,0,-17319000000,315931000000,315931000000,1584457000000,1092819000000,491638000000,7445802000000,289193879000000,272392002000000,1702874000000,46281380000000,180273213000000,0,0,36737629000000,7396906000000,16801877000000,12035962000000,2183660000000,0,2582255000000,12035905000000,0,VCI,yearly
LPB,2021,3,254622581000000,1668953000000,2755885000000,11034155000000,273120000000,273120000000,0,173623000000,193096468000000,195829616000000,-2733148000000,35402506000000,35414472000000,0,-11966000000,315931000000,315931000000,1611775000000,1114055000000,497720000000,8290165000000,254622581000000,238465414000000,182015000000,18577936000000,178842254000000,0,0,33641484000000,7221725000000,16157167000000,12035962000000,1752673000000,0,2368532000000,12035905000000,0,VCI,yearly
LPB,2021,2,255497176000000,2348534000000,3725024000000,16434544000000,276240000000,276240000000,0,134089000000,188760793000000,191227753000000,-2466960000000,33425497000000,33439746000000,0,-14249000000,315931000000,315931000000,1648718000000,1144725000000,503993000000,8427806000000,255497176000000,239951080000000,194112000000,11403874000000,186172609000000,0,0,35357555000000,6822930000000,15546096000000,10746446000000,1752673000000,0,3046977000000,10746389000000,0,VCI,yearly
LPB,2021,1,245208214000000,1859621000000,1984284000000,18116079000000,276930000000,276930000000,0,216292000000,180264042000000,182739243000000,-2475201000000,31804886000000,31819202000000,0,-14316000000,315931000000,315931000000,1588556000000,1121155000000,467401000000,8781593000000,245208214000000,230099514000000,209628000000,17312132000000,176178834000000,0,0,30116532000000,6282388000000,15108700000000,10746446000000,1752673000000,0,2609581000000,10746389000000,0,VCI,yearly
LPB,2020,4,242342951000000,3499270000000,6758980000000,13959435000000,279000000000,279000000000,0,218101000000,174356335000000,176621536000000,-2265201000000,33360012000000,33374329000000,0,-14317000000,315931000000,315931000000,1620975000000,1147320000000,473655000000,7974912000000,242342951000000,228111225000000,224189000000,14745116000000,174525987000000,0,0,32251205000000,6364728000000,14231726000000,10746446000000,1752673000000,0,1732607000000,10746389000000,0,VCI,yearly
LPB,2020,3,211978406000000,2232006000000,1937133000000,3124010000000,278190000000,278190000000,0,216465000000,157237398000000,159149390000000,-1911992000000,36234864000000,36438580000000,0,-203716000000,315931000000,315931000000,1541824000000,1062587000000,479237000000,8860585000000,211978406000000,198213147000000,246210000000,7731872000000,154611447000000,0,0,29396232000000,6227386000000,13765259000000,9769540000000,1473387000000,0,2522332000000,9769483000000,0,VCI,yearly
LPB,2020,2,213729207000000,2281820000000,1880621000000,10816676000000,278490000000,278490000000,0,187485000000,150499889000000,152323545000000,-1823656000000,37631955000000,37835705000000,0,-203750000000,315931000000,315931000000,1492660000000,1027733000000,464927000000,8343680000000,213729207000000,200553099000000,263569000000,27523028000000,143917595000000,0,0,22821627000000,6027280000000,13176108000000,9769540000000,1473387000000,0,1933181000000,9769483000000,0,VCI,yearly
LPB,2020,1,202930440000000,1599644000000,3352900000000,9064436000000,0,0,0,107935000000,142800158000000,144511761000000,-1711603000000,36089462000000,36137584000000,359343000000,-407465000000,324731000000,324731000000,1474696000000,1010232000000,464464000000,8116478000000,202930440000000,189864984000000,279063000000,10415727000000,144001427000000,0,1178750000000,28147279000000,5842738000000,13065456000000,9769540000000,1473387000000,0,1822529000000,9769483000000,0,VCI,yearly
