ticker,yearReport,lengthReport,Revenue (Bn. VND),Revenue YoY (%),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Interest and Similar Income,Interest and Similar Expenses,Net Interest Income,Fees and Comission Income,Fees and Comission Expenses,Net Fee and Commission Income,Net gain (loss) from foreign currency and gold dealings,Net gain (loss) from trading of trading securities,Net gain (loss) from disposal of investment securities,Net Other income/(expenses),Other expenses,Net Other income/expenses,Dividends received,Total operating revenue,General & Admin Expenses,Operating Profit before Provision,Provision for credit losses,Profit before tax,Tax For the Year,Business income tax - current,Net Profit For the Year,Attributable to parent company,EPS_basis,data_source,period_type
LPB,2022,4,6712509000000,0.18302838999965632,667898000000,0.03596655860774612,6712509000000,-3940725000000,2771784000000,1105579000000,-223163000000,882416000000,-14793000000,0,232000000,44073000000,-56177000000,-12104000000,53052000000,3680587000000,-1506701000000,2173886000000,-1306488000000,867398000000,-199500000000,-199500000000,667898000000,667898000000,419,VCI,quarterly
LPB,2022,3,6642748000000,0.29956513879639624,986887000000,0.6132431862503903,6642748000000,-3435141000000,3207607000000,341166000000,-82508000000,258658000000,-12526000000,0,-3873000000,53322000000,-46568000000,6754000000,0,3456620000000,-1304777000000,2151843000000,-918156000000,1233687000000,-246800000000,-246800000000,986887000000,986887000000,713,VCI,quarterly
LPB,2022,2,6064478000000,0.16986131561601248,1434685000000,0.9374727377571429,6064478000000,-3019606000000,3044872000000,372927000000,-69553000000,303374000000,52308000000,0,356233000000,37389000000,-22340000000,15049000000,825000000,3772661000000,-1342045000000,2430616000000,-637431000000,1793185000000,-358500000000,-358500000000,1434685000000,1434685000000,913,VCI,quarterly
LPB,2022,1,5805909000000,0.17146704637375226,1420783000000,0.6200970610303156,5805909000000,-2930203000000,2875706000000,276840000000,-59426000000,217414000000,-14526000000,0,-9598000000,199543000000,-8095000000,191448000000,0,3260444000000,-1153370000000,2107074000000,-311663000000,1795411000000,-374628000000,-374628000000,1420783000000,1420783000000,1180,VCI,quarterly
LPB,2021,4,5674005000000,0.17787567796816,644710000000,0.38210981246301995,5674005000000,-2918195000000,2755810000000,396520000000,-84659000000,311861000000,19182000000,4543000000,-8422000000,48182000000,-96216000000,-48034000000,0,3034940000000,-1764515000000,1270425000000,-434847000000,835578000000,-190868000000,-190868000000,644710000000,644710000000,536,VCI,quarterly
LPB,2021,3,5111516000000,0.13536134763627236,611741000000,0.0383433109678164,5111516000000,-3081000000000,2030516000000,218199000000,-62769000000,155430000000,6571000000,0,5215000000,45545000000,-2192000000,43353000000,0,2241085000000,-1203915000000,1037170000000,-271429000000,765741000000,-154000000000,-154000000000,611741000000,611741000000,557,VCI,quarterly
LPB,2021,2,5183929000000,0.21978818125773555,740493000000,1.3094722003037742,5183929000000,-3004273000000,2179656000000,289016000000,-60323000000,228693000000,-11243000000,0,-1369000000,37929000000,-8200000000,29729000000,0,2425466000000,-1094028000000,1331438000000,-405945000000,925493000000,-185000000000,-185000000000,740493000000,740493000000,528,VCI,quarterly
LPB,2021,1,4956101000000,0.15257117435446516,876974000000,0.8057513960498789,4956101000000,-2904924000000,2051177000000,210161000000,-48263000000,161898000000,124277000000,0,3192000000,67377000000,-58723000000,8654000000,0,2349198000000,-1027321000000,1321877000000,-210000000000,1111877000000,-234903000000,-234903000000,876974000000,876974000000,816,VCI,quarterly
LPB,2020,4,4817151000000,0.129475261820431,466468000000,0.6130491313488989,4817151000000,-2813685000000,2003466000000,335151000000,-65475000000,269676000000,-2301000000,33650000000,199763000000,85885000000,-18561000000,67324000000,0,2571578000000,-1508728000000,1062850000000,-377738000000,685112000000,-218644000000,-218644000000,466468000000,466468000000,434,VCI,quarterly
LPB,2020,3,4502105000000,0.07959074345666246,589151000000,0.42518372658967646,4502105000000,-2687111000000,1814994000000,205878000000,-58313000000,147565000000,28714000000,0,633000000,28906000000,-33353000000,-4447000000,0,1987459000000,-1144715000000,842744000000,-105593000000,737151000000,-148000000000,-148000000000,589151000000,589151000000,603,VCI,quarterly
