Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,data_source,period_type
ticker,yearReport,lengthReport,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Net Profit Margin (%),ROE (%),ROA (%),Dividend yield (%),Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),,
LPB,2021,1,15.2296037382,0.10514180571458828,0.505767433212953,0.42754672073643574,0.1601388925,0.0098689487,0.0357142857,16.22960373824353,30089889620000.0,1074638915.0,13.354137174,1.9915604665,3.4885861853,4.1354908179,816.063877604879,14059.327081041,VCI,yearly
LPB,2020,4,16.0283598068,0.11389869366512537,0.47641051375763943,0.23283050473529374,0.1388886257,0.0083794053,0.0,17.028359806814716,20847994951000.0,1074638915.0,11.1971132086,1.4648957513,2.6827646678,2.9736541223,434.06952185423137,13243.2632034361,VCI,yearly
LPB,2020,3,14.3995217961,0.11200835378397167,0.4607954166765837,0.324602174993416,0.1281408772,0.0081118667,0.0557491289,15.399521796139107,15421068430250.0,1074638915.0,9.1540121131,1.1202890138,2.213043716,-1.777577984,548.2315890263475,12809.194612127,VCI,yearly
LPB,2020,2,15.2209665403,0.11328534951292142,0.44107344264540665,0.21903689701884985,0.11808261,0.0074304781,0.0648035642,16.22096654034712,12060426998055.0,976948319.0,7.9930775903,0.915325451,1.8255138463,-4.5595388374,328.1985277667487,13487.0061637314,VCI,yearly
LPB,2020,1,14.5318298879,0.11286984549180679,0.43736933984239384,0.33775813158390716,0.1345561656,0.0085007419,0.0912929362,15.531829887912064,8560998119397.0,976948319.0,5.1090153242,0.6552391374,1.2902330377,-18.3439609405,497.115344337882,13373.7432634858,VCI,yearly
LPB,2019,4,15.0621027361,0.11951525461454077,0.4211118862861998,0.18508178737969339,0.1404941518,0.0084860988,0.0,16.06210273613253,6927540530029.0,976948319.0,3.9354623063,0.5506876524,1.06469521,1.4332761676,296.00746976667864,12876.6279191479,VCI,yearly
LPB,2019,3,14.7466783601,0.12224757489779194,0.411431381053701,0.2695003187956435,0.1256598423,0.0078038476,0.0,15.746678360140777,6878676015775.0,888144095.0,4.5561087244,0.559668939,1.1190405139,1.0236957701,465.44924672386634,13838.5382160313,VCI,yearly
LPB,2019,2,14.9931701247,0.12093611052408684,0.39759318344926314,0.3117931404600788,0.1198559178,0.007343451,0.0,15.993170124683955,6773875012565.0,888144095.0,4.7933320405,0.5703244791,1.1606245647,-1193.1611613605,548.8287348237112,13373.0889693074,VCI,yearly
LPB,2019,1,14.6572826545,0.1241666976540486,0.38890307681353564,0.292803662079789,0.0878575931,0.0052244494,0.0,15.657282654503087,7011009485930.0,888144095.0,6.8943645829,0.6034800798,1.3896277119,-2.178060414,461.9385551395238,13080.7963092971,VCI,yearly
LPB,2018,4,16.1646295246,0.1433422684996567,0.3414773582983676,0.09348887865421147,0.098033665,0.005671333,0.0,17.164629524555302,7818332468285.0,888144095.0,6.8776749676,0.7664361576,1.6022995378,-0.6334631253,150.38888481266093,11485.6272280907,VCI,yearly
LPB,2018,3,15.6209155858,0.14600710715110518,0.3370061702575729,0.22118229480125803,0.1060535204,0.0060926364,0.0,16.620915585818477,8376957401717.0,987499399.0,6.3944121077,0.8320936695,1.7371578654,-1.7261654893,283.58700803624487,10194.7656982827,VCI,yearly
LPB,2018,2,0.0,0.15315507251252855,0.32634802049662465,0.08046628277496154,0.0,0.0,0.0,18.036144764926142,7108494578584.0,749999428.0,5.7554895099,0.7291559385,1.4904916642,0.7657805347,120.80809213630494,12998.5912469256,VCI,yearly
LPB,2018,1,16.5803859734,0.14769877990332286,0.323315062879398,0.3491932157674092,0.155510569,0.0092051081,0.0,17.580385973438688,7991243905340.0,749999428.0,5.1517399635,0.8273936721,1.5697108106,0.6742814064,556.5217577739272,12877.7876355634,VCI,yearly
LPB,2017,4,16.4175791607,0.15498859777701945,0.3141068598777464,0.18297784902404865,0.1544538478,0.0089622729,0.0,17.41757916067106,10570491938232.0,749999428.0,6.655081625,0.970315854,2.0714635254,3.8014898284,322.95224630491316,14525.1671826625,VCI,yearly
LPB,2017,3,15.1961222372,0.146872939239763,0.305998686900042,0.3078960353147459,0.172363762,0.0104486956,0.0762291958,16.196122237241173,11298127852000.0,717706000.0,7.3020677405,1.1124913084,2.1995381474,-7.8384920489,584.2657021120069,14150.2229102167,VCI,yearly
LPB,2017,2,15.3017994632,0.14616912367663595,0.29196144548919567,0.27770077265277454,0.1677473293,0.0100887447,0.0926640927,16.30179946322465,8365700000000.0,646000000.0,5.9747019505,0.9591809498,1.7195605693,-1.3676334009,550.8018575851394,13501.1021671827,VCI,yearly
LPB,2017,1,15.4983135696,0.14615543226397176,0.2800503842606629,0.27837620100247246,0.1486079025,0.008877751,0.0,16.49831356955831,0.0,646000000.0,0.0,0.0,0.0,0.0,542.9133126934985,12950.3018575851,VCI,yearly
LPB,2016,4,16.0267898561,0.15064598227171883,0.2789118911802806,0.3486026155629063,0.1334118735,0.0085209441,0.0,17.026789856076988,0.0,646000000.0,0.0,0.0,0.0,0.0,562.5,12897.6547987616,VCI,yearly
LPB,2016,3,0.0,0.14714308536264437,0.26674779057525233,0.2756302352694737,0.0,0.0,0.0,16.700758071553913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VCI,yearly
LPB,2016,2,0.0,0.15453930605461627,0.25569188795393644,0.1620206830932091,0.0,0.0,0.0,16.730124146432725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VCI,yearly
LPB,2016,1,0.0,0.1526758018451225,0.25047617699044894,0.2596859875154596,0.0,0.0,0.0,15.10515420792443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VCI,yearly
LPB,2015,4,0.0,0.1542620768052712,0.25442926866531956,0.07911628949137352,0.0,0.0,0.0,14.155266218627146,0.0,646000000.0,0.0,0.0,0.0,0.0,68.32352941176471,11765.5108359133,VCI,yearly
LPB,2015,3,0.0,0.15179259706661244,0.2529517717794379,0.17163324146523729,0.0,0.0,0.0,14.111089789916683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VCI,yearly
LPB,2015,2,0.0,0.15718295228272788,0.24761802710229475,0.04922888394194957,0.0,0.0,0.0,13.777547911335994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VCI,yearly
LPB,2015,1,0.0,0.14917585331674896,0.24638616095440066,0.1826563252705782,0.0,0.0,0.0,14.019699112868215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VCI,yearly
LPB,2014,4,0.0,0.14625947947916257,0.24741878244441662,0.25013580398118196,0.0,0.0,0.0,13.638266687610784,0.0,646000000.0,0.0,0.0,0.0,0.0,268.72755417956654,11441.326625387,VCI,yearly
LPB,2014,3,9.9463939955,0.13915743261734395,0.2416075559147226,-0.07072315732630403,0.0771058956,0.0077431114,0.0,12.357616995784127,0.0,646000000.0,0.0,0.0,0.0,0.0,-47.845201238390096,11172.5994893003,VCI,yearly
LPB,2014,2,9.9463939955,0.12698140317846254,0.2493089956251537,0.24348760115558513,0.0771058956,0.0077431114,0.0,11.11872031159723,0.0,646000000.0,0.0,0.0,0.0,0.0,260.0699636640867,11528.7352941176,VCI,yearly
LPB,2013,4,9.946394518,0.11138320891900293,0.24340767587594087,0.16792644411502194,0.0772421281,0.007756792,0.0,10.946394518085318,0.0,646000000.0,0.0,0.0,0.0,0.0,213.8505699102167,11255.8419991765,VCI,yearly
LPB,2013,2,7.9856148056,0.10678399534490918,0.23958056197849545,0.09008885128745611,0.1241558546,0.0141688321,0.0,10.927254674990145,0.0,646000000.0,0.0,0.0,0.0,0.0,64.11658101547988,11441.1795665635,VCI,yearly
