ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Investments in associate companies,Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Leased assets,Intagible fixed assets,Investment in properties,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Difference upon Assets Revaluation,Undistributed earnings (Bn. VND),Minority Interest,Paid-in capital (Bn. VND),Other Reserves,MINORITY INTERESTS,data_source,period_type
SHB,2022,4,551351129000000,1897546000000,15144721000000,63391451000000,1547000000,3881000000,-2334000000,269772000000,378351539000000,385633214000000,-7281675000000,32941551000000,12988616000000,20063662000000,-110727000000,46699000000,0,158272000000,-111573000000,4960222000000,502854000000,5826000000,4451542000000,0,54346081000000,551351129000000,508595013000000,9715193000000,78513434000000,361841278000000,0,1615605000000,36440208000000,20469295000000,42756116000000,32118175000000,2910898000000,-606379000000,0,8333422000000,0,30673832000000,0,0,VCI,yearly
SHB,2022,3,528560025000000,1967777000000,7120224000000,50201289000000,2051000000,3881000000,-1830000000,0,369601443000000,376104147000000,-6502704000000,38310852000000,22304391000000,16143588000000,-137127000000,126699000000,0,158272000000,-31573000000,4942895000000,490120000000,6626000000,4446149000000,0,56286795000000,528560025000000,486265786000000,1434359000000,84955743000000,340717466000000,248643000000,1687227000000,40652128000000,16570220000000,42294239000000,28118041000000,2902723000000,-627315000000,0,11900790000000,0,26673698000000,0,0,VCI,yearly
SHB,2022,2,522180698000000,2075903000000,11185878000000,50958648000000,2051000000,3881000000,-1830000000,0,366940494000000,372674903000000,-5734409000000,37196302000000,21139483000000,16189858000000,-133039000000,126699000000,0,158391000000,-31692000000,4943063000000,500715000000,0,4442348000000,0,48751660000000,522180698000000,482256843000000,1456927000000,85184076000000,339761442000000,67287000000,1773385000000,40194299000000,13819427000000,39923855000000,28118041000000,2904691000000,-520161000000,0,9421284000000,0,26673698000000,0,0,VCI,yearly
SHB,2022,1,515553313000000,1675459000000,6992969000000,60432537000000,3245000000,3881000000,-636000000,260257000000,366564923000000,371787343000000,-5222420000000,36060572000000,20216289000000,15885838000000,-41555000000,126795000000,0,158391000000,-31596000000,4981820000000,526254000000,10006000000,4445560000000,0,38454736000000,515553313000000,477734525000000,1484502000000,75909225000000,333638681000000,0,4905775000000,49571638000000,12224704000000,37818788000000,28118041000000,2912309000000,-340224000000,0,7128662000000,0,26673698000000,0,0,VCI,yearly
SHB,2021,4,506556379000000,1878292000000,14350905000000,64132885000000,3245000000,3881000000,-636000000,252448000000,357456180000000,362416125000000,-4959945000000,25093613000000,9981614000000,15168828000000,-56829000000,131652000000,0,164391000000,-32739000000,4989872000000,536012000000,11076000000,4442784000000,0,38267287000000,506556379000000,470880249000000,1510983000000,79623409000000,327318099000000,0,4952170000000,46292114000000,11183474000000,35676130000000,28118041000000,2900877000000,0,0,4657212000000,0,26673698000000,0,0,VCI,yearly
SHB,2021,3,464595281000000,1905082000000,8575463000000,48801267000000,1862000000,3889000000,-2027000000,402547000000,335232407000000,339406294000000,-4173887000000,26019959000000,11187477000000,15315895000000,-483413000000,131634000000,0,164391000000,-32757000000,4882869000000,530998000000,13180000000,4338691000000,0,38642191000000,464595281000000,435915309000000,677941000000,56703630000000,324242541000000,0,4006223000000,41170992000000,9113982000000,28679972000000,19356944000000,2205650000000,2014000000,0,7115364000000,0,19260488000000,0,0,VCI,yearly
SHB,2021,2,458877474000000,1698118000000,7312381000000,44919968000000,1861000000,3889000000,-2028000000,171445000000,327852352000000,331490641000000,-3638289000000,26724811000000,10500203000000,17039109000000,-814501000000,131640000000,0,164391000000,-32751000000,4874212000000,536925000000,0,4337287000000,0,45190686000000,458877474000000,432316826000000,557884000000,71105685000000,310864930000000,0,4090743000000,36603742000000,9093842000000,26560648000000,19356944000000,2201494000000,-121776000000,0,5123986000000,0,19260488000000,0,0,VCI,yearly
SHB,2021,1,418407609000000,1815644000000,5043573000000,31010315000000,3639164000000,3642093000000,-2929000000,62325000000,307233534000000,310690643000000,-3457109000000,38889998000000,23765951000000,16002264000000,-878217000000,133140000000,0,165891000000,-32751000000,4890368000000,535326000000,15417000000,4339625000000,0,25689548000000,418407609000000,392795260000000,586822000000,47839009000000,300654398000000,0,3693461000000,31217867000000,8803703000000,25612349000000,17606547000000,2195273000000,0,0,5810529000000,0,17510091000000,0,0,VCI,yearly
SHB,2020,4,412918017000000,1619926000000,14804998000000,31252851000000,960000000,3889000000,-2929000000,133872000000,302009527000000,305637310000000,-3627783000000,28629970000000,16386007000000,13132592000000,-888629000000,133140000000,0,165891000000,-32751000000,4882380000000,532985000000,16319000000,4333076000000,0,29450393000000,412918017000000,388524874000000,609712000000,38468091000000,303631883000000,0,3969118000000,31034079000000,10811991000000,24393143000000,17654787000000,1822231000000,0,0,4916125000000,0,17558331000000,0,0,VCI,yearly
SHB,2020,3,401926236000000,1640371000000,9315075000000,27335300000000,437000000,3889000000,-3452000000,160780000000,288117727000000,292207015000000,-4089288000000,35810172000000,21385273000000,14940918000000,-516019000000,133140000000,0,165891000000,-32751000000,4875964000000,529761000000,17240000000,4328963000000,0,34537270000000,401926236000000,378050146000000,641821000000,34947896000000,296517196000000,0,3154960000000,32522232000000,10266041000000,23876090000000,17654787000000,1822631000000,5873000000,0,4392799000000,0,17558331000000,0,0,VCI,yearly
