ticker,yearReport,lengthReport,Profits from other activities,Operating profit before changes in working capital,Net Cash Flows from Operating Activities before BIT,Payment from reserves,Purchase of fixed assets,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,Net cash inflows/outflows from operating activities,Proceeds from disposal of fixed assets,Investment in other entities,Proceeds from divestment in other entities,Dividends paid,data_source,period_type
SHB,2022,4,2155000000,1419685000000,20091979000000,0,-41421000000,2143000000,-39301000000,0,-11000000,20052667000000,50016873000000,0,70069540000000,20091979000000,-23000000,0,0,-11000000,VCI,quarterly
SHB,2022,3,100918000000,2356502000000,-2401668000000,0,-14001000000,0,-13336000000,0,0,-2415004000000,52431877000000,0,50016873000000,-2401668000000,546000000,0,119000000,0,VCI,quarterly
SHB,2022,2,-29582000000,2101567000000,-11269722000000,0,-5452000000,-8147000000,1062000000,0,-32000000,-11268692000000,63700569000000,0,52431877000000,-11269722000000,14628000000,0,0,-32000000,VCI,quarterly
SHB,2022,1,51734000000,948482000000,-8114335000000,0,-10381000000,10230000000,5816000000,0,-79000000,-8108598000000,71809167000000,0,63700569000000,-8114335000000,0,0,6000000000,-79000000,VCI,quarterly
SHB,2021,4,380362000000,11154530000000,6733423000000,0,-154840000000,17259000000,-137134000000,8761096000000,8760878000000,15357167000000,56781256000000,0,72138423000000,6733423000000,0,0,0,-218000000,VCI,quarterly
SHB,2021,3,-10114000000,1648706000000,6039465000000,0,-15137000000,0,-14304000000,0,-37000000,6025124000000,50756132000000,0,56781256000000,6039465000000,9874000000,0,0,-37000000,VCI,quarterly
SHB,2021,2,-159638000000,2006420000000,12933249000000,0,-22527000000,0,-31018000000,0,-483000000,12901748000000,37854384000000,0,50756132000000,12933249000000,-9991000000,0,1500000000,-483000000,VCI,quarterly
SHB,2021,1,24792000000,-1829805000000,-9700398000000,0,-27229000000,2083000000,-25029000000,0,-195000000,-9725622000000,47580006000000,0,37854384000000,-9700398000000,117000000,0,0,-195000000,VCI,quarterly
SHB,2020,4,143811000000,8497607000000,9412020000000,0,-25702000000,0,-25534000000,0,-133000000,9386353000000,38290746000000,0,47677099000000,9412020000000,168000000,0,0,-133000000,VCI,quarterly
SHB,2020,3,27501000000,1469650000000,-10678755000000,0,-33851000000,570000000,-33020000000,0,-86000000,-10711861000000,49002607000000,0,38290746000000,-10678755000000,261000000,0,0,-86000000,VCI,quarterly
SHB,2020,2,-11198000000,-593435000000,14697968000000,0,90330000000,833000000,91338000000,3007800000000,3007620000000,17796926000000,31205681000000,0,49002607000000,14697968000000,175000000,0,0,-180000000,VCI,quarterly
SHB,2020,1,2998000000,-572699000000,-19471578000000,0,-146678000000,1667000000,-145079000000,0,-46000000,-19616703000000,50822384000000,0,31205681000000,-19471578000000,-68000000,0,0,-46000000,VCI,quarterly
SHB,2019,4,40870000000,4029064000000,11505430000000,0,-40423000000,416000000,-39714000000,0,-337000000,11465379000000,34035468000000,0,45500847000000,11505430000000,532000000,0,0,-337000000,VCI,quarterly
SHB,2019,3,112880000000,2558727000000,2596441000000,0,-44886000000,668000000,-43786000000,0,-14000000,2552641000000,31482827000000,0,34035468000000,2596441000000,738000000,0,0,-14000000,VCI,quarterly
SHB,2019,2,-4960000000,1836127000000,552210000000,0,-17001000000,0,-15838000000,0,-70000000,536302000000,30946525000000,0,31482827000000,552210000000,1281000000,0,0,-70000000,VCI,quarterly
SHB,2019,1,15746000000,591523000000,-3984777000000,0,-44368000000,1250000000,-35114000000,0,-15000000,-4019906000000,34966431000000,0,30946525000000,-3984777000000,4000000,0,8000000000,-15000000,VCI,quarterly
SHB,2018,4,125037000000,1495142000000,1221081000000,0,0,0,22250000000,0,-69000000,1243262000000,34615597000000,0,35858859000000,1221081000000,3821000000,-4501000000,25501000000,-69000000,VCI,quarterly
SHB,2018,3,109772000000,576042000000,-7705064000000,0,-19467000000,1150000000,-13540000000,0,-52000000,-7718656000000,42334253000000,0,34615597000000,-7705064000000,276000000,4686000000,0,-52000000,VCI,quarterly
SHB,2018,2,-40577000000,-231251000000,13228676000000,0,-19994000000,1052000000,-27983000000,-839270000000,-839471000000,12361222000000,29973031000000,0,42334253000000,13228676000000,7000000,-185000000,-9048000000,-201000000,VCI,quarterly
SHB,2018,1,47857000000,847884000000,-3857863000000,0,-66114000000,0,-56837000000,839270000000,839014000000,-3075686000000,33048717000000,0,29973031000000,-3857863000000,414000000,0,9048000000,-256000000,VCI,quarterly
SHB,2017,4,52824000000,3092588000000,5184466000000,0,0,1220000000,14979000000,0,-538000000,5198907000000,27854688000000,0,33053595000000,5184466000000,7200000000,15000000000,0,-538000000,VCI,quarterly
SHB,2017,3,-138605000000,1421041000000,2801203000000,0,-21737000000,900000000,159398000000,0,-84000000,2960517000000,24894171000000,0,27854688000000,2801203000000,180292000000,-12857000000,0,-84000000,VCI,quarterly
SHB,2017,2,281117000000,259963000000,-11445849000000,0,10263000000,696000000,11208000000,0,-246000000,-11434887000000,36329058000000,0,24894171000000,-11445849000000,109000000,0,12857000000,-246000000,VCI,quarterly
SHB,2017,1,-31923000000,470420000000,10019699000000,0,-19791000000,0,-32788000000,0,0,9986911000000,26342147000000,0,36329058000000,10019699000000,0,0,-12857000000,0,VCI,quarterly
SHB,2016,4,30901000000,3116902000000,192296000000,0,-151442000000,0,-71337000000,1710946000000,1710946000000,1831905000000,24244781000000,0,26076686000000,192296000000,75905000000,0,4200000000,0,VCI,quarterly
SHB,2016,3,321816000000,164879000000,-2148778000000,0,-48395000000,476000000,189004000000,0,0,-1959774000000,26204555000000,0,24244781000000,-2148778000000,171673000000,0,65250000000,0,VCI,quarterly
