Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,data_source,period_type
ticker,yearReport,lengthReport,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Dividend yield (%),Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),,
SHB,2022,4,11.8402496793,0.11601198761833278,0.9306542113239081,0.11149559268707344,0.1970754398,0.0,0.0146172222,0.0,12.895257581394905,36342611068500,3066887010,4.7028771806,0.8470588314,1.8790468379,-16.060555168,156.0367233744291,13989.583202806,VCI,quarterly
SHB,2022,3,11.4972109086,0.11686922656298415,0.9206007309010453,0.5373854622612763,0.2097654626,0.0,0.015757631,0.0,12.497210908558964,32815691007000,3066887010,3.946675353,0.7758903289,1.5894235983,-2.1410528062,844.7076764005075,13790.6088036807,VCI,quarterly
SHB,2022,2,12.0794157528,0.12381226712700966,0.8690055894701724,0.49000667715934565,0.1990118069,0.0,0.0140771217,0.0,13.079415752812448,27468798213900,2666873613,3.6045670927,0.6880297059,1.3741745444,-3.8546411048,770.4879563784563,14970.2838579925,VCI,quarterly
SHB,2022,1,12.6322008257,0.13172870584853222,0.8231854904539524,0.6113749204901265,0.1936751621,0.0,0.0128151218,0.0,13.632200825684842,38936354749800,2666873613,5.4759384066,1.0295505702,1.9159617483,1.9402630452,968.0552491933933,14180.9449895367,VCI,quarterly
SHB,2021,4,13.2578268708,0.1398658430721045,0.7765471641118951,0.1966265951606278,0.168116125,0.0,0.0108936116,0.0,14.198747986398748,43203352530600,2666873613,7.1277354637,1.2159112873,2.3799542605,2.0174683401,351.9870590882778,13323.3404188322,VCI,quarterly
SHB,2021,3,15.1992933954,0.17025361809976663,0.6242647653601597,0.37690494790944307,0.178072176,0.0,0.0106800896,0.0,16.19929339540499,54937596427800,2666873613,9.8259291035,1.5510592132,3.2638242089,2.4639851666,560.4510062697149,13281.2466636378,VCI,quarterly
SHB,2021,2,16.2765924339,0.18351254080849233,0.5781343402822637,0.2610601367040376,0.1572261404,0.0,0.0093327051,0.0,17.27659182110316,57766579530000,1925552651,14.6719350052,2.1748935382,3.767307327,29.4618057073,632.6396732737276,13793.7786256877,VCI,quarterly
SHB,2021,1,15.336167335510254,0.19093789484127363,0.5574931188498901,0.5975674899779815,0.14240212738513947,0.0,0.00847678817808628,0.0,16.336166940408315,45635597828700,1925552651,13.2809315738,1.7817810396,3.5269459335,12.2558660069,690.760130245849,13301.297675085,VCI,quarterly
SHB,2020,4,16.1690720504,0.20015378912016382,0.5309551798478681,0.19393246175525536,0.1225570069,0.0,0.0067023997,0.0,16.927626628516055,48489207551600,1750512908,18.6048058352,2.017339147,3.9721123137,-7.9891643991,366.99129555918705,13730.9584466086,VCI,quarterly
SHB,2020,3,15.8338382038,0.20421953510813537,0.519700706875448,0.2992985619116233,0.1293080259,0.0,0.0071611973,0.0,16.833838203826506,23697048690000,1755336940,7.9313739262,0.9925012299,2.1566349438,-5.4968360837,431.448220989413,13601.9982579527,VCI,quarterly
