ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),Budget sources and other funds,MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),data_source,period_type
SAB,2022,4,26860224573663,4069464160642,19411469500000,897692694315,2193521139336,288077079370,7604851042093,0,4454982147731,153128987010,2214115381757,611356317724,34465075615756,9874229696363,9213862412096,660367284267,24590845919393,24590845919393,3208666226,15564895669872,0,1450551977121,34465075615756,68059544421,2272494533814,0,1122241373127,6412811860000,6412811860000,374432513250,36931211976,658625815321,0,383451267863,434314271916,46171128871,37720028871,VCI,quarterly
SAB,2022,3,26420333683541,2843366169149,20620333884932,759503134565,1981225837426,215904657469,7528850991654,4000000000,4577862532619,39861596463,2177865213871,545212142225,33949184675195,8103460178577,7447626806666,655833371911,25845724496618,25845724496618,3208666226,16802628601351,0,1472337809148,33949184675195,44451156457,2057369367647,0,1122241373127,6412811860000,6412811860000,374703037174,547748286715,436448827223,0,376731661294,434314271916,44900899331,15580919426,VCI,quarterly
SAB,2022,2,23788902258787,2739622464898,18209682884932,698206826487,1910958267377,230431815093,7551859304104,4000000000,4697436597540,40331147256,2100520115386,554519429444,31340761562891,6873168854191,6241892551035,631276303156,24467592708700,24467592708700,3208666226,15435423920390,0,1467209445790,31340761562891,47920298376,1989474218450,0,1122241373127,6412811860000,6412811860000,342570277523,82181647385,501792196877,0,380325952480,434314271916,42234560291,12914580386,VCI,quarterly
SAB,2022,1,22424394009889,3249582254803,16380342884932,685098321685,1961014874510,148355673959,7462739248913,4000000000,4306361061890,40800698049,2052178967052,474151925225,29887133258802,7064801914122,6384329756107,680472158015,22822331344680,22822331344680,3208666226,13836218972646,0,1421307800904,29887133258802,61668160023,2041792462761,0,1122241373127,6412811860000,6412811860000,389597476842,306866538827,396382283875,0,273773870396,434314271916,42188530291,12868550386,VCI,quarterly
SAB,2021,4,22877033322264,3606454403209,16991239000000,467956130071,1668001734209,143382054775,7609991050161,4000000000,4401799818086,41270248842,2125162874416,477646364587,30487024372425,7892238669264,7258020535153,634218134111,22594785703161,22594785703161,3208666226,13655871142263,0,1373313368684,30487024372425,29859261503,1755711816417,0,1122241373127,6412811860000,6412811860000,341226010423,63252571190,321746371972,0,263131483984,434314271916,41960830291,12640850386,VCI,quarterly
SAB,2021,3,20870073057046,3293465550027,15359384000000,689403181791,1376294447557,151525877671,7557811392172,4000000000,4517272201429,63464937249,2059890037810,423254010239,28427884449218,5860662708348,5025238662869,835424045479,22567221740870,22567221740870,3208666226,13661183387832,0,1340212422055,28427884449218,49386402889,1477909518551,0,1122241373127,6412811860000,6412811860000,374607501927,71658709588,385154514117,0,259640520341,449306380116,42705030291,13385050386,VCI,quarterly
SAB,2021,2,20949993263440,3150402298104,15290579000000,645779821564,1643625345322,219606798450,7610641121460,4000000000,4644102343326,64034541063,2055599187932,466034097649,28560634384900,6399615138821,5473586408794,926028730027,22161019246079,22161019246079,3208666226,13254828722458,0,1340152433723,28560634384900,79336601196,1721168276692,0,1122241373127,6412811860000,6412811860000,455388676823,72798033421,362722944809,0,283748803693,449306380116,42659030291,13339050386,VCI,quarterly
SAB,2021,1,19224902005825,2780498994394,13570529000000,595353569509,2046533551293,231986890629,7764257717816,4000000000,4739652434736,64604144877,2186872947065,506807949479,26989159723641,5808139972715,4846369155607,961770817108,21181019750926,21181019750926,3208666226,12283306584806,0,1330440189574,26989159723641,121140700261,2123424732828,0,1122241373127,6412811860000,6412811860000,478042585268,66543685676,403563328939,0,298301440939,449306380116,42488030291,13168050386,VCI,quarterly
SAB,2020,4,19513381452440,2726137088387,14547419432877,590846416109,1446832994933,202145520134,7861591322918,4000000000,4874503649521,65173748670,2351285997476,530530707659,27374972775358,6159696384430,5173043219872,986653164558,21215276390928,21215276390928,3208666226,12374498805733,0,1275045554465,27374972775358,164204071490,1525038920678,0,1122846170630,6412811860000,6412811860000,526263958457,64714811339,448791959859,0,330639468712,665885700116,41278370471,11958390566,VCI,quarterly
SAB,2020,3,19987611807533,3173374778621,14320669432877,683492320624,1703797088251,106278187160,7698848831300,4000000000,4826210959544,65840310748,2276130775566,503911233248,27686460638833,6640936323872,5837027977099,803908346773,21045524314961,21045524314961,3208666226,12238105368821,0,1240441599623,27686460638833,178668609412,1852495391720,0,1122834056347,6412811860000,6412811860000,409992120000,316491727743,566354775300,0,284812118627,665885700116,35292461371,5907050566,VCI,quarterly
