ticker,yearReport,lengthReport,Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Interest Expenses,Sales,Sales deductions,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Gain/(loss) from joint ventures,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Net income from associated companies,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company,data_source,period_type
SAB,2019,1,0.1930385749121883,9337984767378,1220719093709,0.09626071777344836,172258343686,-7860067347,9337984767378,-1208760447,9336776006931,-7145543584727,2191232422204,3773973299,75686042224,-691688565982,-166142369393,1585119846038,7402638487,0,-8451904331,-1049265844,1584070580194,-348382972646,54245603731,1289933211279,69214117570,1220719093709,VCI,yearly
SAB,2018,4,-0.016625031618822124,10405394201218,863114997960,-0.26316913845504936,173865200456,-7912058821,10405394201218,632957140,10406027158358,-8221930686119,2184096472239,-36858948263,87073719996,-934070403000,-350337425936,1123768615492,19829019290,0,-11002153751,8826865539,1132595481031,-266164447857,52350944875,918781978049,55666980089,863114997960,VCI,yearly
SAB,2018,3,0.056470309150390995,8563388540570,974874396940,-0.11230363506209422,173942627626,-8997534676,8563388540570,-672367396,8562716173174,-6703128018595,1859588154579,-22523224988,107487615111,-663930244122,-182732215708,1271832712498,21987509794,0,-18036268209,3951241585,1275783954083,-249664944034,8638244000,1034757254049,59882857109,974874396940,VCI,yearly
SAB,2018,2,0.11691475752843875,9238772645055,1223472439101,-0.06967788039370477,144806678085,-8237820920,9238772645055,-68865701582,9169906943473,-7073446579438,2096460364035,25310265657,70655044440,-576565408967,-204043334644,1556623608606,22952779072,0,-9681567640,13271211432,1569894820038,-269371738761,-9486791857,1291036289420,67563850319,1223472439101,VCI,yearly
SAB,2018,1,0.04646658563731081,7827060217282,1113529905722,-0.01175985274781716,137735877257,-10097393936,7827060217282,-17157930340,7809902286942,-5865908105398,1943994181544,-5373050591,89748644393,-593817038296,-176764136578,1395524477729,16968545414,0,-3709799626,13258745788,1408783223517,-211585044961,-41464249306,1155733929250,42204023528,1113529905722,VCI,yearly
SAB,2017,4,0.19643113474460067,10581308794495,1171388228976,0.2632985751481454,154126408491,-9091446772,10581308794495,-85511828476,10495796966019,-8039571462683,2456225503336,38434457052,137749506378,-869800186180,-388993631711,1527742057366,48693275458,0,-23827066191,24866209267,1552608266633,-357179081988,34690298064,1230119482709,58731253733,1171388228976,VCI,yearly
SAB,2017,3,0.14527171309727419,8105659445798,1098207039530,-0.10602471071457419,134375469804,-10612968434,8105659445798,-50547338028,8055112107770,-5929708007307,2125404100463,-11520583789,82972789276,-711469159954,-195255225997,1424507389803,14044904887,0,-27299895184,-13254990297,1411252399506,-266133871475,6600185719,1151718713750,53511674220,1098207039530,VCI,yearly
SAB,2017,2,0.08670316253014305,8271690012852,1315106255475,-0.04027743642892379,72257965702,-12649087025,8271690012852,-93933348291,8177756664561,-6009723068863,2168033595698,10759687158,162303719470,-549408412512,-189115285530,1674831269986,25481248227,0,-35521336010,-10040087783,1664791182203,-285125133648,-870613672,1378795434883,63689179408,1315106255475,VCI,yearly
SAB,2017,1,0.04858037604246382,7479512795447,1126780680605,0.18743036232364202,145347786557,-11103567434,7479512795447,-14787979558,7464724815889,-5348869950808,2115854865081,-11867885743,28847919267,-680437115854,-162610654298,1435134915010,17920034645,0,-4618142862,13301891783,1448436806793,-232102371834,-28371814432,1187962620527,61181939922,1126780680605,VCI,yearly
SAB,2016,4,1.7780223321792945,8844060044253,927245745400,0.8020393943925794,172208247504,-19476239321,8844060044253,-10553691946,8833506352307,-6575385836236,2258120516071,-31051130379,118743266153,-1122079154668,-290164049331,1105777695350,130900292863,0,-40308112320,90592180543,1196369875893,578217882406,-777814905344,996772852955,69527107555,927245745400,VCI,yearly
SAB,2016,3,-0.2696310600887522,7077499036344,1228453462520,0.17465853398604042,381868081563,-62461694903,7077499036344,-4443768129,7073055268215,-5119230107585,1953825160630,-15844864450,1684845834,-663862270917,-170736243946,1486934708714,79222753994,0,-40184310532,39038443462,1525973152176,-259256985999,6240265566,1272956431743,44502969223,1228453462520,VCI,yearly
SAB,2016,2,-0.10948616036411793,7611729033339,1370298360582,0.5303038661531126,177692300116,-30789908633,7611729033339,-6624751558,7605104281781,-5451072376255,2154031905526,-16652829870,126608339776,-486749179374,-168470024930,1786460511244,3057719389,0,-30865684792,-27807965403,1758652545841,-338819219822,-17914157014,1401919169005,31620808423,1370298360582,VCI,yearly
SAB,2016,1,0.2417651516411119,7132989484007,948923588580,-0.005846521140293966,98898610242,-16149227628,7132989484007,-2318995718,7130670488289,-5227120166455,1903550321834,-21088923254,6359376741,-619465779904,-148417613456,1219835992203,22224199040,0,-16525324786,5698874254,1225534866457,-240399999106,-1653508220,983481359131,34557770551,948923588580,VCI,yearly
SAB,2015,4,-0.6104874790234843,3183581334753,514553537667,0.5537254060468954,116365127308,-18053845235,3183581334753,-9256980450,3174324354303,-1343748393012,1830575961291,-61147043774,140637377828,-1021110701004,-298933885310,706386836339,74060645475,0,-36055346476,38005298999,744392135338,-245759158251,162759145812,661392122899,146838585232,514553537667,VCI,yearly
SAB,2015,3,0.28642633321426664,9690306706093,1045796226714,0.0690778973724722,109243858502,-17904747471,9690306706093,-5862623105,9684444082988,-7707884504472,1976559578516,-25823056081,121532531362,-528926038232,-281640127534,1370946746533,-24741533815,0,-19492205200,-44233739015,1326713007518,-314889139031,51548684653,1063372553140,17576326426,1045796226714,VCI,yearly
SAB,2015,2,0.006910011599265769,8547569610430,895442003964,0.1261779719961689,98045314226,-19542399686,8547569610430,-4614360328,8542955250102,-6517771546978,2025183703124,-12595197780,86373084858,-682231756722,-401318580439,1113456567267,62894897498,0,-29859341810,33035555688,1146492122955,-227975143211,-23643686310,894873293434,-568710530,895442003964,VCI,yearly
SAB,2015,1,-0.028875808716431504,5744233903311,954504117079,0.14248345260082584,94992783393,-21090499909,5744233903311,-1656003360,5742577899951,-4017153520703,1725424379248,-22229836671,23410581953,-450613304293,-128530335713,1242454267917,20436015915,0,-10477995719,9958020196,1252412288113,-297259082939,25305051532,980458256706,25954139627,954504117079,VCI,yearly
SAB,2014,4,-0.034241957878483935,8173245180339,331174051518,12.949180586153577,108428677363,-22631394493,8173245180339,-1408538728839,6764706451500,-4352387926945,2412318524555,20562177514,0,-1433835107826,-661251526324,446222745282,62226738871,56244059436,-30188292290,32038446581,534505251299,-311804738378,94222493179,316923006100,-14251045418,331174051518,VCI,yearly
SAB,2014,3,0.08726704293172338,7532733477152,978222662057,0.28947077506852126,95969767001,-23781210231,7532733477152,-1228832977915,6303900499237,-4292732981032,2011167518205,-56021423406,0,-880564153103,-139358723388,1031192985309,20809475904,170924978995,-21696756923,-887281019,1201230683285,-165962585082,-7276935369,1027991162834,49768500777,978222662057,VCI,yearly
SAB,2014,2,0.0,8488911136015,795115893074,0.0,79276388019,-28389985600,8488911136015,-1326405229576,7162505906439,-5566660224845,1595845681594,-14855554547,0,-546089131889,-122650074488,991527308689,91758159919,86137983494,-91766065862,-7905943,1077657386240,-269875721062,11064016902,818845682080,23729789006,795115893074,VCI,yearly
SAB,2014,1,0.0,5915035332112,835464281698,0.0,83535251137,-32413790071,5915035332112,-1038982917573,4876052414539,-3424304414850,1451747999689,-38742708009,0,-316822831250,-118434073943,1061283637624,22054719256,30514469336,-9688319845,12366399411,1104164506371,-223876611614,5045348975,885333243732,49868962034,835464281698,VCI,yearly
SAB,2013,4,0.0,8463036106212,23741469936,0.0,113450732488,-20770203316,8463036106212,-1201720432129,7261315674083,-5549589678659,1711725995424,-52176423251,0,-906217415750,-663654267101,203128621810,120473640613,61254045087,-86383682055,34089958558,298472625455,-470617565692,134269874531,-37875065706,-61616535642,23741469936,VCI,yearly
SAB,2013,3,0.0,6928135572693,758623367796,0.0,89404048286,-30102274849,6928135572693,-1041251254112,5886884318581,-4438275760657,1448608557924,-36705476179,0,-466952926020,-105212688546,929141515465,33305675438,45455203184,-32205143633,1100531805,975697250454,-222371514432,21810618190,775136354212,16512986416,758623367796,VCI,yearly
