ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Investments in associate companies,Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Intagible fixed assets,Investment in properties,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Undistributed earnings (Bn. VND),Paid-in capital (Bn. VND),Other Reserves,data_source,period_type
SSB,2022,4,231423056000000,1037807000000,9826851000000,45068410000000,3987085000000,3987085000000,0,0,151522983000000,153955992000000,-2433009000000,8646945000000,7951304000000,715458000000,-19817000000,61313000000,0,62432000000,-1119000000,1085692000000,427189000000,658503000000,58047000000,10127923000000,231423056000000,205190836000000,3838696000000,59719627000000,115547271000000,14963000000,1020000000,21504600000000,4564659000000,26232220000000,21607167000000,1155967000000,0,3469086000000,20402983000000,0,VCI,yearly
SSB,2022,3,229145802000000,921542000000,3979776000000,52727409000000,8444448000000,8444550000000,-102000000,150074000000,147737276000000,149975841000000,-2238565000000,5196342000000,4517666000000,717958000000,-39282000000,61313000000,0,62432000000,-1119000000,947728000000,312898000000,634830000000,58314000000,8921580000000,229145802000000,204525707000000,2148330000000,60673439000000,113345223000000,0,1020000000,22737100000000,5620595000000,24620095000000,20716167000000,568643000000,116286000000,3218999000000,19808983000000,0,VCI,yearly
SSB,2022,2,229723225000000,1033269000000,3832672000000,52343826000000,13407656000000,13407758000000,-102000000,176824000000,144534510000000,146783660000000,-2249150000000,5843907000000,5153325000000,704860000000,-14278000000,85415000000,0,86534000000,-1119000000,935256000000,308763000000,626493000000,58607000000,7471283000000,229723225000000,206166425000000,2155809000000,63121369000000,116729330000000,0,1020000000,19821600000000,4337297000000,23556800000000,20716168000000,568642000000,17744000000,2254246000000,19808983000000,0,VCI,yearly
SSB,2022,1,231222030000000,1034117000000,621486000000,49720200000000,18551877000000,18554423000000,-2546000000,0,143777342000000,145836833000000,-2059491000000,9150847000000,8472236000000,686222000000,-7611000000,85091000000,0,86534000000,-1443000000,898248000000,301945000000,596303000000,65137000000,7317685000000,231222030000000,208631198000000,2193018000000,77451665000000,106116923000000,310021000000,1020000000,18809440000000,3749111000000,22590832000000,18315181000000,855641000000,159034000000,3260976000000,16598000000000,0,VCI,yearly
SSB,2021,4,211663515000000,1076028000000,4799360000000,42590477000000,13082630000000,13094009000000,-11379000000,0,125806541000000,127588159000000,-1781618000000,16819782000000,16199886000000,663222000000,-43326000000,85091000000,0,86534000000,-1443000000,882503000000,286268000000,596235000000,65565000000,6455538000000,211663515000000,193000251000000,2172763000000,58365998000000,109784637000000,47804000000,1020000000,19053200000000,3574829000000,18663264000000,15595507000000,855641000000,0,2212116000000,14784884000000,0,VCI,yearly
SSB,2021,3,197629226000000,926271000000,2067946000000,31940581000000,13883689000000,13932920000000,-49231000000,272470000000,111191081000000,112580576000000,-1389495000000,27334533000000,26700707000000,677202000000,-43376000000,86406000000,0,116603000000,-30197000000,857557000000,267745000000,589812000000,65858000000,9002834000000,197629226000000,181594682000000,1278189000000,57778322000000,110440626000000,0,1020000000,8329220000000,3767305000000,16034544000000,13555507000000,456110000000,2681000000,2020246000000,13424884000000,0,VCI,yearly
SSB,2021,2,186934447000000,1095064000000,2844601000000,33098224000000,9149156000000,9204391000000,-55235000000,0,110166955000000,111578130000000,-1411175000000,22242526000000,21936705000000,369364000000,-63543000000,96812000000,0,127009000000,-30197000000,867201000000,276285000000,590916000000,65530000000,7308378000000,186934447000000,172055265000000,190419000000,52062705000000,107983872000000,27721000000,1020000000,8180010000000,3609518000000,14879182000000,12087442000000,456110000000,-10393000000,2346023000000,12087442000000,0,VCI,yearly
SSB,2021,1,184320897000000,1074508000000,1275847000000,30883398000000,6389797000000,6400320000000,-10523000000,63257000000,109786286000000,111050028000000,-1263742000000,25679340000000,25400173000000,319364000000,-40197000000,102912000000,0,131666000000,-28754000000,853235000000,278220000000,575015000000,241207000000,7971110000000,184320897000000,170095457000000,198527000000,44399230000000,115198284000000,0,1020000000,6619020000000,3679376000000,14225440000000,12087442000000,456110000000,-87000000,1681975000000,12087442000000,0,VCI,yearly
SSB,2020,4,180207288000000,1012228000000,3374359000000,25741179000000,2693849000000,2705920000000,-12071000000,144604000000,107760914000000,108869236000000,-1108322000000,32180304000000,31901137000000,319364000000,-40197000000,102912000000,0,131666000000,-28754000000,862487000000,283496000000,578991000000,240934000000,6093518000000,180207288000000,166536910000000,205702000000,42516673000000,113276597000000,0,1020000000,7064740000000,3472178000000,13670378000000,12087442000000,456110000000,0,1126826000000,12087442000000,0,VCI,yearly
SSB,2020,3,167426241000000,1008343000000,4474865000000,25984580000000,3929864000000,3960983000000,-31119000000,214312000000,96735601000000,97870720000000,-1135119000000,26659562000000,26378511000000,319364000000,-38313000000,104577000000,0,131666000000,-27089000000,783283000000,208957000000,574326000000,241283000000,7289971000000,167426241000000,155627657000000,215202000000,40287921000000,102547411000000,0,1020000000,8915920000000,3660183000000,11798584000000,10680660000000,231990000000,8095000000,877839000000,10680660000000,0,VCI,yearly
SSB,2020,2,161540016000000,1089816000000,2009299000000,25602584000000,3429824000000,3472805000000,-42981000000,231637000000,96998488000000,98003710000000,-1005222000000,23829321000000,23542659000000,319364000000,-32702000000,113547000000,0,140636000000,-27089000000,792435000000,198592000000,593843000000,240673000000,7202392000000,161540016000000,150118222000000,224562000000,36084856000000,100233665000000,0,1020000000,9793510000000,3780609000000,11421794000000,9369000000000,231990000000,2777000000,1818027000000,9369000000000,0,VCI,yearly
SSB,2020,1,148500554000000,973305000000,1552016000000,16691280000000,2105485000000,2153477000000,-47992000000,0,96204913000000,97137168000000,-932255000000,22408868000000,22122808000000,319364000000,-33304000000,120759000000,0,147848000000,-27089000000,761662000000,202459000000,559203000000,241017000000,7441249000000,148500554000000,137235890000000,232860000000,19100379000000,98610547000000,43717000000,1020000000,15298550000000,3948817000000,11264664000000,9369000000000,232205000000,30833000000,1632626000000,9369000000000,0,VCI,yearly
SSB,2019,4,157398288000000,1290009000000,3231833000000,25399935000000,1262704000000,1310696000000,-47992000000,33417000000,97484362000000,98613839000000,-1129477000000,20654282000000,20368222000000,319364000000,-33304000000,120759000000,0,147848000000,-27089000000,770572000000,211740000000,558832000000,241518000000,6908897000000,157398288000000,146472446000000,238592000000,31469651000000,95727318000000,0,1020000000,15679180000000,3356685000000,10925842000000,9369000000000,231990000000,0,1324852000000,9369000000000,0,VCI,yearly
SSB,2019,3,152558612000000,972316000000,2538134000000,17104697000000,3334165000000,3399108000000,-64943000000,179437000000,92460327000000,93318282000000,-857955000000,26969406000000,24889766000000,3164117000000,-1084477000000,129342000000,0,186432000000,-57090000000,774156000000,211642000000,562514000000,241329000000,7824721000000,152558612000000,142184591000000,245958000000,32858680000000,90754304000000,0,1020000000,15190960000000,3133669000000,10374021000000,9369000000000,94795000000,-27637000000,937863000000,9369000000000,0,VCI,yearly
SSB,2019,2,149087108000000,1022240000000,1934391000000,17557298000000,2665725000000,2717523000000,-51798000000,89049000000,87296789000000,88210909000000,-914120000000,30325350000000,27930620000000,3633037000000,-1238307000000,131041000000,0,188735000000,-57694000000,775581000000,211403000000,564178000000,241572000000,7017235000000,149087108000000,140501728000000,254687000000,35156390000000,89780907000000,0,1020000000,12357220000000,2951504000000,8585380000000,7688000000000,194795000000,-21236000000,723821000000,7688000000000,0,VCI,yearly
SSB,2019,1,141297812000000,963459000000,2373768000000,13700931000000,9086671000000,9138628000000,-51957000000,0,84786944000000,85699729000000,-912785000000,21596031000000,18947541000000,3858617000000,-1210127000000,131036000000,0,191423000000,-60387000000,770372000000,218306000000,552066000000,240201000000,7616198000000,141297812000000,132880607000000,264135000000,33683806000000,87264525000000,66226000000,1020000000,8735120000000,2865775000000,8417205000000,7688000000000,194795000000,-34515000000,568925000000,7688000000000,0,VCI,yearly
SSB,2018,4,140487188000000,1020865000000,1704282000000,19139676000000,7221868000000,7305621000000,-83753000000,0,83008343000000,83910159000000,-901816000000,20533761000000,17839505000000,3858617000000,-1164361000000,205729000000,72000000000,191423000000,-57694000000,775511000000,223485000000,552026000000,239893000000,6605059000000,140487188000000,132185683000000,7282152000000,29248786000000,84344557000000,70230000000,1020000000,8105000000000,3133938000000,8301505000000,7688000000000,194795000000,0,418710000000,7688000000000,0,VCI,yearly
SSB,2018,3,126371670000000,809536000000,1783060000000,14790803000000,5481751000000,5549806000000,-68055000000,0,76770291000000,77502821000000,-732530000000,18365967000000,15041807000000,4696000000000,-1371840000000,210388000000,72000000000,192546000000,-54158000000,779042000000,226651000000,552391000000,247492000000,7101139000000,126371670000000,119866167000000,284093000000,16311298000000,91988956000000,116631000000,1020000000,8137460000000,3026709000000,6505503000000,5465826000000,219413000000,-52784000000,873048000000,5465826000000,0,VCI,yearly
SSB,2018,2,129483563000000,803037000000,1554076000000,16755633000000,5746896000000,5746896000000,0,3921000000,75222303000000,75875118000000,-652815000000,21107770000000,17833466000000,4507858000000,-1233554000000,179024000000,72000000000,107024000000,0,783724000000,231932000000,551792000000,247661000000,7047317000000,129483563000000,123194693000000,296372000000,24361949000000,88633966000000,0,0,7228000000000,2674406000000,6288870000000,5465826000000,219413000000,-84429000000,688060000000,5465826000000,0,VCI,yearly
SSB,2018,1,121181368000000,784243000000,2153886000000,10024393000000,5031178000000,5031178000000,0,20719000000,72413370000000,73047744000000,-634374000000,22888651000000,19321852000000,4701520000000,-1134721000000,179024000000,72000000000,107024000000,0,373301000000,225135000000,148166000000,260750000000,7010021000000,121181368000000,114911750000000,305788000000,25712783000000,82931355000000,0,0,3728000000000,2233824000000,6269618000000,5465881000000,219358000000,-16916000000,601295000000,5465826000000,23000000,VCI,yearly
SSB,2017,4,125008960000000,735333000000,3409370000000,17229949000000,4460342000000,4460342000000,0,10911000000,69921052000000,70525510000000,-604458000000,22060211000000,18248264000000,4876430000000,-1064483000000,179024000000,72000000000,107024000000,0,374686000000,230084000000,144602000000,260921000000,6325329000000,125008960000000,118834355000000,310758000000,32601506000000,80039516000000,0,393000000,3728000000000,2154182000000,6174605000000,5465881000000,219358000000,0,489366000000,5465826000000,55000000,VCI,yearly
SSB,2017,3,111790625000000,822911000000,2607085000000,9918769000000,4181160000000,4181160000000,0,2914000000,64951324000000,65541037000000,-589713000000,20871204000000,17023504000000,4883478000000,-1035778000000,179024000000,72000000000,107024000000,0,394956000000,233487000000,161469000000,251258000000,7568189000000,111790625000000,105768596000000,323200000000,26143902000000,74415504000000,0,393000000,2900000000000,1985597000000,6022029000000,5465881000000,173629000000,-78214000000,460733000000,5465826000000,23000000,VCI,yearly
SSB,2017,2,107573928000000,721946000000,1526615000000,9282485000000,2046276000000,2046276000000,0,0,63302979000000,63838639000000,-535660000000,22616136000000,18619656000000,4883478000000,-886998000000,183187000000,72000000000,111187000000,0,398883000000,236992000000,161891000000,251619000000,7194077000000,107573928000000,101655574000000,800624000000,19857748000000,76411910000000,26592000000,393000000,2900000000000,1658307000000,5918354000000,5465881000000,173629000000,-55503000000,334347000000,5465826000000,55000000,VCI,yearly
SSB,2017,1,105556625000000,724892000000,2302170000000,13660806000000,835405000000,835405000000,0,0,57997725000000,58510628000000,-512903000000,22120602000000,17888625000000,4897110000000,-665133000000,183187000000,0,183187000000,0,351885000000,245781000000,106104000000,289790000000,7040438000000,105556625000000,99670504000000,3059299000000,20678165000000,71546389000000,115249000000,393000000,2900000000000,1371009000000,5886121000000,5465881000000,173630000000,-46747000000,293357000000,5465826000000,23000000,VCI,yearly
SSB,2016,4,103364962000000,708369000000,2364806000000,15215142000000,0,0,0,0,58445297000000,58988895000000,-543598000000,19731935000000,15446564000000,4897110000000,-611739000000,183187000000,0,183187000000,0,347157000000,243208000000,103949000000,290134000000,6028360000000,103364962000000,97485132000000,348189000000,20779035000000,72130806000000,65794000000,393000000,2900000000000,1260915000000,5879830000000,5465881000000,173629000000,0,240320000000,5465826000000,55000000,VCI,yearly
SSB,2016,3,94463182000000,600134000000,2437225000000,11008196000000,0,0,0,0,54721714000000,55199981000000,-478267000000,18745644000000,14148125000000,5205134000000,-607615000000,183469000000,0,183469000000,0,345628000000,248603000000,97025000000,289282000000,6081315000000,94463182000000,88629071000000,331110000000,13650941000000,70213013000000,23964000000,393000000,2900000000000,1509650000000,5834111000000,5465881000000,156111000000,-26713000000,238832000000,5465826000000,23000000,VCI,yearly
SSB,2016,2,91595111000000,616410000000,1322512000000,12281979000000,0,0,0,0,52479094000000,52904867000000,-425773000000,18297989000000,12908107000000,5637903000000,-248021000000,183469000000,0,183469000000,0,342278000000,242699000000,99579000000,287518000000,5733287000000,91595111000000,85822154000000,334859000000,14821551000000,66584404000000,22284000000,2920000000,2900000000000,1156136000000,5772957000000,5465881000000,156111000000,-28855000000,179820000000,5465826000000,55000000,VCI,yearly
SSB,2015,4,84756842000000,564169000000,6084391000000,11892423000000,0,0,0,0,42439383000000,42805631000000,-366248000000,17525520000000,12002991000000,5659934000000,-137405000000,183187000000,0,183187000000,0,349309000000,256201000000,93108000000,317318000000,5350567000000,84756842000000,78987981000000,181477000000,18073040000000,57018437000000,14315000000,16033000000,2900000000000,784679000000,5768861000000,5465881000000,156111000000,0,146869000000,5465826000000,55000000,VCI,yearly
SSB,2015,2,73441492000000,515035000000,3908755000000,9795034000000,8650000000,8650000000,0,0,35210010000000,35692048000000,-482038000000,15110257000000,13831623000000,1353557000000,-74923000000,183187000000,0,183187000000,0,286581000000,202537000000,84044000000,318005000000,8105978000000,73441492000000,67664262000000,197401000000,17709960000000,45894641000000,7104000000,17475000000,2900000000000,937681000000,5777230000000,5465881000000,142328000000,-3668000000,172689000000,5465826000000,23000000,VCI,yearly
