ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Investment in joint ventures,Investments in associate companies,Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Leased assets,Intagible fixed assets,Investment in properties,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Undistributed earnings (Bn. VND),Minority Interest,Paid-in capital (Bn. VND),Other Reserves,MINORITY INTERESTS,data_source,period_type
STB,2022,4,591994201000000,7849898000000,12286117000000,25293585000000,0,0,0,109858000000,432997593000000,438627777000000,-5630184000000,68844379000000,27896339000000,55551832000000,-14603792000000,88812000000,0,0,97014000000,-8202000000,7547677000000,4489795000000,0,3057882000000,0,36873640000000,591994201000000,553367205000000,9901209000000,28430448000000,454740496000000,0,239837000000,25820307000000,34234908000000,38626996000000,20601582000000,4223224000000,-169492000000,13971682000000,0,18852157000000,653000000,0,VCI,yearly
STB,2022,3,564192851000000,10350463000000,12568881000000,18024063000000,0,0,0,67684000000,414922969000000,420748053000000,-5825084000000,73973705000000,28808299000000,56218420000000,-11053014000000,88851000000,0,0,97014000000,-8163000000,7966533000000,4574837000000,0,3391696000000,0,26059892000000,564192851000000,527252603000000,51577000000,17692685000000,457890375000000,0,225709000000,26674466000000,24717791000000,36940248000000,20601582000000,4234329000000,-142274000000,12246611000000,0,18852157000000,653000000,0,VCI,yearly
STB,2022,2,551422119000000,9744491000000,12626666000000,17876787000000,0,0,0,0,407251198000000,414561633000000,-7310435000000,70973383000000,27511458000000,52200244000000,-8738319000000,88851000000,0,0,97014000000,-8163000000,7847586000000,4501298000000,0,3346288000000,0,24819452000000,551422119000000,515623994000000,62995000000,14376406000000,456417837000000,26316000000,195713000000,22066268000000,22478459000000,35798125000000,20601582000000,4234329000000,-72790000000,11035004000000,0,18852157000000,653000000,0,VCI,yearly
STB,2022,1,552539011000000,9874000000000,12383902000000,13222053000000,0,0,0,0,405918816000000,413027822000000,-7109006000000,73320764000000,28758761000000,51266316000000,-6704313000000,88968000000,0,0,97014000000,-8046000000,8096330000000,4454824000000,0,3641506000000,0,29445418000000,552539011000000,517057918000000,58599000000,17660693000000,457791917000000,90861000000,259798000000,20588726000000,20607324000000,35481093000000,20601582000000,3715274000000,9144000000,11155093000000,0,18852157000000,653000000,0,VCI,yearly
STB,2021,4,521196331000000,8222365000000,12169867000000,8353579000000,0,0,0,0,381012317000000,387929596000000,-6917279000000,69746137000000,34048080000000,41650354000000,-5952297000000,88968000000,0,0,97014000000,-8046000000,8195276000000,4518674000000,0,3676602000000,0,33219052000000,521196331000000,486934994000000,522745000000,15229099000000,427386772000000,108003000000,278940000000,21103779000000,22305656000000,34261337000000,20601582000000,3715274000000,37364000000,9907117000000,0,18852157000000,653000000,0,VCI,yearly
STB,2021,3,494294982000000,11464379000000,12854927000000,7772007000000,0,0,0,49379000000,350191352000000,356440303000000,-6248951000000,72556298000000,35361176000000,42984242000000,-5789120000000,89173000000,0,0,119064000000,-29891000000,8193844000000,4569415000000,0,3624429000000,0,30841079000000,494294982000000,460911837000000,89359000000,6958706000000,418839499000000,0,305885000000,16742770000000,17975618000000,33383145000000,20601582000000,3713778000000,17039000000,9050746000000,0,18852157000000,653000000,0,VCI,yearly
STB,2021,2,504533717000000,9907548000000,11367139000000,13541640000000,0,0,0,4442000000,355342446000000,361109293000000,-5766847000000,73027416000000,40278335000000,38114998000000,-5365917000000,227872000000,0,0,257764000000,-29892000000,8475762000000,4666798000000,0,3808964000000,0,32353631000000,504533717000000,474149926000000,106912000000,8855610000000,433943764000000,0,240365000000,13706978000000,17296297000000,30383791000000,18166632000000,3713778000000,92363000000,8411018000000,0,18852157000000,653000000,0,VCI,yearly
STB,2021,1,497427679000000,9120193000000,11896701000000,8631605000000,0,0,0,22350000000,351318425000000,356974593000000,-5656168000000,72358815000000,47644668000000,29313443000000,-4599296000000,124593000000,0,0,257764000000,-133171000000,8473407000000,4695443000000,0,3777964000000,0,35195284000000,497427679000000,467693809000000,124746000000,8462783000000,431136898000000,0,245560000000,12867196000000,14856626000000,29733870000000,18166632000000,3336508000000,124879000000,8105851000000,0,18852157000000,653000000,0,VCI,yearly
STB,2020,4,492636633000000,7678553000000,10052590000000,18397370000000,0,0,0,19677000000,334854576000000,340268127000000,-5413551000000,75276731000000,52227759000000,27322052000000,-4273080000000,124593000000,0,0,257764000000,-133171000000,8575424000000,4746484000000,0,3828940000000,0,37355604000000,492636633000000,463680391000000,143528000000,7880006000000,427971850000000,0,229445000000,11144140000000,16311422000000,28956242000000,18166632000000,3336508000000,149483000000,7303619000000,0,18852157000000,653000000,0,VCI,yearly
STB,2020,3,485212606000000,10408936000000,12059124000000,18315548000000,0,0,0,11753000000,315149610000000,320214546000000,-5064936000000,81641204000000,55046619000000,30986196000000,-4391611000000,106593000000,0,0,291031000000,-184438000000,8378155000000,4628717000000,0,3749438000000,0,38808617000000,485212606000000,457008004000000,163308000000,3248072000000,428953971000000,0,158080000000,9480003000000,15004570000000,28204602000000,18166632000000,3335011000000,244014000000,6458945000000,0,18852157000000,653000000,0,VCI,yearly
STB,2020,2,481897995000000,8415378000000,14113254000000,26355210000000,0,0,0,34401000000,306059137000000,310694975000000,-4635838000000,78478900000000,50648556000000,32129506000000,-4299162000000,106593000000,0,0,298971000000,-192378000000,8182222000000,4557553000000,0,3624669000000,0,39789459000000,481897995000000,454450293000000,187373000000,3791656000000,426236433000000,0,157866000000,9481519000000,14595446000000,27447702000000,18166632000000,3335011000000,198282000000,5747777000000,0,18852157000000,653000000,0,VCI,yearly
STB,2020,1,459076447000000,10993565000000,11426800000000,8354076000000,363600000000,363600000000,0,0,302176406000000,306298730000000,-4122324000000,77440466000000,48830146000000,32682338000000,-4072018000000,103854000000,0,0,298971000000,-195117000000,8215636000000,4623957000000,0,3591679000000,0,39601970000000,459076447000000,431529902000000,212371000000,3844034000000,405709054000000,82380000000,161661000000,9485396000000,12035006000000,27546545000000,18166632000000,2991963000000,235934000000,6152016000000,0,18852157000000,653000000,0,VCI,yearly
STB,2019,4,453581057000000,8269373000000,12109861000000,13150915000000,0,0,0,24465000000,292058715000000,296029774000000,-3971059000000,76497497000000,46890019000000,33647189000000,-4039711000000,103854000000,0,0,298971000000,-195117000000,8289968000000,4697387000000,0,3592581000000,0,42652956000000,453581057000000,426839417000000,241539000000,3525560000000,400844380000000,0,83606000000,9490048000000,12654284000000,26741640000000,18166632000000,2963901000000,199543000000,5411564000000,0,18852157000000,653000000,0,VCI,yearly
STB,2019,3,450200240000000,10755152000000,10449141000000,17792204000000,465300000000,465300000000,0,14149000000,286378842000000,290476749000000,-4097907000000,72646219000000,41139434000000,35006124000000,-3499339000000,139893000000,0,0,320477000000,-180584000000,8233474000000,4632874000000,0,3600600000000,0,42871818000000,450200240000000,423970384000000,252149000000,2991439000000,399369977000000,0,84611000000,9512090000000,11760118000000,26229856000000,18166632000000,2963901000000,219327000000,4879996000000,0,18852157000000,653000000,0,VCI,yearly
STB,2019,2,439170151000000,8544238000000,11045526000000,16969472000000,0,0,0,3202000000,275511929000000,279420154000000,-3908225000000,74614127000000,39231651000000,38567775000000,-3185299000000,139893000000,0,0,320477000000,-180584000000,8063643000000,4585551000000,0,3478092000000,0,43791554000000,439170151000000,413671157000000,247729000000,3013869000000,388242919000000,0,86580000000,9557639000000,12522421000000,25498994000000,18166632000000,2976004000000,260334000000,4096024000000,0,18852157000000,653000000,0,VCI,yearly
STB,2019,1,425033040000000,9634837000000,10502428000000,9531398000000,0,0,0,19804000000,267225888000000,271020322000000,-3794434000000,74690889000000,37951396000000,39620852000000,-2881359000000,142613000000,0,0,320477000000,-177864000000,8288292000000,4662095000000,0,3626197000000,0,44482397000000,425033040000000,399555802000000,250189000000,3215141000000,377222877000000,0,87290000000,8057776000000,10722529000000,25477238000000,18166632000000,2720885000000,224716000000,4365005000000,0,18852157000000,653000000,0,VCI,yearly
STB,2018,4,406040598000000,6379549000000,9611502000000,4822454000000,0,0,0,21310000000,253100111000000,256622753000000,-3522642000000,75514421000000,37988732000000,40233215000000,-2707526000000,142613000000,0,0,320477000000,-177864000000,8249652000000,4617730000000,0,3631922000000,0,47654200000000,406040598000000,381408232000000,5293086000000,7491655000000,349197426000000,0,87728000000,8065909000000,11272428000000,24632366000000,18166632000000,2720885000000,223785000000,3521064000000,0,18852157000000,653000000,0,VCI,yearly
STB,2018,3,403602479000000,9619987000000,10105235000000,1855932000000,0,0,0,5538000000,249548038000000,253391900000000,-3843862000000,78084179000000,39316627000000,40996207000000,-2228655000000,155144000000,0,0,320934000000,-165790000000,8108820000000,4500058000000,0,3608762000000,0,45541103000000,403602479000000,379821584000000,246595000000,4402681000000,357219509000000,0,89123000000,8120626000000,9743050000000,23780895000000,18166632000000,2718620000000,231285000000,2664358000000,0,18852157000000,653000000,0,VCI,yearly
STB,2018,2,400686351000000,8268519000000,9285495000000,6812672000000,63250000000,63250000000,0,0,243564981000000,246691059000000,-3126078000000,78278562000000,38251688000000,42288981000000,-2262107000000,155144000000,0,0,320934000000,-165790000000,8151065000000,4518166000000,0,3632899000000,0,45507098000000,400686351000000,377037747000000,245385000000,3942875000000,355860198000000,10435000000,90991000000,8185488000000,8702375000000,23648604000000,18166632000000,2718620000000,262174000000,2501178000000,0,18852157000000,653000000,0,VCI,yearly
STB,2018,1,381252451000000,8487885000000,8808307000000,5236374000000,61545000000,63250000000,-1705000000,10240000000,226593934000000,229440983000000,-2847049000000,75958350000000,32950437000000,45090038000000,-2082125000000,165441000000,0,0,320934000000,-155493000000,8134708000000,4515161000000,0,3619547000000,0,47180436000000,381252451000000,357582010000000,244660000000,5387830000000,339234749000000,0,91373000000,5564664000000,7058734000000,23670441000000,18166632000000,2549642000000,265693000000,2688474000000,0,18852157000000,653000000,0,VCI,yearly
STB,2017,4,368680399000000,6212661000000,3000152000000,7375083000000,63250000000,63250000000,0,20251000000,220168751000000,222946630000000,-2777879000000,73188580000000,30007436000000,45266699000000,-2085555000000,165441000000,0,0,320934000000,-155493000000,8100994000000,4474614000000,0,3626380000000,0,49741452000000,368680399000000,345452717000000,231484000000,12649029000000,319859584000000,0,90975000000,5601386000000,7020259000000,23227682000000,18166632000000,2549642000000,234062000000,2277346000000,0,18852157000000,653000000,0,VCI,yearly
STB,2017,3,363488056000000,8038999000000,7999664000000,2164250000000,63250000000,63250000000,0,10380000000,220486919000000,223016206000000,-2529287000000,74439239000000,29746325000000,46506574000000,-1813660000000,253381000000,0,0,410934000000,-157553000000,8067816000000,4470287000000,0,3597529000000,0,41289878000000,363488056000000,340704657000000,220749000000,15270423000000,312560655000000,0,45892000000,5716852000000,6890086000000,22783399000000,18166632000000,2519351000000,179077000000,1918339000000,0,18852157000000,653000000,0,VCI,yearly
STB,2017,2,355813041000000,7040547000000,8186296000000,3039330000000,97530000000,98925000000,-1395000000,24898000000,216112206000000,218542323000000,-2430117000000,70027130000000,29879413000000,41958574000000,-1810857000000,575872000000,0,0,880575000000,-304703000000,8022753000000,4479951000000,0,3542802000000,0,41983906000000,355813041000000,333328964000000,0,5828717000000,317368005000000,0,1358486000000,2742710000000,6031046000000,22484077000000,18166632000000,2519351000000,187037000000,1611057000000,0,18852157000000,653000000,0,VCI,yearly
STB,2017,1,344409236000000,7728216000000,7933704000000,2023023000000,96015000000,105624000000,-9609000000,0,203969326000000,206390141000000,-2420815000000,69958901000000,30126231000000,41648403000000,-1815733000000,270644000000,0,0,441922000000,-171278000000,7963942000000,4487091000000,0,3476851000000,0,43738986000000,344409236000000,321296630000000,2426652000000,5713136000000,303043610000000,212000000,1378391000000,2772590000000,5962039000000,23112606000000,18166632000000,2430783000000,201673000000,2313518000000,0,18852157000000,653000000,0,VCI,yearly
