ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Investments in associate companies,Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Intagible fixed assets,Investment in properties,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Undistributed earnings (Bn. VND),Minority Interest,Paid-in capital (Bn. VND),MINORITY INTERESTS,data_source,period_type
HDB,2022,4,416273023000000,2937994000000,11273345000000,49132317000000,1797822000000,1797822000000,0,0,260754811000000,263856383000000,-3101572000000,48789184000000,35375058000000,13444130000000,-30004000000,144023000000,0,163921000000,-19898000000,1315057000000,631621000000,683436000000,0,40128470000000,416273023000000,377278137000000,10821258000000,92653200000000,215797174000000,226480000000,2860155000000,44161640000000,10758230000000,38994886000000,25426026000000,3527727000000,0,7999785000000,0,25303429000000,2041348000000,VCI,quarterly
HDB,2022,3,399152573000000,2596855000000,9869836000000,50666808000000,2383237000000,2386118000000,-2881000000,0,243426139000000,246497884000000,-3071745000000,56383097000000,41012653000000,15434181000000,-63737000000,143820000000,0,163921000000,-20101000000,1303783000000,632761000000,671022000000,0,32378998000000,399152573000000,361989908000000,58565000000,99636997000000,207780769000000,179100000000,2905881000000,42765762000000,8662834000000,37162665000000,20395503000000,3465624000000,-37318000000,11360677000000,0,20272906000000,1978179000000,VCI,quarterly
HDB,2022,2,384266740000000,2709876000000,11127254000000,41470126000000,3407027000000,3409908000000,-2881000000,16070000000,234742051000000,237688422000000,-2946371000000,59200131000000,46951408000000,12325996000000,-77273000000,143820000000,0,163921000000,-20101000000,1294275000000,624601000000,669674000000,0,30156110000000,384266740000000,348899749000000,69414000000,86186983000000,212520096000000,0,2906854000000,39104392000000,8112010000000,35366991000000,20395503000000,3465914000000,-13793000000,9344689000000,0,20272906000000,2174678000000,VCI,quarterly
HDB,2022,1,381046023000000,2627817000000,9808491000000,49371645000000,10046933000000,10049814000000,-2881000000,0,222466108000000,225153895000000,-2687787000000,60494732000000,43512725000000,17071519000000,-89512000000,143331000000,0,163921000000,-20590000000,1318816000000,640621000000,678195000000,0,24768150000000,381046023000000,348234538000000,81615000000,93473766000000,201490028000000,45007000000,2859595000000,42099369000000,8185158000000,32811485000000,20195503000000,2537221000000,13793000000,8206256000000,0,20072906000000,1858712000000,VCI,quarterly
HDB,2021,4,374611571000000,2445611000000,11847980000000,55942644000000,11198067000000,11200948000000,-2881000000,0,200758833000000,203210901000000,-2452068000000,65513425000000,43656434000000,21955594000000,-98603000000,123831000000,0,144421000000,-20590000000,1366325000000,663478000000,702847000000,0,25414855000000,374611571000000,343821459000000,92656000000,107242582000000,183283118000000,15550000000,2936864000000,42756113000000,7494576000000,30790112000000,20195503000000,2547465000000,0,6290473000000,0,20072906000000,1756671000000,VCI,quarterly
HDB,2021,3,346355019000000,1940895000000,8949735000000,52371403000000,12880397000000,12883602000000,-3205000000,48528000000,189346267000000,191514813000000,-2168546000000,58820275000000,34270440000000,24647047000000,-97212000000,143003000000,0,166421000000,-23418000000,1175974000000,579736000000,596238000000,20823000000,20657719000000,346355019000000,317084891000000,104874000000,81351880000000,194429468000000,0,2921231000000,30995597000000,7281841000000,29270128000000,16211085000000,2492954000000,64586000000,8826515000000,0,16088488000000,1674988000000,VCI,quarterly
HDB,2021,2,330969917000000,2194774000000,9633778000000,44824126000000,10440600000000,10443805000000,-3205000000,56611000000,189796578000000,191841072000000,-2044494000000,54467346000000,29205781000000,25349148000000,-87583000000,143003000000,0,166421000000,-23418000000,1179213000000,596011000000,583202000000,20835000000,18213053000000,330969917000000,303239461000000,117309000000,60258786000000,198533937000000,0,3022568000000,33315209000000,7991652000000,27730456000000,16211085000000,2492954000000,37952000000,7395450000000,0,16088488000000,1593015000000,VCI,quarterly
HDB,2021,1,325821442000000,2351092000000,6209185000000,50447584000000,10977154000000,10977297000000,-143000000,85426000000,185334408000000,187279481000000,-1945073000000,53219476000000,28693530000000,24612582000000,-86636000000,153636000000,0,185117000000,-31481000000,1198085000000,604856000000,593229000000,20847000000,15824549000000,325821442000000,299409970000000,130009000000,69869067000000,184987517000000,0,3029863000000,34278134000000,7115380000000,26411472000000,16211085000000,1844467000000,29923000000,6502578000000,0,16088488000000,1823419000000,VCI,quarterly
HDB,2020,4,319127257000000,2257255000000,7788112000000,44810934000000,12478102000000,12478245000000,-143000000,0,176387656000000,178323092000000,-1935436000000,58236806000000,30143484000000,28180901000000,-87579000000,153636000000,0,185117000000,-31481000000,1059428000000,601398000000,458030000000,20860000000,15934468000000,319127257000000,294423432000000,142771000000,75175573000000,174620270000000,215182000000,3037163000000,34332257000000,6900216000000,24703825000000,16211085000000,1847081000000,0,4938967000000,0,16088488000000,1706692000000,VCI,quarterly
HDB,2020,3,273289529000000,2123658000000,4661966000000,32765417000000,9221967000000,9243665000000,-21698000000,0,162533281000000,164462771000000,-1929490000000,48949397000000,18965327000000,30090341000000,-106271000000,154887000000,0,185117000000,-30230000000,1008126000000,591131000000,416995000000,35425000000,11835405000000,273289529000000,249404367000000,159657000000,41769606000000,168443457000000,31072000000,3048436000000,29838063000000,6114076000000,23885162000000,11381507000000,1789350000000,27795000000,8768067000000,0,9810000000000,1918443000000,VCI,quarterly
HDB,2020,2,242445051000000,2298266000000,3185578000000,23330471000000,3049574000000,3071272000000,-21698000000,0,158574053000000,160371930000000,-1797877000000,39903427000000,13379712000000,26623949000000,-100234000000,154887000000,0,185117000000,-30230000000,940810000000,539196000000,401614000000,44068000000,10963917000000,242445051000000,219751209000000,181767000000,32358700000000,149805037000000,52629000000,3048933000000,28719063000000,5585080000000,22693842000000,11381507000000,1787170000000,15159000000,7678938000000,0,9810000000000,1831068000000,VCI,quarterly
HDB,2020,1,231773724000000,1892955000000,1891534000000,18920348000000,4812614000000,4816174000000,-3560000000,0,150733323000000,152405077000000,-1671754000000,40553562000000,16118458000000,25052541000000,-617437000000,161050000000,0,185117000000,-24067000000,901646000000,529520000000,372126000000,44083000000,11862609000000,231773724000000,210385915000000,602990000000,43244856000000,132822498000000,23069000000,3088121000000,25174063000000,5430318000000,21387809000000,11381661000000,1246161000000,19370000000,7019397000000,0,9810000000000,1721220000000,VCI,quarterly
HDB,2019,4,229477262000000,2004563000000,4503540000000,24664877000000,4643488000000,4650988000000,-7500000000,0,144699636000000,146324378000000,-1624742000000,36041894000000,15749443000000,20696368000000,-403917000000,166821000000,0,185117000000,-18296000000,903561000000,532147000000,371414000000,44098000000,11804784000000,229477262000000,209096146000000,209151000000,45977699000000,126018576000000,14262000000,3043492000000,25013063000000,8819903000000,20381116000000,11693415000000,1248389000000,0,6130768000000,0,9810000000000,1308544000000,VCI,quarterly
HDB,2019,3,217245156000000,2039463000000,6403131000000,21531562000000,1847534000000,1853534000000,-6000000000,1650000000,138631393000000,140167685000000,-1536292000000,38026229000000,21764039000000,17211731000000,-949541000000,166821000000,0,185117000000,-18296000000,859406000000,492663000000,366743000000,44108000000,7693859000000,217245156000000,197651382000000,2205063000000,42943712000000,124917876000000,0,3048112000000,20027400000000,4509219000000,19593774000000,11852342000000,1189112000000,9091000000,5069988000000,0,9810000000000,1473241000000,VCI,quarterly
HDB,2019,2,210291471000000,1949797000000,1724662000000,21501935000000,2091898000000,2097898000000,-6000000000,0,136295829000000,137781337000000,-1485508000000,36659984000000,22410441000000,15157992000000,-908449000000,166821000000,0,185117000000,-18296000000,858226000000,490153000000,368073000000,51892000000,8990427000000,210291471000000,191687896000000,2167416000000,33921883000000,130057580000000,30099000000,3059677000000,17746000000000,4705241000000,18603575000000,11852342000000,1189799000000,7244000000,4171307000000,0,9810000000000,1382883000000,VCI,quarterly
HDB,2019,1,202562505000000,1997844000000,3416086000000,19600096000000,1933944000000,1936944000000,-3000000000,0,127556296000000,128936571000000,-1380275000000,38842836000000,22959264000000,16793735000000,-910163000000,164931000000,0,185117000000,-20186000000,1607734000000,564302000000,1043432000000,51923000000,7390815000000,202562505000000,184849346000000,2180507000000,34233100000000,126694184000000,2114000000,3046889000000,14129681000000,4562871000000,17713159000000,11852342000000,774036000000,8057000000,3805844000000,0,9810000000000,1272880000000,VCI,quarterly
