Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,data_source,period_type
ticker,yearReport,lengthReport,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Net Profit Margin (%),ROE (%),ROA (%),Dividend yield (%),Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),,
HDB,2022,3,9.7406875422,0.03508314056594165,1.0587224764936833,0.44951001705742666,0.220983759,0.0195459992,0.0,10.740687542187839,41879102310000.0,2515261400.0,5.55719648,1.1902718235,2.0204030496,-14.8793150012,801.5011879083422,13988.4013645659,VCI,yearly
HDB,2022,2,9.865123923,0.03659556449119463,1.0075657463653322,0.4568279968579888,0.2163396271,0.0186661518,0.0,10.865123923038858,42256391520000.0,2515261400.0,6.0677622347,1.2730776406,2.2193768523,-20.6089131932,826.6047417576559,13196.3671847387,VCI,yearly
HDB,2022,1,10.6131904118,0.04019373094512486,0.9347622582135955,0.4744530024427516,0.2125510815,0.0178886507,0.0,11.61319041183293,47689356144000.0,2012209120.0,7.3850422794,1.5407135297,2.6924559597,14.7685981424,953.3795374111016,15382.4832083059,VCI,yearly
HDB,2021,4,11.1666189078,0.044375447546277196,0.877175617737799,0.4015959516077289,0.2181677817,0.0174518617,0.0,12.166619302976228,50707669824000.0,2012209120.0,8.3194369045,1.746526353,3.0258341386,3.2175134955,749.0215529884886,14428.6400013931,VCI,yearly
HDB,2021,3,10.8330544711,0.040176592326483844,0.8338729852513835,0.43283210567035724,0.2073541074,0.0169543364,0.0,11.833054471097633,59460779496000.0,2012209120.0,10.5077005486,2.1392509444,3.6948012104,2.4833180312,711.1909919183747,13813.246209718,VCI,yearly
HDB,2021,2,10.9352497124,0.04252411139578808,0.7900094638158788,0.4473948604967681,0.2049942999,0.0168580809,0.0,11.935249712446128,51199774384000.0,1992209120.0,9.7249026587,1.9588671433,3.2291108644,1.8739802484,778.9739462692551,13119.8280027952,VCI,yearly
HDB,2021,1,11.336360931396484,0.045362295596398414,0.7524330949807712,0.4649069019310705,0.20158736407756805,0.016967536881566048,0.0,12.336360578463783,53869334604800.0,1593767296.0,10.9413140247,2.1908743488,3.6405440788,1.4877285445,980.9386878020115,15427.6305340877,VCI,yearly
HDB,2020,4,11.9180237992,0.04288518073618154,0.7037841549540801,0.32944674940017016,0.1884854628,0.0154900192,0.0,12.918131382488339,41916079884800.0,1593767296.0,9.9583975802,1.8226477811,3.0419302304,1.6952115116,663.9840098714135,14429.5569734165,VCI,yearly
HDB,2020,3,10.4418118244,0.04220720797288292,0.6804613679910421,0.3611716110396438,0.1952067037,0.0176523672,0.0,11.441811824428907,34584750323200.0,1593767296.0,8.0379721779,1.5744158389,2.6283388978,2.967341972,684.736098387101,13782.8897952239,VCI,yearly
HDB,2020,2,9.6832968609,0.04145662069913063,0.6465220027518577,0.4467732530244986,0.1960061145,0.0178899545,0.0,10.683296860884111,29634398294800.0,1255694843.0,7.2356119216,1.4204438151,2.3592545555,5.1816729533,964.0479187665184,16614.5255085674,VCI,yearly
