ticker,yearReport,lengthReport,Profits from other activities,Operating profit before changes in working capital,Net Cash Flows from Operating Activities before BIT,Payment from reserves,Purchase of fixed assets,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,Net cash inflows/outflows from operating activities,Proceeds from disposal of fixed assets,Investment in other entities,Proceeds from divestment in other entities,Dividends paid,data_source,period_type
HDB,2021,3,-14618000000,2143596000000,7233243000000,0,-50559000000,0,-35112000000,0,0,7198131000000,55837268000000,26634000000,63062033000000,7233243000000,45000000,0,15402000000,0,VCI,quarterly
HDB,2021,2,35697000000,2330702000000,-2573752000000,-520000000,-27006000000,0,-8225000000,0,0,-2582497000000,58411736000000,8029000000,55837268000000,-2574272000000,85000000,0,18696000000,0,VCI,quarterly
HDB,2021,1,11498000000,2351560000000,3783241000000,-2614000000,-155122000000,0,-155115000000,0,0,3625512000000,54756301000000,29923000000,58411736000000,3780627000000,7000000,0,0,0,VCI,quarterly
HDB,2020,4,77443000000,1777638000000,15275094000000,0,-57593000000,0,-42011000000,0,-28000000,15233055000000,39551041000000,-27795000000,54756301000000,15275094000000,112000000,0,0,344723000000,VCI,quarterly
HDB,2020,3,32574000000,2316161000000,10842195000000,-2228000000,-127843000000,0,-115878000000,0,1000000,10724090000000,28814315000000,12636000000,39551041000000,10839967000000,432000000,0,0,-344723000000,VCI,quarterly
HDB,2020,2,70233000000,2155809000000,6157361000000,2228000000,52000000,260000000,384000000,0,-155000000,6313690000000,22504836000000,-4211000000,28814315000000,6313461000000,72000000,0,0,0,VCI,quarterly
HDB,2020,1,17985000000,1979857000000,-7466152000000,-2228000000,-97381000000,0,-97381000000,0,-311753000000,-7877514000000,30362980000000,19370000000,22504836000000,-7468380000000,0,0,0,0,VCI,quarterly
HDB,2019,4,110142000000,1514806000000,1995049000000,-980000000,-69694000000,0,-37227000000,0,-158927000000,1797915000000,28574156000000,-9091000000,30362980000000,1994069000000,33501000000,0,0,-158927000000,VCI,quarterly
HDB,2019,3,82545000000,1533477000000,4913108000000,-688000000,-25550000000,0,-16505000000,0,0,4895915000000,23676394000000,1847000000,28574156000000,4912420000000,323000000,0,0,0,VCI,quarterly
HDB,2019,2,21541000000,1244284000000,138782000000,0,-45548000000,27069000000,74400000000,0,0,213182000000,23464025000000,-813000000,23676394000000,138782000000,98188000000,0,0,0,VCI,quarterly
HDB,2019,1,15031000000,1258437000000,-15957026000000,-1764000000,-42403000000,0,-42403000000,0,0,-16001193000000,39457161000000,8057000000,23464025000000,-15958790000000,0,0,0,0,VCI,quarterly
HDB,2018,4,177521000000,1565497000000,13476522000000,-1863000000,46135000000,0,109448000000,0,-1425300000000,12158807000000,27314977000000,-16624000000,39457160000000,13474659000000,1053000000,0,62260000000,-1425300000000,VCI,quarterly
HDB,2018,3,29950000000,587739000000,-1682736000000,-881000000,-66623000000,53618000000,-258000000,0,0,-1683875000000,28999872000000,-1020000000,27314977000000,-1683617000000,12747000000,0,0,0,VCI,quarterly
HDB,2018,2,64104000000,1761698000000,5467261000000,-66000000,-43695000000,26111000000,-47450000000,0,0,5419745000000,23600089000000,-19962000000,28999872000000,5467195000000,-30672000000,0,806000000,0,VCI,quarterly
HDB,2018,1,23971000000,815152000000,-1661925000000,-1364000000,-20317000000,22431000000,36719000000,0,0,-1626570000000,25189053000000,37606000000,23600089000000,-1663289000000,31875000000,0,2730000000,0,VCI,quarterly
HDB,2017,4,43288000000,651714000000,-1999532000000,-197000000,-247842000000,250000000,-242285000000,3018656000000,3018656000000,776642000000,24375456000000,36956000000,25189054000000,-1999729000000,11976000000,0,-6669000000,0,VCI,quarterly
HDB,2017,3,31729000000,758110000000,-5422660000000,-595000000,-15311000000,176865000000,164271000000,0,0,-5258984000000,29667386000000,-32946000000,24375456000000,-5423255000000,477000000,0,2240000000,0,VCI,quarterly
HDB,2017,2,-1043000000,787344000000,2833440000000,-150000000,-5450000000,15714000000,-7796000000,0,0,2825494000000,26843770000000,-1878000000,29667386000000,2833290000000,-13905000000,22474000000,-71739000000,0,VCI,quarterly
HDB,2017,1,40269000000,868466000000,4182453000000,-2658000000,-13023000000,1052000000,60748000000,0,0,4240543000000,22605359000000,-2132000000,26843770000000,4179795000000,15531000000,-22474000000,82026000000,0,VCI,quarterly
HDB,2016,4,60242000000,403706000000,4677181000000,0,-625398000000,-97765000000,-754111000000,0,0,3923070000000,18682316000000,-28000000,22605358000000,4677181000000,71465000000,-42593000000,-5385000000,0,VCI,quarterly
HDB,2016,3,-3553000000,541663000000,1966895000000,0,-43584000000,24345000000,-4947000000,0,0,1961948000000,16720368000000,0,18682316000000,1966895000000,2175000000,7473000000,4731000000,0,VCI,quarterly
HDB,2016,2,-26928000000,150434000000,557601000000,0,-4653000000,3021000000,11216000000,0,-809987000000,-241170000000,16957010000000,4528000000,16720368000000,557601000000,-10107000000,4220000000,-4761000000,-809987000000,VCI,quarterly
HDB,2016,1,27976000000,112017000000,2919502000000,-534000000,-14212000000,454000000,-31020000000,0,0,2887948000000,14069062000000,0,16957010000000,2918968000000,20213000000,-21060000000,4761000000,0,VCI,quarterly
HDB,2015,4,51579000000,1107244000000,6860423000000,-3816000000,-262730000000,44868000000,807158000000,0,0,7663765000000,6405296000000,1000000,14069062000000,6856607000000,1193000000,-381248000000,1404741000000,0,VCI,quarterly
HDB,2015,1,-13241948531,62521090616,-8848478163596,0,-43016503279,2291778800,-6457849853,0,0,-8854936013449,15293238619884,0,6438302606435,-8848478163596,24645000,-14073760000,48490609636,0,VCI,quarterly
HDB,2014,1,9975334063,399075206973,-2036094409738,-1664200000,-84950146537,1507369351,-54896093909,0,-174990040196,-2267644743843,8710988901358,0,6443344157515,-2037758609738,140327032,-270757281782,299317253000,-174990040196,VCI,quarterly
HDB,2013,4,-127268911173,-1010904733482,4165275242113,-100658479,-20906314163,12205269500,-2509316844,0,0,4162665266790,3972888692662,575434941906,8710988901358,4165174583634,1288159508,2000000000,2000000000,0,VCI,quarterly
HDB,2013,3,-9282987297,-239945718607,995580038407,-3635342914,-20486198123,26115734777,2933556274,0,0,994878251767,2978010440895,0,3972888692662,991944695493,42610000,-2000000000,0,0,VCI,quarterly
HDB,2013,2,-24285998426,1235613095039,-373529054974,-1996715338,174070126814,115781920549,289878386486,0,-280757097022,-366404480848,3344414921743,0,2978010440895,-375525770312,149259499,0,0,-280757097022,VCI,quarterly
HDB,2013,1,171645105354,-173376375199,-1323934577872,-1197230871,-189152980308,819693600,-188351347281,0,0,-1513483156024,4857898077767,0,3344414921743,-1325131808743,23996982,0,0,0,VCI,quarterly
