ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Long-term investments (Bn. VND),Goodwill,Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),data_source,period_type
MWG,2022,4,44631140049888,5061020547422,10059049605640,3072093853367,25696077735282,742898308177,11203069784187,0,9727502911440,241034840000,0,670590081979,55834209834075,31901628316499,26000378316499,5901250000000,23932581517576,23932581517576,0,8723934226370,14508097130,55834209834075,465041812093,26662420967,26058131396686,0,14638792800000,14638792800000,5901250000000,97659957856,10688138631456,306959360590,175104437161,494621576810,494621576810,VCI,quarterly
MWG,2022,3,50122470481874,7065242844865,8846233086123,4647579247244,28687856655795,875558647847,11159526326252,8500000000,9429518970101,231034840000,0,744002736061,61281996808126,37968545196712,32001045196712,5967500000000,23313451611414,23313451611414,0,8104893472901,14526747466,61281996808126,599960435092,989917697638,29093319246705,0,14638792800000,14638792800000,5967500000000,91220708251,16857380163191,322307328620,115369281815,513820952121,522320952121,VCI,quarterly
MWG,2022,2,48128776434046,2897829353037,12320647805155,3756036864744,28254091292165,900171118945,11088123214578,8500000000,9537399927556,181034840000,0,721221767970,59216899648624,36812511448572,36812511448572,0,22404388200052,22404388200052,0,7198647477210,13274903784,59216899648624,525160315885,881917697638,28752056117744,0,14638792800000,14638792800000,0,129610329129,22345204155750,337655296650,62301044996,510588869922,519088869922,VCI,quarterly
MWG,2022,1,51376792032818,3259252088558,11699727339355,2624431249599,32587880017145,1205501338161,10993848285433,25417697638,9577455598619,0,0,827367124490,62370640318251,40560349716567,40560349716567,0,21810290601684,21810290601684,0,14119039447466,12617119261,62370640318251,388782013277,895000000000,33234250442400,0,7130654950000,7130654950000,0,94640545310,24485558678313,353003264679,128340209561,497936647237,523354344875,VCI,quarterly
MWG,2021,4,51976153923199,4943933460193,13434708637069,3162121971586,29180338446472,1255051407879,11007042730588,0,9634175661915,0,0,810779950037,62983196653787,42604837712707,39836437712707,2768400000000,20378358941080,20378358941080,0,12674574164065,11950970730,62983196653787,390738782756,961917697638,29863174970269,0,7130654950000,7130654950000,2768400000000,98379250626,21879074278786,368351232709,88371396963,482389179464,482389179464,VCI,quarterly
MWG,2021,3,35015204067827,3215215954814,6814280806241,2787721676605,21556084239775,641901390392,15112089537982,0,8630499611959,5052594533578,0,795550291590,50127293605809,31320026379774,27421544713124,3898481666650,18807267226035,18807267226035,0,11112088580269,11010484057,50127293605809,635727476555,1007400000000,22200618447241,0,7130654950000,7130654950000,3898481666650,94495498354,14165406127888,383699200739,91206219605,462191637833,462191637833,VCI,quarterly
MWG,2021,2,44190714249021,4617786523255,13524445343145,2774679155325,22414714164477,859089062819,9745169738422,0,8243766931475,46383695336,0,733799720776,53935883987443,35676966018299,34548019351648,1128946666651,18258917969144,18258917969144,0,12940681890963,10593726480,53935883987443,461197411849,580000000000,22840830524938,0,4754311970000,4754311970000,1128946666651,70937590925,19966291619420,399047168769,60697945155,463077992288,463077992288,VCI,quarterly
MWG,2021,1,40807257390563,2203952214497,12622967473973,1738733670248,23252975952139,988628079706,9078250528418,0,7744570258981,49796978182,0,738620688866,49885507918981,32931983663802,31804171997150,1127811666652,16953524255179,16953524255179,0,11727652205678,9945009347,49885507918981,369838632437,204400000000,23708068728499,0,4661242270000,4661242270000,1127811666652,70870082626,17460247836731,414395136798,56562067170,445898652826,445898652826,VCI,quarterly
MWG,2020,4,37425547622436,7347957397925,8057318821918,1703464670665,19422177452674,894629279254,8713645982187,0,7294961666136,52757540273,0,793813155551,46139193604623,30657503758191,29530827091538,1126676666653,15481689846432,15481689846432,0,10389683597845,9280633826,46139193604623,287913331552,80000000000,19926363502365,0,4532099870000,4532099870000,1126676666653,86907353149,15625180321924,429743104828,76720247019,439493257757,439493257757,VCI,quarterly
MWG,2020,3,32884121759949,2590965281039,10598354547946,1466027079598,17514792364187,713982487179,7843390129187,0,6502873343796,52670785044,0,754235980147,40727511889136,25507281824974,24381740158320,1125541666654,15220230064162,15220230064162,0,10126795213472,7839862029,40727511889136,416448184622,20000000000,18012640524608,0,4532099870000,4532099870000,1125541666654,71419840627,11880596453867,445091072858,86302729862,411312890047,411312890047,VCI,quarterly
MWG,2020,2,30910452111818,2166228016587,8712400000000,1286574635638,18076174508838,669074950755,7435888773837,0,6175419082572,53899866791,0,747359082117,38346340885655,24073431103150,22949024436495,1124406666655,14272909782505,14272909782505,0,9176255356065,8798861637,38346340885655,254384038052,0,18626103813844,0,4532099870000,4532099870000,1124406666655,76644693987,10589788254076,460439040888,88085516760,397366344259,397366344259,VCI,quarterly
MWG,2020,1,30121859890958,3273375468382,3800000000000,1443027344349,20958928807241,646528270986,6748072885643,0,5538135473664,55060624800,0,753024420283,36869932776601,23491161842288,22367890175632,1123271666656,13378770934313,13378770934313,1130494084,8281213176432,8386726549,36869932776601,305554754694,0,21463192128559,0,4532099870000,4532099870000,1123271666656,59441460158,10494639443168,475787008917,86818269725,384746529647,384746529647,VCI,quarterly
MWG,2019,4,35011896908246,3177236816468,3075000000000,1815085561979,25745428436580,1199146093219,6696198636637,0,5403776988921,56464479744,0,773963131188,41708095544883,29564503350530,28442366683873,1122136666657,12143592194353,12143592194353,1130494084,7149694161602,7786065614,41708095544883,187734040886,0,26195934673884,0,4435461780000,4435461780000,1122136666657,81194129529,13031015620192,491134976947,104029473910,374563598474,374563598474,VCI,quarterly
MWG,2019,3,26686795166646,3697191147790,4275400000000,1247264512387,16989973677730,476965828739,5666604339959,0,4478044283473,58376172902,0,745545005883,32353399506605,21063673273217,19942671606559,1121001666658,11289726233388,11289726233388,1130494084,6295124836220,7610628054,32353399506605,192839602672,0,17386803041461,0,4435461780000,4435461780000,1121001666658,57036875615,8912537066524,506482944977,83203921817,352288659563,352288659563,VCI,quarterly
MWG,2019,2,27617536973491,3292659082600,6133400000000,1309517488724,16424088758792,457871643375,5149289123628,0,3930032922943,59444956591,0,777774899175,32766826097119,22335864295905,21215997629246,1119866666659,10430961801214,10430961801214,1130494084,5440043909147,7159213402,32766826097119,144832642778,0,16740774626439,0,4434961780000,4434961780000,1119866666659,41098207216,9090483757480,521830913007,114185742086,330666630725,330666630725,VCI,quarterly
MWG,2019,1,25629416426212,2839159906918,3830000000000,1919077775479,16612706036831,428472706984,4775764293641,0,3633049694057,59902315009,0,754395670031,30405180719853,20388071534769,19212733322011,1175338212758,10017109185084,10017109185084,1130494084,5025044681771,6772191478,30405180719853,74524468807,0,16952317476315,0,4434961780000,4434961780000,1175338212758,29567085862,8617642901877,537178881036,73486403456,316757634908,316757634908,VCI,quarterly
MWG,2018,4,23389569670395,3749550258212,50922451739,1560104650074,17446005298981,582987011389,4750536730462,0,3333147659602,59937763115,0,799106535305,28140106400857,19157071069515,17906980221526,1250090847989,8983035331342,8983035331342,1130494084,3989607252090,6246101284,28140106400857,21007291749,0,17821137643753,0,4434961780000,4434961780000,1247995997257,38061594053,5796625780221,552526849066,97030958574,313775645332,313775645332,VCI,quarterly
MWG,2018,3,20874017598029,5069778230756,659851105432,1505154445936,13304860681973,334373133932,4672413937653,0,3330857563330,58760018371,0,817716473285,25546431535682,17383663873866,16087062723615,1296601150251,8162767661816,8162767661816,1130494084,4373549241259,5116903353,25546431535682,85909526091,0,13667536889135,0,3231695210000,3231695210000,1296366150251,26522024098,7380390607474,571553704258,103328149669,310311155448,310311155448,VCI,quarterly
MWG,2018,2,19674745908177,2904599435150,663002153844,1433869348388,14275184170658,398090800137,4667942946620,0,3418127368371,61304248723,0,813769230448,24342688854797,16827321443923,15487730196729,1339591247194,7515367410874,7515367410874,1130494084,3726504803100,5025460683,24342688854797,83457888055,0,14635272065949,0,3231695210000,3231695210000,1339471247194,30568199410,6743526989752,587001101670,89722320028,303035864435,303035864435,VCI,quarterly
MWG,2018,1,18987675255015,2344357965889,2567500000,1730824187579,14417399343964,492526257583,4671211025166,0,3500311717421,0,0,836268659173,23658886280181,16390889686056,15028843299392,1362046386664,7267996594125,7267996594125,1130494084,3479310244269,4952791999,23658886280181,40635659294,0,14735000448428,0,3231695210000,3231695210000,1362046386664,19996284651,6893543999852,602448499083,107166953965,302365145533,302365145533,VCI,quarterly
MWG,2017,4,18864164526077,3410983351393,0,2774788963433,12050162650982,628229560269,3949262868938,0,3463657994935,0,0,218571537101,22813427395015,16904511059800,15712215993053,1192295066747,5908916335215,5908916335215,1130494084,2698572748459,2776252251,22813427395015,128482078761,84700000000,12309955461929,0,3169884370000,3169884370000,1192295066747,22475498439,5603505990527,0,97701063493,242115970118,242115970118,VCI,quarterly
MWG,2017,3,13167690183427,2931921550990,0,1149224825069,8801878648220,284665159148,3464803128875,0,3003136636175,0,0,200122450314,16632493312302,11388021069120,11328720809625,59300259495,5244472243182,5244472243182,1130494084,2126634684536,2457037854,16632493312302,112099614317,0,9002534724441,0,3077657890000,3077657890000,59300259495,19835542897,3900724425099,0,104245445049,227566088032,227566088032,VCI,quarterly
MWG,2017,2,11577309555312,1519018369920,0,1080674515132,8750915956265,226700713995,3073701329562,0,2597567374970,0,0,230818672146,14651010884874,9971616825506,9971616825506,0,4679394059368,4679394059368,1130494084,1561874098666,2147304015,14651010884874,62220382656,0,8941652116201,0,3077657890000,3077657890000,0,19727117766,3978056934755,0,137199964480,201376198370,201376198370,VCI,quarterly
MWG,2017,1,11359326915129,825896971912,0,997318105526,9236858332902,299253504789,2748053628967,0,2302571068260,0,0,184275379268,14107380544096,9708895768062,9708895768062,0,4398484776034,4398484776034,1130494084,2819577413129,1629065035,14107380544096,81339350536,0,9399334220786,0,1539509270000,1539509270000,0,17199111824,5308039355078,0,96756137192,191799300572,191799300572,VCI,quarterly
MWG,2016,4,12288284543051,996983462012,0,1410488010354,9370731749778,510081320907,2518202130796,0,2096122649031,0,0,161973744211,14806486673847,10965132547484,10965132547484,0,3841354126363,3841354126363,1130494084,2261759800139,2316028354,14806486673847,315210181153,0,9513657569828,0,1539509270000,1539509270000,0,28752778956,4788991746757,0,123544885549,179685175407,179685175407,VCI,quarterly
MWG,2016,3,8258016629809,573679281109,0,863781519621,6501392114659,319163714420,1918313934715,0,1557770390122,0,0,133782849130,10176330564524,6690689848300,6690689848300,0,3485640716224,3485640716224,1130494084,1979455222787,2161605567,10176330564524,174185168362,0,6611456768948,0,1468889740000,1468889740000,0,22167361604,2794183917667,0,106759573995,160053109806,160053109806,VCI,quarterly
MWG,2016,2,6584884495971,596042942677,0,657957904941,5083297334052,247586314301,1409729846222,0,1094471225564,0,0,120327477686,7994614342193,4896390269275,4896390269275,0,3098224072918,3098224072918,1130494084,1592148348555,1945886493,7994614342193,183281192037,0,5179847206591,0,1468889740000,1468889740000,0,21954565608,1791414070369,7515516418,93501986760,137722307972,137722307972,VCI,quarterly
MWG,2016,1,6779189473814,428430307675,0,545036989515,5578492378888,227229797736,1185713866106,0,912225912563,0,0,104103242415,7964903339920,5063479339231,5063479339231,0,2901424000689,2901424000689,1130494084,1395420973918,1873188901,7964903339920,134035455294,0,5667166715800,0,1468889740000,1468889740000,0,23589037429,1998828634726,10020688559,76347686474,120385282497,120385282497,VCI,quarterly
MWG,2015,4,6176432326364,343872968705,0,636322979955,4932684842299,263551535405,1089329907510,0,849146989686,0,0,84864286742,7265762233874,4782209545548,4782209545548,0,2483552688326,2483552688326,1130494084,977630195800,1638854656,7265762233874,218453419175,0,5009708492628,0,1468889740000,1468889740000,0,19297585840,2052945972681,12525860700,56933695976,112464049268,112464049268,VCI,quarterly
MWG,2015,3,3930699462259,468563472336,0,427145637514,2910928264760,124062087649,883177985933,0,671692171138,0,0,69525617053,4813877448192,2662214748395,2662214748395,0,2151662699797,2151662699797,1130494084,715627884561,1454557366,4813877448192,61602636841,0,2985874011945,0,1399039760000,1399039760000,0,12227630634,883318955828,15031032841,38006519831,105276217668,105276217668,VCI,quarterly
MWG,2015,2,3258605583308,395471160960,0,328507628500,2429743455648,104883338200,763606319881,0,587755418362,0,0,63005155325,4022211903189,2086217368599,2086217368599,0,1935994534590,1935994534590,1130494084,491110625544,10203551176,4022211903189,45271966241,0,2477607314853,0,1399039760000,1399039760000,0,14470099284,667293888022,17536204982,34938901318,95099340666,95099340666,VCI,quarterly
MWG,2015,1,3031358074529,234502575458,0,339457348097,2352094537196,105303613778,634395736316,0,504895919019,0,20041377123,25906574096,3665753810845,1949913865558,1949913865558,0,1705256597847,1705256597847,1130494084,549400909977,0,3665753810845,102757881260,0,2402324186729,0,1119567790000,1119567790000,0,6987365282,780883156874,0,14856051200,83551866078,83551866078,VCI,quarterly
MWG,2014,4,2837686622393,212920620191,0,296735549237,2195306348135,132724104830,569512868791,0,434419261598,0,22546549264,112547057929,3407199491184,1923190326673,1923190326673,0,1474956147637,1474956147637,1130494084,317840559767,0,3407199491184,90846398087,0,2253516929935,5217189550,1119567790000,1119567790000,0,8353792068,618690305273,0,25459480409,0,0,VCI,quarterly
MWG,2014,3,2415163698218,418555609065,0,298254184399,1625424671239,72929233515,433024543759,0,316236470687,0,24496315333,92291757739,2848188241977,1547641965436,1547641965436,0,1295478279561,1295478279561,1130494084,588683361691,0,2848188241977,112135033362,0,1673592377533,3570697126,627231710000,627231710000,0,5354535301,414325064007,0,17274464118,0,0,VCI,quarterly
MWG,2014,2,1855810970982,303111490091,0,289923096495,1218053628046,44722756350,378653151303,0,284639736830,0,27556893546,66456520927,2234464122285,1109368288746,1109368288746,0,1120246898078,1120246898078,1130494084,413451980208,0,2234464122285,116655869377,0,1268534455066,3576862289,627231710000,627231710000,0,733203919,241911624750,0,6375310747,0,0,VCI,quarterly
MWG,2014,1,1770998561586,172973914667,0,237968186595,1316577610844,43478849480,316380017429,0,265033010072,0,640230155,50706777202,2087378579015,1085189576993,1085189576993,0,975167725526,975167725526,1130494084,701325587656,0,2087378579015,27941612274,0,1350489952028,3118111717,116418160000,116418160000,0,1368303375,448650039431,0,6913060377,0,0,VCI,quarterly
