ticker,yearReport,lengthReport,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,data_source,period_type
MWG,2022,4,933378274121,996662347576,-49620584491,727903727,-142998803578,361070284056,2099219421411,628813223031,3035187850019,1015673176217,12788014601,-458462850797,-401192432121,0,5932026402361,-1619369846398,187066778,-5710336019828,5459274776982,0,0,172344521478,-1697899500988,0,-1751430000,12114645490505,-18350737810831,0,-6237843750326,-2003716848953,7065242844865,-505448490,5061020547422,VCI,quarterly
MWG,2022,3,1417840145809,866076773120,-92845447932,-300485553,-49640153073,434637150382,2575767982753,-733148082079,-341263128961,294908791756,-34183400669,-312130317515,-423379365487,0,1026572479798,-885442520448,1917253574,-2926240072148,6242654791180,0,0,229969106876,2662858559034,718670000,-1577710000,18829462135076,-18350921127634,0,477681967442,4167113006274,2897829353037,300485554,7065242844865,VCI,quarterly
MWG,2022,2,1702143324153,861860467800,-146189157450,1014786880,14102508960,365962737941,2798894668284,-649794460344,4482194324656,-1449498903922,-61914730658,-344797078919,-428217834535,0,4346865984562,-1244895758042,811010594,-3546481722220,2955561256420,-181034840000,0,183806957608,-1832233095640,0,-1696500000,14263849962306,-16405339484869,-731854815000,-2875040837563,-360407948641,3259252088558,-1014786880,2897829353037,VCI,quarterly
MWG,2022,1,2002993629475,857825230333,-33144177011,-1157830640,-210295952505,200473736724,2816694636376,102890289514,-3384181624681,-2147725823212,-10187588939,-206990862173,-552551212191,0,-3382052185306,-661851560501,1302110694,-8616076251135,11194475246487,0,0,551422035595,2469271581140,191909700000,0,20043690263194,-20206740863665,0,28859099529,-883921504637,4142015762555,1157830640,3259252088558,VCI,quarterly
MWG,2021,4,2049913129681,797527199280,46876943689,781227162,-278251369537,187425447131,2804272577406,-894059069792,-7662556523028,4436729980940,-99678153658,-130736394960,-716369614985,0,-2262397198077,-1300736120722,223007860,-13953916755014,12386420318306,0,0,280060375002,-2587949174568,0,-722670000,19549452019415,-12967000535166,-1883709063,6579845105186,1729498732541,3215215954814,-781227162,4943933460193,VCI,quarterly
MWG,2021,3,968131160753,748163282149,204477834995,-874832730,-242887862149,163932694294,1840942277312,469670301191,640212077697,-1218069153970,105873060173,-191674504122,-4587601471,0,1642366456810,-1321898067106,447177723,-541782080476,1817097525622,0,0,270835159788,224699715551,0,-390350000,12408461378259,-15440946869791,-237635732000,-3270511573532,-1403445401171,4617786523255,874832730,3215215954814,VCI,quarterly
MWG,2021,2,1625970525968,719003729709,-20334657221,5598581,-231539753959,169881589077,2262987032155,-342419130884,867238203561,267013561680,-28628925286,-161078455291,-365088720091,0,2500023565844,-1451652365381,-1581240217,-4733651106847,3456573237675,0,0,46987903575,-2683323571195,93069700000,-838570000,18996257010816,-16491348228126,0,2597139912690,2413839907339,2203952214497,-5598581,4617786523255,VCI,quarterly
MWG,2021,1,1827568934141,656019397272,-51469404286,-58647007,-206163553318,152706974017,2378603700819,-199360289145,-3781705226133,303730516143,-12846458946,-100684597506,-447056186260,0,-1859318541028,-889596825490,2018075304,-5884311709591,1194263057536,0,0,321964678028,-5255662724213,135183330000,-368410000,12982037839460,-11145835324654,0,1971017434806,-5143963830435,7347857397925,58647007,2203952214497,VCI,quarterly
MWG,2020,4,1333731770224,608974865200,15882714698,-21687423,-193219098275,146611809252,1911960373676,-262181655564,-1913722977757,1437589746324,-136449111081,-88011196183,-656280771704,0,292904407711,-1243044895261,981767800,-36400000000,2517435726028,0,0,160157026128,1399129624695,0,-738630000,14964549033263,-11219965165206,-678908841000,3064936397057,4756970429463,2590965281039,21687423,7347957397925,VCI,quarterly
MWG,2020,3,1278279929468,602426943255,-57679001191,-4301625,-181100346722,132177340658,1774100563843,-68742180690,613463289236,174286998143,8272665162,-121844639437,-382089988469,0,1997446707788,-1007899391738,687081459,-2938354547946,1032400000000,0,0,51021603473,-2862145254752,0,-1376690000,11668737316579,-10377929116788,0,1289431509791,424732962827,2166228016587,4301625,2590965281039,VCI,quarterly
MWG,2020,2,1253662361959,513388842580,42029188133,47726029,-116041223559,136986550722,1830073445864,200826873229,2837088314715,264055010549,5523966719,-169778771026,-294809200395,0,4672979639655,-992445686207,131455076,-5323200000000,410800000000,0,0,29486054802,-5875228176329,0,0,12298384257785,-12203235446877,0,95148810908,-1107099725766,3273375468382,-47726029,2166228016587,VCI,quarterly
MWG,2020,1,1544061345702,470792420000,58133757746,-58611559,-67266479980,178228120389,2183890552298,872376548892,4732742545325,-3678546016269,30812301263,-150671988725,-161405479164,0,3829198463620,-667968186796,217770969,-2377000000000,1714000000000,0,0,94733329586,-1236017086241,105200450000,-3925610000,12236490776257,-14772866953281,0,-2435101337024,158080040355,3115236816468,58611559,3273375468382,VCI,quarterly
MWG,2019,4,1179569456751,435265892789,58959068742,66098274,-113482969476,156338194060,1716715741140,-1218023406795,-8809131632423,4217813267101,-129105103983,-132977235159,-370386931892,-5000000000,-4730095302011,-1308899456795,0,-1245469863015,2445869863015,0,0,115246349569,6746892774,85719580000,-460940000,14095159953663,-9976681399995,-277017479,4203460176189,-519888233048,3697191147790,-66098274,3177236816468,VCI,quarterly
MWG,2019,3,1137102315885,368936086417,70472606720,-120126982,-127469023114,144687353950,1593609212876,54752109549,-646028415022,-1117056086666,-9447018763,-148028878657,-259597180994,0,-531796257677,-872299600207,340968191,-1533832981258,3391832981258,0,0,124860128857,1110901496841,4255000000,-1001610000,10180021123545,-10357967814501,0,-174693300956,404411938208,3292659082600,120126982,3697191147790,VCI,quarterly
MWG,2019,2,1395617277771,327182930368,-9834712112,27741344,-66275899197,133756189910,1780473528084,712108065115,211542849876,1353978885057,-89179849325,-161124458749,-270920079717,0,3536878940341,-528525839984,-5811636167,-2289477548261,-13922451739,0,0,-3278007802,-2841015483953,0,-1497843867,10162086404548,-9745852095043,-657073005000,-242336539362,453526917026,2839159906918,-27741344,3292659082600,VCI,quarterly
MWG,2019,1,1341158154289,311442029380,-29101181144,-873000,-33578435645,133354979214,1723274673094,-217526844274,868820167438,-1637664859390,-73062390,-95866891481,-191459539999,-10000000000,439503642998,-357196267154,6373188920,-3793000000000,13922451739,0,0,34827988384,-4095072638111,480240000,-1889666133,11468684819486,-8721460482328,-637140206,2745177770819,-910391224294,3749550258212,873000,2839159906918,VCI,quarterly
MWG,2018,4,918938088015,337080211991,16158784472,-82991496,-35207384368,110783202536,1347669911150,-281709747071,-4153600754618,3503821607071,-19000999815,-135951010664,-270812631579,0,-9583625526,-449347935402,-2062506869,608928653693,0,0,0,38190149974,195708361396,128322510000,-729700000,7104434315185,-8737704295431,-748501235,-1506425671481,-1320300935611,5069778230756,72963067,3749550258212,VCI,quarterly
MWG,2018,3,856152481258,322218177564,227862314,-2851609274,-30111340870,107492002949,1253127573941,-24911405961,967735176814,-77902747024,13152204575,-79240528647,-218069240051,0,1833891033647,-278499113332,3402406949,3151048412,0,0,0,7914978046,-264030679925,914520000,-993020000,7558781074033,-6963284231913,0,595418342120,2165278695842,2904599435150,-99900236,5069778230756,VCI,quarterly
MWG,2018,2,968242972018,288375292601,48212881818,-296246332,-15137961548,105346054241,1394742992798,378964388367,99728382479,614010121595,29394208115,-129405281781,-242069170136,0,2145365641437,-224064921078,0,-695434653844,0,-23139697907,0,15123488975,-927515783854,0,830320000,8521469859517,-8694910642721,-485113925593,-657724388797,560125468786,2344357965889,116000475,2904599435150,VCI,quarterly
MWG,2018,1,1042985027628,275195696006,61484098224,3123787796,-4400592798,112795317948,1491183334804,1156728740090,-1586806999135,-2691311201860,90945030806,-82967555418,-98571977984,0,-1720800628697,-531757773572,0,-2567500000,0,-805026772234,0,3058218066,-1336293827740,576545137200,-264400000,8709119907937,-7294949570204,0,1990451074933,-1066643381504,3410983351393,17996000,2344357965889,VCI,quarterly
MWG,2017,4,734042615213,209253657481,64336720641,634168907,-26005123288,60704492385,1042966531339,-1782292941548,-3307420737488,2882664189265,-75976747611,-47879648901,-256438681238,0,-1544378036182,-840296388335,0,-210280000000,125580000000,0,0,21814123296,-903182265039,92226480000,0,9195491933734,-6360296805925,-745266829,2926676340980,479116039759,2931921550990,-54239356,3410983351393,VCI,quarterly
MWG,2017,3,719250703350,179416362892,11291372340,460826746,-8576390041,45558103727,947400979014,-89626813352,-60882608240,1257970592625,-25775398338,-43903234714,-145064422904,0,1840119094091,-415593422313,180000000,0,0,0,0,6670930954,-408742491359,0,0,6061857917444,-6080343375162,0,-18485457718,1412891145014,1519018369920,12036056,2931921550990,VCI,quarterly
MWG,2017,2,650410162131,158018739212,30479606314,0,-520104188,55706011073,894094414542,-43918189922,457682104585,1691813008939,-16906153976,-60747903388,-151461696075,0,2770555584705,-517245002681,0,0,0,0,0,526896608,-516718106073,240000000,0,4874497729811,-6204480150134,-230973660301,-1560716080624,693121398008,825896971912,0,1519018369920,VCI,quarterly
MWG,2017,1,705608551952,143024949047,19861343303,-39194284,-235123790,65386590548,933607116776,616677656093,114323349042,-1863771428987,21852552263,-61331796377,-137703399355,0,-376345950545,-314124818190,0,0,0,0,0,362630070,-313762188120,0,0,9329927546215,-8810879937894,0,519047608321,-171060530344,996983462012,-25959756,825896971912,VCI,quarterly
MWG,2016,4,456988272900,110692511578,39847036334,-75417199,-269816246,39160064874,646342652241,-732889566580,-2902200800880,2087534970743,-41151907795,-34533354536,-137644285967,0,-1114542292774,-457490204448,0,0,0,0,0,599287588,-456890916860,-161500000,105950000,7408312433374,-5413504604285,-44764000,1994707515089,423274305455,573679281109,29875448,996983462012,VCI,quarterly
MWG,2016,3,498682422049,106416842786,15518707434,52608698,990989968,25006812972,646668383907,-278187817982,-1431609562357,613049760558,-34801585886,-22545268489,-111220745310,0,-618646835559,-406854905208,0,0,0,0,0,446889044,-406408016164,0,-105950000,4150594331417,-3147824484119,0,1002663897298,-22390954425,596042942677,27292857,573679281109,VCI,quarterly
MWG,2016,2,525312730087,82427538988,9501158865,843114099,-378620558,25660229081,643366150562,-108914006266,487319509209,2158655280,-58854751486,-26401132109,-109232114840,0,829442310350,-234680919892,0,0,0,0,0,378620558,-234302299334,0,0,4049450838952,-4256865403309,-220085518800,-427500083157,167639927859,428430307675,-27292857,596042942677,VCI,quarterly
MWG,2016,1,524927089887,70010742956,13564588625,-911688178,-374589508,29818588379,637034732161,130628526416,-657458223172,421267484884,-30356022034,-28516036530,-172757057796,0,299843403929,-161389516512,0,0,0,0,0,374589508,-161014927004,-153800000,0,4401150938344,-4455268276299,0,-54271137955,84557338970,343872968705,0,428430307675,VCI,quarterly
MWG,2015,4,427786079554,61222096161,7256227233,-385868729,-280621226,11821907686,507419820679,-298293309393,-2023834480683,757082353265,-31202992080,-10544406833,-10893163303,0,-1110266178348,-184185363362,0,0,0,0,0,280621226,-183904742136,0,-146600000,3566769281923,-2397142265070,0,1169480416853,-124690503631,468563472336,0,343872968705,VCI,quarterly
MWG,2015,3,371034334240,51579539955,29881855488,118338447,-243162046,6137689256,458508595340,-155963749905,-508266697092,379275344295,-20383000542,-6543557222,-63680252586,0,82946682288,-151948695136,0,0,0,-72239580000,0,243162046,-223945113090,0,-100100000,1497780316664,-1281755248858,-1834225628,214090742178,73092311376,395471160960,0,468563472336,VCI,quarterly
MWG,2015,2,286836401388,45364594791,791672268,573950024,-258467291,8730737161,342038888341,-11292945991,-75283128124,246791663836,-18683336322,-9149257072,-65280486637,9270616553,418412014584,-143414320833,0,0,0,0,0,207460603,-143206860230,0,-647300000,1197964660295,-1311553929147,0,-114236568852,160968585502,234502575458,0,395471160960,VCI,quarterly
MWG,2015,1,300126972512,38889780917,-5742299170,-445336229,-74164467,12203517911,344958471474,-11135306481,-148807256794,-147792094908,6882764111,-11205300252,-56194555201,-9270616553,-32563894604,-106969518141,0,0,0,0,0,182416411,-106787101730,0,-1259900000,1866747656139,-1704554804538,0,160932951601,21581955267,212920620191,0,234502575458,VCI,quarterly
MWG,2014,4,240645785331,34812537561,11232788959,0,-162604583,5444208588,291972715856,-6866478727,-579924552402,175145464495,-39102187297,-4943379360,-64995390661,-9910851289,-238624659385,-174196960239,0,0,0,0,0,2821415998,-171375544241,-26519,0,1033660863972,-829295622706,5,204365214752,-205634988874,418555609065,0,212920620191,VCI,quarterly
MWG,2014,3,227287844187,30524158806,4252431584,0,-2208468470,5084574236,264940540343,-54492949117,-405057922467,244192173818,-17888537588,-4964098845,-36980810534,-15444970000,-25696574390,-33481214363,400909091,50000000000,0,-50000000000,0,1807559379,-31272745893,0,0,1060145513720,-887732074463,0,172413439257,115444118974,303111490091,0,418555609065,VCI,quarterly
MWG,2014,2,184868425569,28616983152,16650817658,0,-921122404,313202941,229528306916,7833085862,81955496962,275315366136,-3364127891,-795140081,-50341315081,-10777918749,529353754074,-54144756546,1047019883,0,0,-50000000000,0,465307193,-102632429470,2297060000,-300394500,522551933490,-821132348171,0,-296583749181,130137575423,172973914668,0,303111490091,VCI,quarterly
MWG,2014,1,215395388007,22434770637,18183605592,0,-1629362293,10419429996,264803831939,-16154877056,-45811611349,-279377082845,-9172887730,-10419429996,-69235729754,0,-165367786791,-4573593451,0,0,0,0,0,1629362292,-2944231159,11866630000,0,1170511001583,-1143207955599,-2617511835,36552164149,-131759853801,304733768468,0,172973914667,VCI,quarterly
