ticker,yearReport,lengthReport,Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Interest Expenses,Sales,Sales deductions,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Gain/(loss) from joint ventures,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company,data_source,period_type
MWG,2022,4,-0.15397045257330474,30877778203705,619040753469,-0.6038102623865087,311780141173,-361070284056,30877778203705,-289397051231,30588381152474,-22658872494961,7929508657513,-381546829485,0,-6603486449711,-292045055541,964210463949,8964564942,-39796754770,-30832189828,933378274121,-196556329590,-117799841398,619022103133,-18650336,619040753469,VCI,yearly
MWG,2022,3,0.31902412006975595,32322456456197,906245995691,0.15388698871155942,348740404454,-434637150382,32322456456197,-310476608570,32011979847627,-24619955468038,7392024379589,-434637150382,0,-5342606252861,-316220813071,1647300567729,16988306067,-246448727987,-229460421920,1417840145809,-496121675738,-14939300698,906779169373,533173682,906245995691,VCI,yearly
MWG,2022,2,0.08504109723388727,34702840342036,1130010994744,-0.06843912523170845,297757553066,-365962737941,34702840342036,-365100370263,34337739971773,-27001321732513,7336418239260,-360157346540,0,-4807875682062,-500331314841,1965811448883,19248084910,-282916209640,-263668124730,1702143324153,-546716320960,-24758223926,1130668779267,657784523,1130010994744,VCI,yearly
MWG,2022,1,0.18175142694388022,36819173885619,1444465283401,0.0795957954054573,354859205630,-200473736724,36819173885619,-352497266969,36466676618650,-28342412527151,8124264091499,-206279128125,0,-5036030591147,-1239442359834,1997371218023,16405756757,-10783345305,5622411452,2002993629475,-553604483814,-4144772495,1445244373166,779089765,1444465283401,VCI,yearly
MWG,2021,4,0.32657081032446067,36497281090978,1562485583796,0.6590467052790218,384466254503,-187425447131,36497281090978,-358951181475,36138329909503,-28763440176908,7374889732595,-225421690718,11771267592,-4853008363114,-665959677027,2026737523831,32650468169,-9474862319,23175605850,2049913129681,-520012449565,33412449119,1563313129235,827545439,1562485583796,VCI,yearly
MWG,2021,3,-0.058290857111785305,24504825927283,785385401306,-0.17374805991989511,288605719929,-163932694294,24504825927283,-171612401590,24333213525693,-18244500199927,6088713325766,-164678840728,-1238253516,-4270432006893,-975182680390,965787264168,20139201987,-17795305402,2343896585,968131160753,-228919266264,46590264394,785802158883,416757577,785385401306,VCI,yearly
MWG,2021,2,0.2026677732729875,31982973207655,1213029685285,0.35699052254811076,304726396651,-169881589077,31982973207655,-324554354550,31658418853105,-24514835467434,7143583385671,-170842215768,-3413282846,-4545602295035,-1100251515639,1628200473034,3975693399,-6205640465,-2229947066,1625970525968,-418683245504,6391121954,1213678402418,648717133,1213029685285,VCI,yearly
MWG,2021,1,0.04996673107887448,31156445464032,1337968607833,0.18245348977543882,288290505677,-152706974017,31156445464032,-328301649159,30828143814873,-23803198263371,7024945551502,-152802395191,-2960562091,-4245130637303,-1088365871334,1823976591260,19012499941,-15420157060,3592342881,1827568934141,-469249631981,-19686318806,1338632983354,664375521,1337968607833,VCI,yearly
MWG,2020,4,0.06987276434151385,27512501260337,941797225373,0.0956617431112461,243144091635,-143611809252,27512501260337,-318807912778,27193693347559,-20919028286020,6274665061539,-146675802931,86755229,-4259169057232,-783692075325,1328358972915,17249006154,-11876208845,5372797309,1333731770224,-455942346374,64507626277,942297050127,499824754,941797225373,VCI,yearly
MWG,2020,3,0.021031570389166417,26021650222198,950539857407,0.11163730509200151,256718662733,-132177340658,26021650222198,-308096336624,25713553885574,-19963833875800,5749720009774,-132146267492,-1229081747,-3753486734557,-840336742769,1279239845942,8623043630,-9582960104,-959916474,1278279929468,-351255145052,24007652958,951032437374,492579967,950539857407,VCI,yearly
MWG,2020,2,-0.014115451958672217,26593356800952,893911685549,-0.17167394772948755,169372877774,-136986550722,26593356800952,-307797788189,26285559012763,-20515417227877,5770141784886,-137081235663,-1160758009,-3538368435696,-1000645132631,1262259100661,8818668922,-17415407624,-8596738702,1253662361959,-367654198546,8415382828,894423546241,511860692,893911685549,VCI,yearly
MWG,2020,1,0.1724297337468644,29673745407169,1131519014830,0.0875381334429874,124886150525,-178228120389,29673745407169,-320531987653,29353213419516,-23193243003252,6159970416264,-178248207665,-1403854944,-3782774603302,-779757887442,1542672013436,8821976765,-7432644499,1389332266,1544061345702,-423562131247,11620461310,1132119675765,600660935,1131519014830,VCI,yearly
