ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Intagible fixed assets,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Undistributed earnings (Bn. VND),Paid-in capital (Bn. VND),MINORITY INTERESTS,data_source,period_type
TPB,2022,1,302622532000000,2476525000000,14077084000000,37628452000000,0,0,0,0,147720192000000,149875029000000,-2154837000000,77405030000000,77803586000000,44700000000,-443256000000,0,0,0,741418000000,478960000000,262458000000,22220267000000,302622532000000,275242056000000,532269000000,80247844000000,152538738000000,51673000000,409190000000,37220237000000,4242105000000,27380476000000,18378520000000,1388879000000,97838000000,7515239000000,15817555000000,0,VCI,yearly
TPB,2021,4,292827078000000,2553309000000,18039848000000,48752914000000,0,0,0,0,139462565000000,141227857000000,-1765292000000,62404684000000,62735195000000,44700000000,-375211000000,0,0,0,788613000000,512870000000,275743000000,19864752000000,292827078000000,266839097000000,564074000000,87015960000000,139562262000000,77705000000,401664000000,35405147000000,3812285000000,25987981000000,18378520000000,1388879000000,0,6220582000000,15817555000000,0,VCI,yearly
TPB,2021,3,260327561000000,2558712000000,11574314000000,38117144000000,0,0,0,189844000000,131411928000000,133002039000000,-1590111000000,53854112000000,53948349000000,44700000000,-138937000000,0,0,0,778305000000,517028000000,261277000000,20884417000000,260327561000000,235568431000000,598091000000,66974452000000,131508437000000,0,632857000000,31528192000000,4326402000000,24759130000000,14277682000000,1388879000000,86282000000,9006287000000,11716717000000,0,VCI,yearly
TPB,2021,2,242246851000000,2022546000000,16421498000000,24762767000000,0,0,0,195550000000,130003410000000,132203531000000,-2200121000000,49402870000000,49526005000000,44700000000,-167835000000,0,0,0,761898000000,519066000000,242832000000,17676442000000,242246851000000,221967382000000,626953000000,56157590000000,132062360000000,0,664246000000,28635426000000,3820807000000,20279469000000,10994182000000,1388879000000,0,7896408000000,10716717000000,0,VCI,yearly
TPB,2021,1,216152686000000,1829035000000,10467415000000,14595304000000,0,0,0,153807000000,122398784000000,124386976000000,-1988192000000,49335396000000,49426955000000,44700000000,-136259000000,0,0,0,779732000000,538341000000,241391000000,15592956000000,216152686000000,198202860000000,668285000000,48712126000000,120036649000000,0,679715000000,24444124000000,3661961000000,17949826000000,9859189000000,862350000000,67399000000,7160888000000,10716717000000,0,VCI,yearly
TPB,2020,4,206314594000000,2214265000000,9108762000000,12698296000000,0,0,0,77344000000,118084610000000,119990991000000,-1906381000000,48095142000000,48197336000000,44700000000,-146894000000,0,0,0,708842000000,475619000000,233223000000,14284297000000,206314594000000,189570291000000,697937000000,40879958000000,115903526000000,0,688576000000,27438818000000,3961476000000,16744303000000,9859190000000,862350000000,0,6022763000000,10716717000000,0,VCI,yearly
TPB,2020,3,193461319000000,1789875000000,8870437000000,19326156000000,0,0,0,72291000000,108523546000000,110340232000000,-1816686000000,42338093000000,42454857000000,44700000000,-161464000000,0,0,0,566225000000,360898000000,205327000000,10903327000000,193461319000000,178023249000000,731691000000,43782865000000,108694001000000,0,690394000000,20277248000000,3847050000000,15438070000000,7657369000000,1040335000000,175040000000,6565326000000,8565892000000,0,VCI,yearly
TPB,2020,2,181339877000000,1620795000000,7702277000000,23349975000000,0,0,0,59364000000,98754279000000,100419332000000,-1665053000000,38211435000000,38324320000000,44700000000,-157585000000,0,0,0,602256000000,387327000000,214929000000,9926236000000,181339877000000,166869224000000,771563000000,45992431000000,96214153000000,0,710250000000,19642928000000,3537899000000,14470653000000,7657369000000,1040335000000,0,5772949000000,8565892000000,0,VCI,yearly
TPB,2020,1,176632067000000,1608090000000,3249808000000,23885054000000,0,0,0,85730000000,99076574000000,100508623000000,-1432049000000,37789032000000,37870350000000,44700000000,-126018000000,39600000000,39600000000,0,626871000000,404752000000,222119000000,9249848000000,176632067000000,162769230000000,1475129000000,50977111000000,89686651000000,0,727579000000,16500350000000,3402410000000,13862837000000,7657369000000,576259000000,205034000000,5424175000000,8565892000000,0,VCI,yearly
TPB,2019,4,164593666000000,1654531000000,7760937000000,21023865000000,0,0,0,12987000000,94435382000000,95643700000000,-1208318000000,26075064000000,26139104000000,44700000000,-108740000000,0,0,0,570994000000,368965000000,202029000000,12018572000000,164593666000000,151518886000000,828005000000,40213903000000,92439495000000,0,706047000000,14426020000000,2905416000000,13074780000000,7882729000000,576259000000,0,4615792000000,8565892000000,0,VCI,yearly
