ticker,yearReport,lengthReport,Revenue (Bn. VND),Revenue YoY (%),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Interest and Similar Income,Interest and Similar Expenses,Net Interest Income,Fees and Comission Income,Fees and Comission Expenses,Net Fee and Commission Income,Net gain (loss) from foreign currency and gold dealings,Net gain (loss) from trading of trading securities,Net gain (loss) from disposal of investment securities,Net Other income/(expenses),Other expenses,Net Other income/expenses,Dividends received,Total operating revenue,General & Admin Expenses,Operating Profit before Provision,Provision for credit losses,Profit before tax,Tax For the Year,Business income tax - current,Minority Interest,Net Profit For the Year,Attributable to parent company,EPS_basis,data_source,period_type
TPB,2018,1,2161384000000,0.3411858295166073,512793000000,1.381550165103869,2161384000000,-1228373000000,933011000000,103028000000,-28317000000,74711000000,-15788000000,0,174372000000,22930000000,-1092000000,21838000000,0,1188144000000,-608191000000,579953000000,-67160000000,512793000000,0,0,0,512793000000,512793000000,0.0,VCI,quarterly
TPB,2017,4,1998138000000,0.3071652304978922,251933000000,0.11597733786339817,1998138000000,-1029058000000,969080000000,92250000000,-53268000000,38982000000,35839000000,0,49306000000,24459000000,-1301000000,23158000000,0,1116365000000,-697514000000,418851000000,-19899000000,398952000000,-147019000000,-147019000000,0,251933000000,251933000000,0.0,VCI,quarterly
TPB,2017,3,1952434000000,0.46374951456601826,233977000000,0.6783252397586991,1952434000000,-1052022000000,900412000000,70173000000,-23103000000,47070000000,14136000000,0,25734000000,6629000000,-823000000,5806000000,0,993158000000,-451301000000,541857000000,-217880000000,323977000000,-90000000000,-90000000000,0,233977000000,233977000000,0.0,VCI,quarterly
TPB,2017,2,1762486000000,1.3157670633833611,170750000000,-0.16917540190413977,1762486000000,-1072102000000,690384000000,67602000000,-16437000000,51165000000,-19902000000,0,44889000000,9468000000,-1297000000,8171000000,0,774707000000,-358072000000,416635000000,-148918000000,267717000000,-96967000000,-96967000000,0,170750000000,170750000000,0.0,VCI,quarterly
TPB,2017,1,1611547000000,0.4333105350365944,215319000000,1.3144119354214587,1611547000000,-998999000000,612548000000,50854000000,-23007000000,27847000000,-19825000000,0,102704000000,1563000000,-2642000000,-1079000000,0,722195000000,-431414000000,290781000000,-75462000000,215319000000,0,0,0,215319000000,215319000000,0.0,VCI,quarterly
TPB,2016,4,1528604000000,0.5749173830473937,225751000000,0.6936030308128195,1528604000000,-834944000000,693660000000,44941000000,-21827000000,23114000000,77015000000,0,19202000000,2708000000,-1958000000,750000000,0,813741000000,-363939000000,449802000000,-97708000000,352094000000,-126343000000,-126343000000,0,225751000000,225751000000,0.0,VCI,quarterly
TPB,2016,3,1333858000000,0.0,139411000000,0.0,1333858000000,-783818000000,550040000000,38596000000,-15969000000,22627000000,-8839000000,0,1017000000,2354000000,-1274000000,1080000000,0,565925000000,-374908000000,191017000000,-41606000000,149411000000,-10000000000,-10000000000,0,139411000000,139411000000,0.0,VCI,quarterly
TPB,2016,1,1124353000000,0.5232390368673396,93034000000,-0.3057941275230385,1124353000000,-716507000000,407846000000,27743000000,-9396000000,18347000000,-19342000000,0,785000000,87000000,-1655000000,-1568000000,0,406068000000,-239302000000,166766000000,-73732000000,93034000000,0,0,0,93034000000,93034000000,0.0,VCI,quarterly
TPB,2015,4,970593134887,0.0,133296289563,0.0,970593134887,-572506802533,398086332354,30971179468,-7636640099,23334539369,-31147997354,0,38860820554,8430147184,-3444750538,4985396646,-425000,434118666569,-228650806953,205467859616,-8668570053,196799289563,-63503000000,-63503000000,0,133296289563,133296289563,401.0,VCI,quarterly
TPB,2015,2,761080865113,0.4038453446889781,205518710437,0.4751144152896207,761080865113,-434244197467,326836667646,24704820532,-12112359901,12592460631,-4529002646,0,58273179446,23403852816,-158249462,23245603354,2860425000,419279333431,-193495193047,225784140384,-20265429947,205518710437,0,0,0,205518710437,205518710437,612.0,VCI,quarterly
TPB,2015,1,738133000000,0.3132009261790449,134015000000,0.11521223244508957,738133000000,-433312000000,304821000000,18816000000,-6599000000,12217000000,-7174000000,0,23230000000,3472000000,-5260000000,-1788000000,0,331306000000,-174841000000,156465000000,-22450000000,134015000000,0,0,0,134015000000,134015000000,0.0,VCI,quarterly
TPB,2014,2,542140106809,0.0,139323911628,0.0,542140106809,-307414029047,234726077762,7395554188,-4704567318,2690986870,9025242973,-10441007994,60911350659,57704594868,-6639284854,51065310014,22000,347977982284,-140130611959,207847370325,-68523458697,139323911628,0,0,0,139323911628,139323911628,0.0,VCI,quarterly
TPB,2014,1,562086871312,0.0,120169951603,0.0,562086871312,-345349687920,216737183392,12584965512,-4265435153,8319530359,9855666808,12764228183,5815519103,17343572291,-1202916687,16140655604,0,269632783449,-114076163572,155556619877,-35386668274,120169951603,0,0,0,120169951603,120169951603,0.0,VCI,quarterly
